group,function,value,sample_time_nanos,iteration_count
disable_simplify/Bernoulli,,12,6004256.0,8
disable_simplify/Bernoulli,,12,6975919.0,16
disable_simplify/Bernoulli,,12,7648733.0,24
disable_simplify/Bernoulli,,12,9037469.0,32
disable_simplify/Bernoulli,,12,11727945.0,40
disable_simplify/Bernoulli,,12,11099103.0,48
disable_simplify/Bernoulli,,12,13061563.0,56
disable_simplify/Bernoulli,,12,13514565.0,64
disable_simplify/Bernoulli,,12,13945204.0,72
disable_simplify/Bernoulli,,12,14145918.0,80
disable_simplify/Bernoulli,,12,15120677.0,88
disable_simplify/Bernoulli,,12,18522281.0,96
disable_simplify/Bernoulli,,12,17599647.0,104
disable_simplify/Bernoulli,,12,17463267.0,112
disable_simplify/Bernoulli,,12,17730292.0,120
disable_simplify/Bernoulli,,12,19894410.0,128
disable_simplify/Bernoulli,,12,19328155.0,136
disable_simplify/Bernoulli,,12,20481574.0,144
disable_simplify/Bernoulli,,12,21183582.0,152
disable_simplify/Bernoulli,,12,21967767.0,160
disable_simplify/Bernoulli,,12,25182730.0,168
disable_simplify/Bernoulli,,12,23671798.0,176
disable_simplify/Bernoulli,,12,24457541.0,184
disable_simplify/Bernoulli,,12,25483229.0,192
disable_simplify/Bernoulli,,12,29290506.0,200
disable_simplify/Bernoulli,,12,28922314.0,208
disable_simplify/Bernoulli,,12,27652698.0,216
disable_simplify/Bernoulli,,12,32989127.0,224
disable_simplify/Bernoulli,,12,31036908.0,232
disable_simplify/Bernoulli,,12,31575140.0,240
disable_simplify/Bernoulli,,12,32725765.0,248
disable_simplify/Bernoulli,,12,33542415.0,256
disable_simplify/Bernoulli,,12,35907807.0,264
disable_simplify/Bernoulli,,12,36668762.0,272
disable_simplify/Bernoulli,,12,34690377.0,280
disable_simplify/Bernoulli,,12,39212971.0,288
disable_simplify/Bernoulli,,12,37328942.0,296
disable_simplify/Bernoulli,,12,36464209.0,304
disable_simplify/Bernoulli,,12,41917804.0,312
disable_simplify/Bernoulli,,12,40587979.0,320
disable_simplify/Bernoulli,,12,39214503.0,328
disable_simplify/Bernoulli,,12,43003057.0,336
disable_simplify/Bernoulli,,12,43800909.0,344
disable_simplify/Bernoulli,,12,44625231.0,352
disable_simplify/Bernoulli,,12,43618430.0,360
disable_simplify/Bernoulli,,12,45879828.0,368
disable_simplify/Bernoulli,,12,46738559.0,376
disable_simplify/Bernoulli,,12,51155683.0,384
disable_simplify/Bernoulli,,12,51114684.0,392
disable_simplify/Bernoulli,,12,50980161.0,400
disable_simplify/Bernoulli,,12,55789613.0,408
disable_simplify/Bernoulli,,12,52236779.0,416
disable_simplify/Bernoulli,,12,53301118.0,424
disable_simplify/Bernoulli,,12,58691617.0,432
disable_simplify/Bernoulli,,12,53890641.0,440
disable_simplify/Bernoulli,,12,57189456.0,448
disable_simplify/Bernoulli,,12,57726986.0,456
disable_simplify/Bernoulli,,12,55583454.0,464
disable_simplify/Bernoulli,,12,59726643.0,472
disable_simplify/Bernoulli,,12,58917928.0,480
disable_simplify/Bernoulli,,12,65907793.0,488
disable_simplify/Bernoulli,,12,61375751.0,496
disable_simplify/Bernoulli,,12,61652583.0,504
disable_simplify/Bernoulli,,12,64253728.0,512
disable_simplify/Bernoulli,,12,68157351.0,520
disable_simplify/Bernoulli,,12,64632899.0,528
disable_simplify/Bernoulli,,12,69383756.0,536
disable_simplify/Bernoulli,,12,67119345.0,544
disable_simplify/Bernoulli,,12,68571710.0,552
disable_simplify/Bernoulli,,12,73128537.0,560
disable_simplify/Bernoulli,,12,69917495.0,568
disable_simplify/Bernoulli,,12,77228682.0,576
disable_simplify/Bernoulli,,12,71185137.0,584
disable_simplify/Bernoulli,,12,76826622.0,592
disable_simplify/Bernoulli,,12,72341578.0,600
disable_simplify/Bernoulli,,12,76035508.0,608
disable_simplify/Bernoulli,,12,82046071.0,616
disable_simplify/Bernoulli,,12,81661793.0,624
disable_simplify/Bernoulli,,12,78420720.0,632
disable_simplify/Bernoulli,,12,79964710.0,640
disable_simplify/Bernoulli,,12,79483593.0,648
disable_simplify/Bernoulli,,12,80802467.0,656
disable_simplify/Bernoulli,,12,82066579.0,664
disable_simplify/Bernoulli,,12,84394180.0,672
disable_simplify/Bernoulli,,12,83592949.0,680
disable_simplify/Bernoulli,,12,85263494.0,688
disable_simplify/Bernoulli,,12,90001350.0,696
disable_simplify/Bernoulli,,12,86508751.0,704
disable_simplify/Bernoulli,,12,84999556.0,712
disable_simplify/Bernoulli,,12,89679062.0,720
disable_simplify/Bernoulli,,12,91632917.0,728
disable_simplify/Bernoulli,,12,97106913.0,736
disable_simplify/Bernoulli,,12,90585643.0,744
disable_simplify/Bernoulli,,12,93397963.0,752
disable_simplify/Bernoulli,,12,93636693.0,760
disable_simplify/Bernoulli,,12,93984402.0,768
disable_simplify/Bernoulli,,12,95095578.0,776
disable_simplify/Bernoulli,,12,95990700.0,784
disable_simplify/Bernoulli,,12,102993790.0,792
disable_simplify/Bernoulli,,12,100928304.0,800
