group,function,value,sample_time_nanos,iteration_count
disable_simplify/Bernoulli,,13,1119971.0,31
disable_simplify/Bernoulli,,13,2075672.0,62
disable_simplify/Bernoulli,,13,2657037.0,93
disable_simplify/Bernoulli,,13,4210124.0,124
disable_simplify/Bernoulli,,13,5159399.0,155
disable_simplify/Bernoulli,,13,6430912.0,186
disable_simplify/Bernoulli,,13,8175461.0,217
disable_simplify/Bernoulli,,13,8080381.0,248
disable_simplify/Bernoulli,,13,9426139.0,279
disable_simplify/Bernoulli,,13,9892487.0,310
disable_simplify/Bernoulli,,13,11630239.0,341
disable_simplify/Bernoulli,,13,12441984.0,372
disable_simplify/Bernoulli,,13,12217808.0,403
disable_simplify/Bernoulli,,13,13614159.0,434
disable_simplify/Bernoulli,,13,14556101.0,465
disable_simplify/Bernoulli,,13,13601501.0,496
disable_simplify/Bernoulli,,13,15276277.0,527
disable_simplify/Bernoulli,,13,17498490.0,558
disable_simplify/Bernoulli,,13,20676681.0,589
disable_simplify/Bernoulli,,13,20431797.0,620
disable_simplify/Bernoulli,,13,22188516.0,651
disable_simplify/Bernoulli,,13,21757023.0,682
disable_simplify/Bernoulli,,13,21500649.0,713
disable_simplify/Bernoulli,,13,24097936.0,744
disable_simplify/Bernoulli,,13,24732227.0,775
disable_simplify/Bernoulli,,13,25295380.0,806
disable_simplify/Bernoulli,,13,26375632.0,837
disable_simplify/Bernoulli,,13,29254606.0,868
disable_simplify/Bernoulli,,13,30406053.0,899
disable_simplify/Bernoulli,,13,31226349.0,930
disable_simplify/Bernoulli,,13,32381616.0,961
disable_simplify/Bernoulli,,13,33673718.0,992
disable_simplify/Bernoulli,,13,32249933.0,1023
disable_simplify/Bernoulli,,13,33443060.0,1054
disable_simplify/Bernoulli,,13,34758769.0,1085
disable_simplify/Bernoulli,,13,34589338.0,1116
disable_simplify/Bernoulli,,13,37695606.0,1147
disable_simplify/Bernoulli,,13,39158168.0,1178
disable_simplify/Bernoulli,,13,37109717.0,1209
disable_simplify/Bernoulli,,13,38651932.0,1240
disable_simplify/Bernoulli,,13,38694562.0,1271
disable_simplify/Bernoulli,,13,42804873.0,1302
disable_simplify/Bernoulli,,13,45592124.0,1333
disable_simplify/Bernoulli,,13,44614859.0,1364
disable_simplify/Bernoulli,,13,44871535.0,1395
disable_simplify/Bernoulli,,13,44680716.0,1426
disable_simplify/Bernoulli,,13,45613971.0,1457
disable_simplify/Bernoulli,,13,46673715.0,1488
disable_simplify/Bernoulli,,13,47264333.0,1519
disable_simplify/Bernoulli,,13,47985369.0,1550
disable_simplify/Bernoulli,,13,49613076.0,1581
disable_simplify/Bernoulli,,13,50023007.0,1612
disable_simplify/Bernoulli,,13,50742716.0,1643
disable_simplify/Bernoulli,,13,52268784.0,1674
disable_simplify/Bernoulli,,13,54704659.0,1705
disable_simplify/Bernoulli,,13,53846794.0,1736
disable_simplify/Bernoulli,,13,55424245.0,1767
disable_simplify/Bernoulli,,13,60175592.0,1798
disable_simplify/Bernoulli,,13,63801827.0,1829
disable_simplify/Bernoulli,,13,59035566.0,1860
disable_simplify/Bernoulli,,13,64439897.0,1891
disable_simplify/Bernoulli,,13,60682571.0,1922
disable_simplify/Bernoulli,,13,62863110.0,1953
disable_simplify/Bernoulli,,13,62781237.0,1984
disable_simplify/Bernoulli,,13,65417310.0,2015
disable_simplify/Bernoulli,,13,65480054.0,2046
disable_simplify/Bernoulli,,13,64738139.0,2077
disable_simplify/Bernoulli,,13,65907674.0,2108
disable_simplify/Bernoulli,,13,67473363.0,2139
disable_simplify/Bernoulli,,13,70394998.0,2170
disable_simplify/Bernoulli,,13,70774887.0,2201
disable_simplify/Bernoulli,,13,71346877.0,2232
disable_simplify/Bernoulli,,13,70987690.0,2263
disable_simplify/Bernoulli,,13,71766059.0,2294
disable_simplify/Bernoulli,,13,79748187.0,2325
disable_simplify/Bernoulli,,13,81006931.0,2356
disable_simplify/Bernoulli,,13,83285288.0,2387
disable_simplify/Bernoulli,,13,85557505.0,2418
disable_simplify/Bernoulli,,13,83719873.0,2449
disable_simplify/Bernoulli,,13,95621777.0,2480
disable_simplify/Bernoulli,,13,82798850.0,2511
disable_simplify/Bernoulli,,13,82874966.0,2542
disable_simplify/Bernoulli,,13,82319936.0,2573
disable_simplify/Bernoulli,,13,82004458.0,2604
disable_simplify/Bernoulli,,13,84623157.0,2635
disable_simplify/Bernoulli,,13,82257688.0,2666
disable_simplify/Bernoulli,,13,83143762.0,2697
disable_simplify/Bernoulli,,13,86730637.0,2728
disable_simplify/Bernoulli,,13,88906314.0,2759
disable_simplify/Bernoulli,,13,90747126.0,2790
disable_simplify/Bernoulli,,13,100437554.0,2821
disable_simplify/Bernoulli,,13,97932966.0,2852
disable_simplify/Bernoulli,,13,98791280.0,2883
disable_simplify/Bernoulli,,13,93377287.0,2914
disable_simplify/Bernoulli,,13,93670323.0,2945
disable_simplify/Bernoulli,,13,95680162.0,2976
disable_simplify/Bernoulli,,13,114401979.0,3007
disable_simplify/Bernoulli,,13,99094538.0,3038
disable_simplify/Bernoulli,,13,99252824.0,3069
disable_simplify/Bernoulli,,13,96924352.0,3100
