group,function,value,sample_time_nanos,iteration_count
disable_simplify/DigitsOfE1,,8,1000338.0,23
disable_simplify/DigitsOfE1,,8,2358143.0,46
disable_simplify/DigitsOfE1,,8,3014808.0,69
disable_simplify/DigitsOfE1,,8,3791620.0,92
disable_simplify/DigitsOfE1,,8,5083196.0,115
disable_simplify/DigitsOfE1,,8,5841991.0,138
disable_simplify/DigitsOfE1,,8,8949257.0,161
disable_simplify/DigitsOfE1,,8,7755822.0,184
disable_simplify/DigitsOfE1,,8,9213156.0,207
disable_simplify/DigitsOfE1,,8,9910946.0,230
disable_simplify/DigitsOfE1,,8,11313931.0,253
disable_simplify/DigitsOfE1,,8,11717265.0,276
disable_simplify/DigitsOfE1,,8,13147026.0,299
disable_simplify/DigitsOfE1,,8,14015733.0,322
disable_simplify/DigitsOfE1,,8,15317789.0,345
disable_simplify/DigitsOfE1,,8,16065178.0,368
disable_simplify/DigitsOfE1,,8,17614508.0,391
disable_simplify/DigitsOfE1,,8,18281787.0,414
disable_simplify/DigitsOfE1,,8,18610787.0,437
disable_simplify/DigitsOfE1,,8,19779196.0,460
disable_simplify/DigitsOfE1,,8,21380778.0,483
disable_simplify/DigitsOfE1,,8,22126688.0,506
disable_simplify/DigitsOfE1,,8,23507048.0,529
disable_simplify/DigitsOfE1,,8,24139107.0,552
disable_simplify/DigitsOfE1,,8,25386172.0,575
disable_simplify/DigitsOfE1,,8,26580453.0,598
disable_simplify/DigitsOfE1,,8,27861637.0,621
disable_simplify/DigitsOfE1,,8,28319443.0,644
disable_simplify/DigitsOfE1,,8,29369176.0,667
disable_simplify/DigitsOfE1,,8,30727161.0,690
disable_simplify/DigitsOfE1,,8,30586853.0,713
disable_simplify/DigitsOfE1,,8,32418192.0,736
disable_simplify/DigitsOfE1,,8,32320731.0,759
disable_simplify/DigitsOfE1,,8,33670931.0,782
disable_simplify/DigitsOfE1,,8,34244614.0,805
disable_simplify/DigitsOfE1,,8,35553612.0,828
disable_simplify/DigitsOfE1,,8,37041331.0,851
disable_simplify/DigitsOfE1,,8,37403210.0,874
disable_simplify/DigitsOfE1,,8,39226061.0,897
disable_simplify/DigitsOfE1,,8,39435406.0,920
disable_simplify/DigitsOfE1,,8,40803832.0,943
disable_simplify/DigitsOfE1,,8,41104814.0,966
disable_simplify/DigitsOfE1,,8,42500316.0,989
disable_simplify/DigitsOfE1,,8,43542713.0,1012
disable_simplify/DigitsOfE1,,8,45071500.0,1035
disable_simplify/DigitsOfE1,,8,45019930.0,1058
disable_simplify/DigitsOfE1,,8,46374211.0,1081
disable_simplify/DigitsOfE1,,8,48135068.0,1104
disable_simplify/DigitsOfE1,,8,48692953.0,1127
disable_simplify/DigitsOfE1,,8,49891755.0,1150
disable_simplify/DigitsOfE1,,8,51962933.0,1173
disable_simplify/DigitsOfE1,,8,51966047.0,1196
disable_simplify/DigitsOfE1,,8,52046178.0,1219
disable_simplify/DigitsOfE1,,8,53060600.0,1242
disable_simplify/DigitsOfE1,,8,54486598.0,1265
disable_simplify/DigitsOfE1,,8,55495066.0,1288
disable_simplify/DigitsOfE1,,8,56386658.0,1311
disable_simplify/DigitsOfE1,,8,57633080.0,1334
disable_simplify/DigitsOfE1,,8,58882771.0,1357
disable_simplify/DigitsOfE1,,8,60743432.0,1380
disable_simplify/DigitsOfE1,,8,61506003.0,1403
disable_simplify/DigitsOfE1,,8,61472161.0,1426
disable_simplify/DigitsOfE1,,8,63031451.0,1449
disable_simplify/DigitsOfE1,,8,64146401.0,1472
disable_simplify/DigitsOfE1,,8,65058360.0,1495
disable_simplify/DigitsOfE1,,8,64851813.0,1518
disable_simplify/DigitsOfE1,,8,65979405.0,1541
disable_simplify/DigitsOfE1,,8,66859136.0,1564
disable_simplify/DigitsOfE1,,8,68515056.0,1587
disable_simplify/DigitsOfE1,,8,68511694.0,1610
disable_simplify/DigitsOfE1,,8,70824086.0,1633
disable_simplify/DigitsOfE1,,8,71605235.0,1656
disable_simplify/DigitsOfE1,,8,73448612.0,1679
disable_simplify/DigitsOfE1,,8,74901245.0,1702
disable_simplify/DigitsOfE1,,8,77996990.0,1725
disable_simplify/DigitsOfE1,,8,76639808.0,1748
disable_simplify/DigitsOfE1,,8,78073445.0,1771
disable_simplify/DigitsOfE1,,8,78234636.0,1794
disable_simplify/DigitsOfE1,,8,78482994.0,1817
disable_simplify/DigitsOfE1,,8,78780660.0,1840
disable_simplify/DigitsOfE1,,8,79782151.0,1863
disable_simplify/DigitsOfE1,,8,80149494.0,1886
disable_simplify/DigitsOfE1,,8,80823722.0,1909
disable_simplify/DigitsOfE1,,8,83135447.0,1932
disable_simplify/DigitsOfE1,,8,83544714.0,1955
disable_simplify/DigitsOfE1,,8,86695813.0,1978
disable_simplify/DigitsOfE1,,8,87117895.0,2001
disable_simplify/DigitsOfE1,,8,87571822.0,2024
disable_simplify/DigitsOfE1,,8,90107095.0,2047
disable_simplify/DigitsOfE1,,8,91334507.0,2070
disable_simplify/DigitsOfE1,,8,89778794.0,2093
disable_simplify/DigitsOfE1,,8,90729950.0,2116
disable_simplify/DigitsOfE1,,8,94074579.0,2139
disable_simplify/DigitsOfE1,,8,94213244.0,2162
disable_simplify/DigitsOfE1,,8,93183363.0,2185
disable_simplify/DigitsOfE1,,8,94691368.0,2208
disable_simplify/DigitsOfE1,,8,100258626.0,2231
disable_simplify/DigitsOfE1,,8,99712118.0,2254
disable_simplify/DigitsOfE1,,8,99848888.0,2277
disable_simplify/DigitsOfE1,,8,100705220.0,2300
