group,function,value,sample_time_nanos,iteration_count
disable_simplify/DigitsOfE2,,4,5535129.0,48
disable_simplify/DigitsOfE2,,4,6927583.0,96
disable_simplify/DigitsOfE2,,4,7467441.0,144
disable_simplify/DigitsOfE2,,4,8682665.0,192
disable_simplify/DigitsOfE2,,4,13184791.0,240
disable_simplify/DigitsOfE2,,4,11593367.0,288
disable_simplify/DigitsOfE2,,4,12707441.0,336
disable_simplify/DigitsOfE2,,4,14361224.0,384
disable_simplify/DigitsOfE2,,4,15215196.0,432
disable_simplify/DigitsOfE2,,4,15851727.0,480
disable_simplify/DigitsOfE2,,4,15910533.0,528
disable_simplify/DigitsOfE2,,4,16833315.0,576
disable_simplify/DigitsOfE2,,4,16584450.0,624
disable_simplify/DigitsOfE2,,4,18262886.0,672
disable_simplify/DigitsOfE2,,4,19287720.0,720
disable_simplify/DigitsOfE2,,4,23455780.0,768
disable_simplify/DigitsOfE2,,4,24343278.0,816
disable_simplify/DigitsOfE2,,4,23869633.0,864
disable_simplify/DigitsOfE2,,4,23470092.0,912
disable_simplify/DigitsOfE2,,4,23498377.0,960
disable_simplify/DigitsOfE2,,4,24142397.0,1008
disable_simplify/DigitsOfE2,,4,25798607.0,1056
disable_simplify/DigitsOfE2,,4,27417769.0,1104
disable_simplify/DigitsOfE2,,4,28436682.0,1152
disable_simplify/DigitsOfE2,,4,34802396.0,1200
disable_simplify/DigitsOfE2,,4,33861547.0,1248
disable_simplify/DigitsOfE2,,4,31881790.0,1296
disable_simplify/DigitsOfE2,,4,38997894.0,1344
disable_simplify/DigitsOfE2,,4,36750057.0,1392
disable_simplify/DigitsOfE2,,4,35553647.0,1440
disable_simplify/DigitsOfE2,,4,36287349.0,1488
disable_simplify/DigitsOfE2,,4,36292338.0,1536
disable_simplify/DigitsOfE2,,4,44263702.0,1584
disable_simplify/DigitsOfE2,,4,36894029.0,1632
disable_simplify/DigitsOfE2,,4,38826972.0,1680
disable_simplify/DigitsOfE2,,4,41151560.0,1728
disable_simplify/DigitsOfE2,,4,43284918.0,1776
disable_simplify/DigitsOfE2,,4,43993973.0,1824
disable_simplify/DigitsOfE2,,4,44084025.0,1872
disable_simplify/DigitsOfE2,,4,47079410.0,1920
disable_simplify/DigitsOfE2,,4,44296850.0,1968
disable_simplify/DigitsOfE2,,4,48985330.0,2016
disable_simplify/DigitsOfE2,,4,51941202.0,2064
disable_simplify/DigitsOfE2,,4,47667128.0,2112
disable_simplify/DigitsOfE2,,4,56997412.0,2160
disable_simplify/DigitsOfE2,,4,52278291.0,2208
disable_simplify/DigitsOfE2,,4,54516301.0,2256
disable_simplify/DigitsOfE2,,4,56927622.0,2304
disable_simplify/DigitsOfE2,,4,53408404.0,2352
disable_simplify/DigitsOfE2,,4,55009432.0,2400
disable_simplify/DigitsOfE2,,4,59140542.0,2448
disable_simplify/DigitsOfE2,,4,69454107.0,2496
disable_simplify/DigitsOfE2,,4,57399635.0,2544
disable_simplify/DigitsOfE2,,4,60379307.0,2592
disable_simplify/DigitsOfE2,,4,61404781.0,2640
disable_simplify/DigitsOfE2,,4,58616169.0,2688
disable_simplify/DigitsOfE2,,4,60933364.0,2736
disable_simplify/DigitsOfE2,,4,63756912.0,2784
disable_simplify/DigitsOfE2,,4,65506279.0,2832
disable_simplify/DigitsOfE2,,4,66367130.0,2880
disable_simplify/DigitsOfE2,,4,77240787.0,2928
disable_simplify/DigitsOfE2,,4,67117676.0,2976
disable_simplify/DigitsOfE2,,4,67964676.0,3024
disable_simplify/DigitsOfE2,,4,67106624.0,3072
disable_simplify/DigitsOfE2,,4,68498697.0,3120
disable_simplify/DigitsOfE2,,4,84699122.0,3168
disable_simplify/DigitsOfE2,,4,70232950.0,3216
disable_simplify/DigitsOfE2,,4,72662664.0,3264
disable_simplify/DigitsOfE2,,4,74493848.0,3312
disable_simplify/DigitsOfE2,,4,75629047.0,3360
disable_simplify/DigitsOfE2,,4,74854715.0,3408
disable_simplify/DigitsOfE2,,4,78530528.0,3456
disable_simplify/DigitsOfE2,,4,77194319.0,3504
disable_simplify/DigitsOfE2,,4,89096124.0,3552
disable_simplify/DigitsOfE2,,4,77300532.0,3600
disable_simplify/DigitsOfE2,,4,81430058.0,3648
disable_simplify/DigitsOfE2,,4,82345943.0,3696
disable_simplify/DigitsOfE2,,4,81601028.0,3744
disable_simplify/DigitsOfE2,,4,98769237.0,3792
disable_simplify/DigitsOfE2,,4,87691800.0,3840
disable_simplify/DigitsOfE2,,4,86755941.0,3888
disable_simplify/DigitsOfE2,,4,88322202.0,3936
disable_simplify/DigitsOfE2,,4,86295432.0,3984
disable_simplify/DigitsOfE2,,4,91102591.0,4032
disable_simplify/DigitsOfE2,,4,89675559.0,4080
disable_simplify/DigitsOfE2,,4,88631000.0,4128
disable_simplify/DigitsOfE2,,4,94040531.0,4176
disable_simplify/DigitsOfE2,,4,102630048.0,4224
disable_simplify/DigitsOfE2,,4,93504274.0,4272
disable_simplify/DigitsOfE2,,4,98817482.0,4320
disable_simplify/DigitsOfE2,,4,97708379.0,4368
disable_simplify/DigitsOfE2,,4,97053852.0,4416
disable_simplify/DigitsOfE2,,4,97109515.0,4464
disable_simplify/DigitsOfE2,,4,99665482.0,4512
disable_simplify/DigitsOfE2,,4,103577226.0,4560
disable_simplify/DigitsOfE2,,4,111598083.0,4608
disable_simplify/DigitsOfE2,,4,99892278.0,4656
disable_simplify/DigitsOfE2,,4,122296234.0,4704
disable_simplify/DigitsOfE2,,4,103846248.0,4752
disable_simplify/DigitsOfE2,,4,104444425.0,4800
