group,function,value,sample_time_nanos,iteration_count
disable_simplify/DigitsOfE2,,9,5839103.0,32
disable_simplify/DigitsOfE2,,9,6711319.0,64
disable_simplify/DigitsOfE2,,9,7182756.0,96
disable_simplify/DigitsOfE2,,9,8722000.0,128
disable_simplify/DigitsOfE2,,9,9711170.0,160
disable_simplify/DigitsOfE2,,9,10573484.0,192
disable_simplify/DigitsOfE2,,9,11239604.0,224
disable_simplify/DigitsOfE2,,9,11768373.0,256
disable_simplify/DigitsOfE2,,9,13919112.0,288
disable_simplify/DigitsOfE2,,9,14120946.0,320
disable_simplify/DigitsOfE2,,9,14858799.0,352
disable_simplify/DigitsOfE2,,9,15661591.0,384
disable_simplify/DigitsOfE2,,9,16035836.0,416
disable_simplify/DigitsOfE2,,9,17348757.0,448
disable_simplify/DigitsOfE2,,9,19191577.0,480
disable_simplify/DigitsOfE2,,9,19636333.0,512
disable_simplify/DigitsOfE2,,9,21019293.0,544
disable_simplify/DigitsOfE2,,9,21319100.0,576
disable_simplify/DigitsOfE2,,9,23707024.0,608
disable_simplify/DigitsOfE2,,9,24073412.0,640
disable_simplify/DigitsOfE2,,9,24289087.0,672
disable_simplify/DigitsOfE2,,9,32343022.0,704
disable_simplify/DigitsOfE2,,9,32606748.0,736
disable_simplify/DigitsOfE2,,9,28393446.0,768
disable_simplify/DigitsOfE2,,9,27932162.0,800
disable_simplify/DigitsOfE2,,9,30134185.0,832
disable_simplify/DigitsOfE2,,9,38604423.0,864
disable_simplify/DigitsOfE2,,9,33320061.0,896
disable_simplify/DigitsOfE2,,9,41223006.0,928
disable_simplify/DigitsOfE2,,9,41546486.0,960
disable_simplify/DigitsOfE2,,9,37332790.0,992
disable_simplify/DigitsOfE2,,9,37232705.0,1024
disable_simplify/DigitsOfE2,,9,37420603.0,1056
disable_simplify/DigitsOfE2,,9,38391921.0,1088
disable_simplify/DigitsOfE2,,9,39358682.0,1120
disable_simplify/DigitsOfE2,,9,41114349.0,1152
disable_simplify/DigitsOfE2,,9,39711484.0,1184
disable_simplify/DigitsOfE2,,9,51164917.0,1216
disable_simplify/DigitsOfE2,,9,43580803.0,1248
disable_simplify/DigitsOfE2,,9,55390694.0,1280
disable_simplify/DigitsOfE2,,9,46886757.0,1312
disable_simplify/DigitsOfE2,,9,49486048.0,1344
disable_simplify/DigitsOfE2,,9,45312630.0,1376
disable_simplify/DigitsOfE2,,9,63944931.0,1408
disable_simplify/DigitsOfE2,,9,49740842.0,1440
disable_simplify/DigitsOfE2,,9,52102530.0,1472
disable_simplify/DigitsOfE2,,9,51548677.0,1504
disable_simplify/DigitsOfE2,,9,52288760.0,1536
disable_simplify/DigitsOfE2,,9,52224123.0,1568
disable_simplify/DigitsOfE2,,9,54637833.0,1600
disable_simplify/DigitsOfE2,,9,60330640.0,1632
disable_simplify/DigitsOfE2,,9,57643836.0,1664
disable_simplify/DigitsOfE2,,9,59860391.0,1696
disable_simplify/DigitsOfE2,,9,71576515.0,1728
disable_simplify/DigitsOfE2,,9,61659108.0,1760
disable_simplify/DigitsOfE2,,9,60133409.0,1792
disable_simplify/DigitsOfE2,,9,59811736.0,1824
disable_simplify/DigitsOfE2,,9,65171373.0,1856
disable_simplify/DigitsOfE2,,9,61857495.0,1888
disable_simplify/DigitsOfE2,,9,63161759.0,1920
disable_simplify/DigitsOfE2,,9,64261133.0,1952
disable_simplify/DigitsOfE2,,9,65248681.0,1984
disable_simplify/DigitsOfE2,,9,65461955.0,2016
disable_simplify/DigitsOfE2,,9,67346618.0,2048
disable_simplify/DigitsOfE2,,9,72149400.0,2080
disable_simplify/DigitsOfE2,,9,70412245.0,2112
disable_simplify/DigitsOfE2,,9,79359569.0,2144
disable_simplify/DigitsOfE2,,9,69451120.0,2176
disable_simplify/DigitsOfE2,,9,72190247.0,2208
disable_simplify/DigitsOfE2,,9,75281279.0,2240
disable_simplify/DigitsOfE2,,9,73814632.0,2272
disable_simplify/DigitsOfE2,,9,75705582.0,2304
disable_simplify/DigitsOfE2,,9,77361276.0,2336
disable_simplify/DigitsOfE2,,9,77098594.0,2368
disable_simplify/DigitsOfE2,,9,83040088.0,2400
disable_simplify/DigitsOfE2,,9,82389482.0,2432
disable_simplify/DigitsOfE2,,9,80305297.0,2464
disable_simplify/DigitsOfE2,,9,84002804.0,2496
disable_simplify/DigitsOfE2,,9,83027386.0,2528
disable_simplify/DigitsOfE2,,9,82996287.0,2560
disable_simplify/DigitsOfE2,,9,80291229.0,2592
disable_simplify/DigitsOfE2,,9,82316808.0,2624
disable_simplify/DigitsOfE2,,9,87575423.0,2656
disable_simplify/DigitsOfE2,,9,89023472.0,2688
disable_simplify/DigitsOfE2,,9,88326480.0,2720
disable_simplify/DigitsOfE2,,9,88277327.0,2752
disable_simplify/DigitsOfE2,,9,87822461.0,2784
disable_simplify/DigitsOfE2,,9,98533181.0,2816
disable_simplify/DigitsOfE2,,9,90629121.0,2848
disable_simplify/DigitsOfE2,,9,91861264.0,2880
disable_simplify/DigitsOfE2,,9,91486292.0,2912
disable_simplify/DigitsOfE2,,9,92941369.0,2944
disable_simplify/DigitsOfE2,,9,95458383.0,2976
disable_simplify/DigitsOfE2,,9,96469249.0,3008
disable_simplify/DigitsOfE2,,9,109204903.0,3040
disable_simplify/DigitsOfE2,,9,99512824.0,3072
disable_simplify/DigitsOfE2,,9,100911363.0,3104
disable_simplify/DigitsOfE2,,9,103510015.0,3136
disable_simplify/DigitsOfE2,,9,104697227.0,3168
disable_simplify/DigitsOfE2,,9,103201700.0,3200
