group,function,value,sample_time_nanos,iteration_count
disable_simplify/EchoFloat,,,5455157.0,33
disable_simplify/EchoFloat,,,6216738.0,66
disable_simplify/EchoFloat,,,7292408.0,99
disable_simplify/EchoFloat,,,8557642.0,132
disable_simplify/EchoFloat,,,13153423.0,165
disable_simplify/EchoFloat,,,11381920.0,198
disable_simplify/EchoFloat,,,12267783.0,231
disable_simplify/EchoFloat,,,14143623.0,264
disable_simplify/EchoFloat,,,15079548.0,297
disable_simplify/EchoFloat,,,15790859.0,330
disable_simplify/EchoFloat,,,20759540.0,363
disable_simplify/EchoFloat,,,17674670.0,396
disable_simplify/EchoFloat,,,19181314.0,429
disable_simplify/EchoFloat,,,19893421.0,462
disable_simplify/EchoFloat,,,19788547.0,495
disable_simplify/EchoFloat,,,17756123.0,528
disable_simplify/EchoFloat,,,19708334.0,561
disable_simplify/EchoFloat,,,20572813.0,594
disable_simplify/EchoFloat,,,23100185.0,627
disable_simplify/EchoFloat,,,22777734.0,660
disable_simplify/EchoFloat,,,24075681.0,693
disable_simplify/EchoFloat,,,25528626.0,726
disable_simplify/EchoFloat,,,24879607.0,759
disable_simplify/EchoFloat,,,26774766.0,792
disable_simplify/EchoFloat,,,29990171.0,825
disable_simplify/EchoFloat,,,28562764.0,858
disable_simplify/EchoFloat,,,28922408.0,891
disable_simplify/EchoFloat,,,29841770.0,924
disable_simplify/EchoFloat,,,33050655.0,957
disable_simplify/EchoFloat,,,36044114.0,990
disable_simplify/EchoFloat,,,35710732.0,1023
disable_simplify/EchoFloat,,,35082633.0,1056
disable_simplify/EchoFloat,,,37388665.0,1089
disable_simplify/EchoFloat,,,38216855.0,1122
disable_simplify/EchoFloat,,,35169498.0,1155
disable_simplify/EchoFloat,,,37994140.0,1188
disable_simplify/EchoFloat,,,40533803.0,1221
disable_simplify/EchoFloat,,,37441119.0,1254
disable_simplify/EchoFloat,,,41642349.0,1287
disable_simplify/EchoFloat,,,38408494.0,1320
disable_simplify/EchoFloat,,,41847852.0,1353
disable_simplify/EchoFloat,,,41882378.0,1386
disable_simplify/EchoFloat,,,43138114.0,1419
disable_simplify/EchoFloat,,,47646662.0,1452
disable_simplify/EchoFloat,,,48899870.0,1485
disable_simplify/EchoFloat,,,48575425.0,1518
disable_simplify/EchoFloat,,,50440051.0,1551
disable_simplify/EchoFloat,,,47966712.0,1584
disable_simplify/EchoFloat,,,52407540.0,1617
disable_simplify/EchoFloat,,,50050894.0,1650
disable_simplify/EchoFloat,,,51273077.0,1683
disable_simplify/EchoFloat,,,51507391.0,1716
disable_simplify/EchoFloat,,,52912514.0,1749
disable_simplify/EchoFloat,,,54966938.0,1782
disable_simplify/EchoFloat,,,60615502.0,1815
disable_simplify/EchoFloat,,,55865393.0,1848
disable_simplify/EchoFloat,,,60923808.0,1881
disable_simplify/EchoFloat,,,59128956.0,1914
disable_simplify/EchoFloat,,,60408700.0,1947
disable_simplify/EchoFloat,,,63465062.0,1980
disable_simplify/EchoFloat,,,63385804.0,2013
disable_simplify/EchoFloat,,,63285074.0,2046
disable_simplify/EchoFloat,,,64186722.0,2079
disable_simplify/EchoFloat,,,61107654.0,2112
disable_simplify/EchoFloat,,,63849861.0,2145
disable_simplify/EchoFloat,,,66226183.0,2178
disable_simplify/EchoFloat,,,68574327.0,2211
disable_simplify/EchoFloat,,,70854477.0,2244
disable_simplify/EchoFloat,,,72075595.0,2277
disable_simplify/EchoFloat,,,69198514.0,2310
disable_simplify/EchoFloat,,,71906798.0,2343
disable_simplify/EchoFloat,,,71327756.0,2376
disable_simplify/EchoFloat,,,72703845.0,2409
disable_simplify/EchoFloat,,,73068352.0,2442
disable_simplify/EchoFloat,,,79874572.0,2475
disable_simplify/EchoFloat,,,76661553.0,2508
disable_simplify/EchoFloat,,,77121157.0,2541
disable_simplify/EchoFloat,,,77732143.0,2574
disable_simplify/EchoFloat,,,81311638.0,2607
disable_simplify/EchoFloat,,,80085796.0,2640
disable_simplify/EchoFloat,,,84615230.0,2673
disable_simplify/EchoFloat,,,82349676.0,2706
disable_simplify/EchoFloat,,,85159501.0,2739
disable_simplify/EchoFloat,,,83997478.0,2772
disable_simplify/EchoFloat,,,86253070.0,2805
disable_simplify/EchoFloat,,,83849249.0,2838
disable_simplify/EchoFloat,,,86926760.0,2871
disable_simplify/EchoFloat,,,84800506.0,2904
disable_simplify/EchoFloat,,,83951193.0,2937
disable_simplify/EchoFloat,,,95418066.0,2970
disable_simplify/EchoFloat,,,90795921.0,3003
disable_simplify/EchoFloat,,,92838230.0,3036
disable_simplify/EchoFloat,,,92727187.0,3069
disable_simplify/EchoFloat,,,98706584.0,3102
disable_simplify/EchoFloat,,,97208502.0,3135
disable_simplify/EchoFloat,,,96250058.0,3168
disable_simplify/EchoFloat,,,103668701.0,3201
disable_simplify/EchoFloat,,,100180974.0,3234
disable_simplify/EchoFloat,,,97327388.0,3267
disable_simplify/EchoFloat,,,104728469.0,3300
