group,function,value,sample_time_nanos,iteration_count
disable_simplify/EchoInt,,,5412137.0,83
disable_simplify/EchoInt,,,6477643.0,166
disable_simplify/EchoInt,,,7084907.0,249
disable_simplify/EchoInt,,,8016585.0,332
disable_simplify/EchoInt,,,13208549.0,415
disable_simplify/EchoInt,,,11314386.0,498
disable_simplify/EchoInt,,,11859622.0,581
disable_simplify/EchoInt,,,12515631.0,664
disable_simplify/EchoInt,,,12748254.0,747
disable_simplify/EchoInt,,,11705764.0,830
disable_simplify/EchoInt,,,14222312.0,913
disable_simplify/EchoInt,,,15222136.0,996
disable_simplify/EchoInt,,,15802437.0,1079
disable_simplify/EchoInt,,,16017876.0,1162
disable_simplify/EchoInt,,,16768001.0,1245
disable_simplify/EchoInt,,,17982233.0,1328
disable_simplify/EchoInt,,,18139947.0,1411
disable_simplify/EchoInt,,,18575263.0,1494
disable_simplify/EchoInt,,,19254373.0,1577
disable_simplify/EchoInt,,,19122809.0,1660
disable_simplify/EchoInt,,,19761393.0,1743
disable_simplify/EchoInt,,,21276890.0,1826
disable_simplify/EchoInt,,,22015398.0,1909
disable_simplify/EchoInt,,,21774320.0,1992
disable_simplify/EchoInt,,,22443505.0,2075
disable_simplify/EchoInt,,,23424696.0,2158
disable_simplify/EchoInt,,,25047550.0,2241
disable_simplify/EchoInt,,,24536054.0,2324
disable_simplify/EchoInt,,,26247879.0,2407
disable_simplify/EchoInt,,,27283988.0,2490
disable_simplify/EchoInt,,,30451308.0,2573
disable_simplify/EchoInt,,,27672277.0,2656
disable_simplify/EchoInt,,,27805834.0,2739
disable_simplify/EchoInt,,,29044669.0,2822
disable_simplify/EchoInt,,,35490561.0,2905
disable_simplify/EchoInt,,,31628838.0,2988
disable_simplify/EchoInt,,,40186293.0,3071
disable_simplify/EchoInt,,,34304267.0,3154
disable_simplify/EchoInt,,,34385968.0,3237
disable_simplify/EchoInt,,,42303506.0,3320
disable_simplify/EchoInt,,,43855009.0,3403
disable_simplify/EchoInt,,,36002676.0,3486
disable_simplify/EchoInt,,,45434464.0,3569
disable_simplify/EchoInt,,,39229815.0,3652
disable_simplify/EchoInt,,,38817542.0,3735
disable_simplify/EchoInt,,,42242625.0,3818
disable_simplify/EchoInt,,,42205793.0,3901
disable_simplify/EchoInt,,,50585222.0,3984
disable_simplify/EchoInt,,,51799998.0,4067
disable_simplify/EchoInt,,,42315303.0,4150
disable_simplify/EchoInt,,,51915634.0,4233
disable_simplify/EchoInt,,,45860341.0,4316
disable_simplify/EchoInt,,,47371248.0,4399
disable_simplify/EchoInt,,,49018295.0,4482
disable_simplify/EchoInt,,,48952420.0,4565
disable_simplify/EchoInt,,,50440270.0,4648
disable_simplify/EchoInt,,,50342059.0,4731
disable_simplify/EchoInt,,,52340082.0,4814
disable_simplify/EchoInt,,,54903306.0,4897
disable_simplify/EchoInt,,,49667080.0,4980
disable_simplify/EchoInt,,,55398195.0,5063
disable_simplify/EchoInt,,,51473230.0,5146
disable_simplify/EchoInt,,,59267297.0,5229
disable_simplify/EchoInt,,,55976240.0,5312
disable_simplify/EchoInt,,,59700984.0,5395
disable_simplify/EchoInt,,,54644692.0,5478
disable_simplify/EchoInt,,,64257634.0,5561
disable_simplify/EchoInt,,,59935785.0,5644
disable_simplify/EchoInt,,,63241734.0,5727
disable_simplify/EchoInt,,,64446379.0,5810
disable_simplify/EchoInt,,,66113809.0,5893
disable_simplify/EchoInt,,,61842787.0,5976
disable_simplify/EchoInt,,,67559283.0,6059
disable_simplify/EchoInt,,,66833146.0,6142
disable_simplify/EchoInt,,,79326495.0,6225
disable_simplify/EchoInt,,,70919194.0,6308
disable_simplify/EchoInt,,,79367128.0,6391
disable_simplify/EchoInt,,,70809084.0,6474
disable_simplify/EchoInt,,,71120224.0,6557
disable_simplify/EchoInt,,,73798280.0,6640
disable_simplify/EchoInt,,,77722258.0,6723
disable_simplify/EchoInt,,,67488178.0,6806
disable_simplify/EchoInt,,,80253788.0,6889
disable_simplify/EchoInt,,,78306323.0,6972
disable_simplify/EchoInt,,,78277979.0,7055
disable_simplify/EchoInt,,,81013409.0,7138
disable_simplify/EchoInt,,,77750595.0,7221
disable_simplify/EchoInt,,,92173555.0,7304
disable_simplify/EchoInt,,,80353314.0,7387
disable_simplify/EchoInt,,,91744027.0,7470
disable_simplify/EchoInt,,,93413845.0,7553
disable_simplify/EchoInt,,,88868031.0,7636
disable_simplify/EchoInt,,,87517466.0,7719
disable_simplify/EchoInt,,,79461537.0,7802
disable_simplify/EchoInt,,,91389932.0,7885
disable_simplify/EchoInt,,,90716633.0,7968
disable_simplify/EchoInt,,,91155446.0,8051
disable_simplify/EchoInt,,,84254944.0,8134
disable_simplify/EchoInt,,,99186115.0,8217
disable_simplify/EchoInt,,,93515801.0,8300
