group,function,value,sample_time_nanos,iteration_count
disable_simplify/Exp3_8,,2,5241253.0,58
disable_simplify/Exp3_8,,2,6006415.0,116
disable_simplify/Exp3_8,,2,6835709.0,174
disable_simplify/Exp3_8,,2,7561417.0,232
disable_simplify/Exp3_8,,2,8706441.0,290
disable_simplify/Exp3_8,,2,8988404.0,348
disable_simplify/Exp3_8,,2,10742392.0,406
disable_simplify/Exp3_8,,2,12350651.0,464
disable_simplify/Exp3_8,,2,12731189.0,522
disable_simplify/Exp3_8,,2,14218194.0,580
disable_simplify/Exp3_8,,2,13819040.0,638
disable_simplify/Exp3_8,,2,14853249.0,696
disable_simplify/Exp3_8,,2,15128493.0,754
disable_simplify/Exp3_8,,2,15650403.0,812
disable_simplify/Exp3_8,,2,16337789.0,870
disable_simplify/Exp3_8,,2,16877889.0,928
disable_simplify/Exp3_8,,2,17824384.0,986
disable_simplify/Exp3_8,,2,18294491.0,1044
disable_simplify/Exp3_8,,2,19264597.0,1102
disable_simplify/Exp3_8,,2,20893424.0,1160
disable_simplify/Exp3_8,,2,21627860.0,1218
disable_simplify/Exp3_8,,2,23494489.0,1276
disable_simplify/Exp3_8,,2,21958835.0,1334
disable_simplify/Exp3_8,,2,26341328.0,1392
disable_simplify/Exp3_8,,2,24399617.0,1450
disable_simplify/Exp3_8,,2,25249312.0,1508
disable_simplify/Exp3_8,,2,26278712.0,1566
disable_simplify/Exp3_8,,2,26177611.0,1624
disable_simplify/Exp3_8,,2,32126425.0,1682
disable_simplify/Exp3_8,,2,27556497.0,1740
disable_simplify/Exp3_8,,2,33197862.0,1798
disable_simplify/Exp3_8,,2,30578488.0,1856
disable_simplify/Exp3_8,,2,33376655.0,1914
disable_simplify/Exp3_8,,2,31166205.0,1972
disable_simplify/Exp3_8,,2,31908898.0,2030
disable_simplify/Exp3_8,,2,33581548.0,2088
disable_simplify/Exp3_8,,2,40502855.0,2146
disable_simplify/Exp3_8,,2,34709186.0,2204
disable_simplify/Exp3_8,,2,40653623.0,2262
disable_simplify/Exp3_8,,2,40480311.0,2320
disable_simplify/Exp3_8,,2,38256618.0,2378
disable_simplify/Exp3_8,,2,43931264.0,2436
disable_simplify/Exp3_8,,2,44828216.0,2494
disable_simplify/Exp3_8,,2,46147322.0,2552
disable_simplify/Exp3_8,,2,40322094.0,2610
disable_simplify/Exp3_8,,2,43920232.0,2668
disable_simplify/Exp3_8,,2,44522260.0,2726
disable_simplify/Exp3_8,,2,50681359.0,2784
disable_simplify/Exp3_8,,2,52131081.0,2842
disable_simplify/Exp3_8,,2,47659610.0,2900
disable_simplify/Exp3_8,,2,46919101.0,2958
disable_simplify/Exp3_8,,2,47060131.0,3016
disable_simplify/Exp3_8,,2,47808172.0,3074
disable_simplify/Exp3_8,,2,56498342.0,3132
disable_simplify/Exp3_8,,2,52220101.0,3190
disable_simplify/Exp3_8,,2,51887445.0,3248
disable_simplify/Exp3_8,,2,52155837.0,3306
disable_simplify/Exp3_8,,2,53661733.0,3364
disable_simplify/Exp3_8,,2,56269620.0,3422
disable_simplify/Exp3_8,,2,52988573.0,3480
disable_simplify/Exp3_8,,2,56595719.0,3538
disable_simplify/Exp3_8,,2,54997888.0,3596
disable_simplify/Exp3_8,,2,58220047.0,3654
disable_simplify/Exp3_8,,2,60225293.0,3712
disable_simplify/Exp3_8,,2,61328169.0,3770
disable_simplify/Exp3_8,,2,62167917.0,3828
disable_simplify/Exp3_8,,2,63151321.0,3886
disable_simplify/Exp3_8,,2,65215674.0,3944
disable_simplify/Exp3_8,,2,65539593.0,4002
disable_simplify/Exp3_8,,2,65149331.0,4060
disable_simplify/Exp3_8,,2,67622314.0,4118
disable_simplify/Exp3_8,,2,69838826.0,4176
disable_simplify/Exp3_8,,2,71189327.0,4234
disable_simplify/Exp3_8,,2,70491697.0,4292
disable_simplify/Exp3_8,,2,76403141.0,4350
disable_simplify/Exp3_8,,2,69912951.0,4408
disable_simplify/Exp3_8,,2,77728289.0,4466
disable_simplify/Exp3_8,,2,71314681.0,4524
disable_simplify/Exp3_8,,2,75474513.0,4582
disable_simplify/Exp3_8,,2,76513105.0,4640
disable_simplify/Exp3_8,,2,69797686.0,4698
disable_simplify/Exp3_8,,2,81833598.0,4756
disable_simplify/Exp3_8,,2,76145757.0,4814
disable_simplify/Exp3_8,,2,79151031.0,4872
disable_simplify/Exp3_8,,2,81800084.0,4930
disable_simplify/Exp3_8,,2,78598476.0,4988
disable_simplify/Exp3_8,,2,86695009.0,5046
disable_simplify/Exp3_8,,2,84470137.0,5104
disable_simplify/Exp3_8,,2,91326589.0,5162
disable_simplify/Exp3_8,,2,93791089.0,5220
disable_simplify/Exp3_8,,2,90493977.0,5278
disable_simplify/Exp3_8,,2,84665722.0,5336
disable_simplify/Exp3_8,,2,88572696.0,5394
disable_simplify/Exp3_8,,2,93041125.0,5452
disable_simplify/Exp3_8,,2,91903915.0,5510
disable_simplify/Exp3_8,,2,93390184.0,5568
disable_simplify/Exp3_8,,2,92467267.0,5626
disable_simplify/Exp3_8,,2,98879715.0,5684
disable_simplify/Exp3_8,,2,103285567.0,5742
disable_simplify/Exp3_8,,2,97070077.0,5800
