group,function,value,sample_time_nanos,iteration_count
disable_simplify/Exp3_8,,3,10095351.0,39
disable_simplify/Exp3_8,,3,11210117.0,78
disable_simplify/Exp3_8,,3,12025431.0,117
disable_simplify/Exp3_8,,3,16300277.0,156
disable_simplify/Exp3_8,,3,18551914.0,195
disable_simplify/Exp3_8,,3,11834550.0,234
disable_simplify/Exp3_8,,3,12741449.0,273
disable_simplify/Exp3_8,,3,14075210.0,312
disable_simplify/Exp3_8,,3,17639688.0,351
disable_simplify/Exp3_8,,3,18971063.0,390
disable_simplify/Exp3_8,,3,24012657.0,429
disable_simplify/Exp3_8,,3,26961158.0,468
disable_simplify/Exp3_8,,3,29175965.0,507
disable_simplify/Exp3_8,,3,20309744.0,546
disable_simplify/Exp3_8,,3,20664291.0,585
disable_simplify/Exp3_8,,3,21743379.0,624
disable_simplify/Exp3_8,,3,20687612.0,663
disable_simplify/Exp3_8,,3,20046959.0,702
disable_simplify/Exp3_8,,3,20667263.0,741
disable_simplify/Exp3_8,,3,22047923.0,780
disable_simplify/Exp3_8,,3,23158645.0,819
disable_simplify/Exp3_8,,3,25027124.0,858
disable_simplify/Exp3_8,,3,25161346.0,897
disable_simplify/Exp3_8,,3,26595096.0,936
disable_simplify/Exp3_8,,3,34747424.0,975
disable_simplify/Exp3_8,,3,36563424.0,1014
disable_simplify/Exp3_8,,3,41904816.0,1053
disable_simplify/Exp3_8,,3,49127229.0,1092
disable_simplify/Exp3_8,,3,43954561.0,1131
disable_simplify/Exp3_8,,3,35171413.0,1170
disable_simplify/Exp3_8,,3,31542964.0,1209
disable_simplify/Exp3_8,,3,34067088.0,1248
disable_simplify/Exp3_8,,3,33539972.0,1287
disable_simplify/Exp3_8,,3,35706739.0,1326
disable_simplify/Exp3_8,,3,33013569.0,1365
disable_simplify/Exp3_8,,3,38828287.0,1404
disable_simplify/Exp3_8,,3,36429570.0,1443
disable_simplify/Exp3_8,,3,43242244.0,1482
disable_simplify/Exp3_8,,3,52581298.0,1521
disable_simplify/Exp3_8,,3,55809889.0,1560
disable_simplify/Exp3_8,,3,54831623.0,1599
disable_simplify/Exp3_8,,3,46164519.0,1638
disable_simplify/Exp3_8,,3,40257186.0,1677
disable_simplify/Exp3_8,,3,41674143.0,1716
disable_simplify/Exp3_8,,3,48567908.0,1755
disable_simplify/Exp3_8,,3,44428125.0,1794
disable_simplify/Exp3_8,,3,45043977.0,1833
disable_simplify/Exp3_8,,3,48700569.0,1872
disable_simplify/Exp3_8,,3,55130603.0,1911
disable_simplify/Exp3_8,,3,49088473.0,1950
disable_simplify/Exp3_8,,3,48996885.0,1989
disable_simplify/Exp3_8,,3,55590479.0,2028
disable_simplify/Exp3_8,,3,51642366.0,2067
disable_simplify/Exp3_8,,3,54242945.0,2106
disable_simplify/Exp3_8,,3,54683088.0,2145
disable_simplify/Exp3_8,,3,60934821.0,2184
disable_simplify/Exp3_8,,3,69917283.0,2223
disable_simplify/Exp3_8,,3,69060902.0,2262
disable_simplify/Exp3_8,,3,59341598.0,2301
disable_simplify/Exp3_8,,3,57138669.0,2340
disable_simplify/Exp3_8,,3,58613220.0,2379
disable_simplify/Exp3_8,,3,84203641.0,2418
disable_simplify/Exp3_8,,3,129527058.0,2457
disable_simplify/Exp3_8,,3,89585234.0,2496
disable_simplify/Exp3_8,,3,66284862.0,2535
disable_simplify/Exp3_8,,3,66706706.0,2574
disable_simplify/Exp3_8,,3,72006713.0,2613
disable_simplify/Exp3_8,,3,96743768.0,2652
disable_simplify/Exp3_8,,3,166878663.0,2691
disable_simplify/Exp3_8,,3,92446335.0,2730
disable_simplify/Exp3_8,,3,67710860.0,2769
disable_simplify/Exp3_8,,3,70102291.0,2808
disable_simplify/Exp3_8,,3,79973856.0,2847
disable_simplify/Exp3_8,,3,72713671.0,2886
disable_simplify/Exp3_8,,3,74583162.0,2925
disable_simplify/Exp3_8,,3,91410028.0,2964
disable_simplify/Exp3_8,,3,72393193.0,3003
disable_simplify/Exp3_8,,3,72356189.0,3042
disable_simplify/Exp3_8,,3,75983775.0,3081
disable_simplify/Exp3_8,,3,80569379.0,3120
disable_simplify/Exp3_8,,3,76403594.0,3159
disable_simplify/Exp3_8,,3,92702333.0,3198
disable_simplify/Exp3_8,,3,80767083.0,3237
disable_simplify/Exp3_8,,3,79733424.0,3276
disable_simplify/Exp3_8,,3,83851475.0,3315
disable_simplify/Exp3_8,,3,81768256.0,3354
disable_simplify/Exp3_8,,3,87656386.0,3393
disable_simplify/Exp3_8,,3,95525936.0,3432
disable_simplify/Exp3_8,,3,83346889.0,3471
disable_simplify/Exp3_8,,3,85780571.0,3510
disable_simplify/Exp3_8,,3,90604597.0,3549
disable_simplify/Exp3_8,,3,86064795.0,3588
disable_simplify/Exp3_8,,3,88743109.0,3627
disable_simplify/Exp3_8,,3,103005917.0,3666
disable_simplify/Exp3_8,,3,97387206.0,3705
disable_simplify/Exp3_8,,3,90858152.0,3744
disable_simplify/Exp3_8,,3,93513850.0,3783
disable_simplify/Exp3_8,,3,155769868.0,3822
disable_simplify/Exp3_8,,3,151107814.0,3861
disable_simplify/Exp3_8,,3,96830230.0,3900
