group,function,value,sample_time_nanos,iteration_count
disable_simplify/Exp3_8,,5,5387367.0,10
disable_simplify/Exp3_8,,5,6526398.0,20
disable_simplify/Exp3_8,,5,8220937.0,30
disable_simplify/Exp3_8,,5,8996381.0,40
disable_simplify/Exp3_8,,5,10196047.0,50
disable_simplify/Exp3_8,,5,10569275.0,60
disable_simplify/Exp3_8,,5,11348829.0,70
disable_simplify/Exp3_8,,5,11955115.0,80
disable_simplify/Exp3_8,,5,13449169.0,90
disable_simplify/Exp3_8,,5,14233078.0,100
disable_simplify/Exp3_8,,5,14905255.0,110
disable_simplify/Exp3_8,,5,16377804.0,120
disable_simplify/Exp3_8,,5,17726795.0,130
disable_simplify/Exp3_8,,5,18704101.0,140
disable_simplify/Exp3_8,,5,18925085.0,150
disable_simplify/Exp3_8,,5,20630485.0,160
disable_simplify/Exp3_8,,5,21388485.0,170
disable_simplify/Exp3_8,,5,23064005.0,180
disable_simplify/Exp3_8,,5,23909836.0,190
disable_simplify/Exp3_8,,5,24839113.0,200
disable_simplify/Exp3_8,,5,26334821.0,210
disable_simplify/Exp3_8,,5,27510343.0,220
disable_simplify/Exp3_8,,5,28019804.0,230
disable_simplify/Exp3_8,,5,27637132.0,240
disable_simplify/Exp3_8,,5,27265172.0,250
disable_simplify/Exp3_8,,5,28383097.0,260
disable_simplify/Exp3_8,,5,31563173.0,270
disable_simplify/Exp3_8,,5,30759437.0,280
disable_simplify/Exp3_8,,5,32944253.0,290
disable_simplify/Exp3_8,,5,36217268.0,300
disable_simplify/Exp3_8,,5,34005999.0,310
disable_simplify/Exp3_8,,5,34771330.0,320
disable_simplify/Exp3_8,,5,36736660.0,330
disable_simplify/Exp3_8,,5,37356950.0,340
disable_simplify/Exp3_8,,5,40354126.0,350
disable_simplify/Exp3_8,,5,39764291.0,360
disable_simplify/Exp3_8,,5,40549221.0,370
disable_simplify/Exp3_8,,5,41325782.0,380
disable_simplify/Exp3_8,,5,38839462.0,390
disable_simplify/Exp3_8,,5,43839276.0,400
disable_simplify/Exp3_8,,5,45491361.0,410
disable_simplify/Exp3_8,,5,47390930.0,420
disable_simplify/Exp3_8,,5,47755511.0,430
disable_simplify/Exp3_8,,5,49807522.0,440
disable_simplify/Exp3_8,,5,47786814.0,450
disable_simplify/Exp3_8,,5,52063056.0,460
disable_simplify/Exp3_8,,5,50825641.0,470
disable_simplify/Exp3_8,,5,51098850.0,480
disable_simplify/Exp3_8,,5,53037788.0,490
disable_simplify/Exp3_8,,5,55208791.0,500
disable_simplify/Exp3_8,,5,56095854.0,510
disable_simplify/Exp3_8,,5,54608437.0,520
disable_simplify/Exp3_8,,5,56384101.0,530
disable_simplify/Exp3_8,,5,56868254.0,540
disable_simplify/Exp3_8,,5,58241468.0,550
disable_simplify/Exp3_8,,5,59023460.0,560
disable_simplify/Exp3_8,,5,62313413.0,570
disable_simplify/Exp3_8,,5,63298847.0,580
disable_simplify/Exp3_8,,5,63976062.0,590
disable_simplify/Exp3_8,,5,65993568.0,600
disable_simplify/Exp3_8,,5,67056731.0,610
disable_simplify/Exp3_8,,5,66592305.0,620
disable_simplify/Exp3_8,,5,68359212.0,630
disable_simplify/Exp3_8,,5,61730511.0,640
disable_simplify/Exp3_8,,5,70425765.0,650
disable_simplify/Exp3_8,,5,63739129.0,660
disable_simplify/Exp3_8,,5,70143232.0,670
disable_simplify/Exp3_8,,5,73334169.0,680
disable_simplify/Exp3_8,,5,74280325.0,690
disable_simplify/Exp3_8,,5,74762020.0,700
disable_simplify/Exp3_8,,5,76661568.0,710
disable_simplify/Exp3_8,,5,76837031.0,720
disable_simplify/Exp3_8,,5,77664766.0,730
disable_simplify/Exp3_8,,5,78870633.0,740
disable_simplify/Exp3_8,,5,78261384.0,750
disable_simplify/Exp3_8,,5,78801106.0,760
disable_simplify/Exp3_8,,5,82004721.0,770
disable_simplify/Exp3_8,,5,73374659.0,780
disable_simplify/Exp3_8,,5,83503937.0,790
disable_simplify/Exp3_8,,5,86027138.0,800
disable_simplify/Exp3_8,,5,84302702.0,810
disable_simplify/Exp3_8,,5,85917561.0,820
disable_simplify/Exp3_8,,5,86699711.0,830
disable_simplify/Exp3_8,,5,88019036.0,840
disable_simplify/Exp3_8,,5,91787690.0,850
disable_simplify/Exp3_8,,5,89904799.0,860
disable_simplify/Exp3_8,,5,93334465.0,870
disable_simplify/Exp3_8,,5,86382548.0,880
disable_simplify/Exp3_8,,5,95528024.0,890
disable_simplify/Exp3_8,,5,95201534.0,900
disable_simplify/Exp3_8,,5,85106994.0,910
disable_simplify/Exp3_8,,5,94292949.0,920
disable_simplify/Exp3_8,,5,95642834.0,930
disable_simplify/Exp3_8,,5,90075237.0,940
disable_simplify/Exp3_8,,5,101318182.0,950
disable_simplify/Exp3_8,,5,89998735.0,960
disable_simplify/Exp3_8,,5,102984053.0,970
disable_simplify/Exp3_8,,5,110519679.0,980
disable_simplify/Exp3_8,,5,108063181.0,990
disable_simplify/Exp3_8,,5,107347254.0,1000
