group,function,value,sample_time_nanos,iteration_count
disable_simplify/Integrate,,1,5288965.0,60
disable_simplify/Integrate,,1,6321645.0,120
disable_simplify/Integrate,,1,6733332.0,180
disable_simplify/Integrate,,1,8003301.0,240
disable_simplify/Integrate,,1,8744897.0,300
disable_simplify/Integrate,,1,10008352.0,360
disable_simplify/Integrate,,1,10781590.0,420
disable_simplify/Integrate,,1,11212667.0,480
disable_simplify/Integrate,,1,12548629.0,540
disable_simplify/Integrate,,1,14531067.0,600
disable_simplify/Integrate,,1,13977284.0,660
disable_simplify/Integrate,,1,14591621.0,720
disable_simplify/Integrate,,1,16506599.0,780
disable_simplify/Integrate,,1,16968459.0,840
disable_simplify/Integrate,,1,20760796.0,900
disable_simplify/Integrate,,1,20676332.0,960
disable_simplify/Integrate,,1,20313984.0,1020
disable_simplify/Integrate,,1,20739023.0,1080
disable_simplify/Integrate,,1,24903989.0,1140
disable_simplify/Integrate,,1,22355830.0,1200
disable_simplify/Integrate,,1,23089444.0,1260
disable_simplify/Integrate,,1,23114198.0,1320
disable_simplify/Integrate,,1,23418190.0,1380
disable_simplify/Integrate,,1,23666689.0,1440
disable_simplify/Integrate,,1,27563688.0,1500
disable_simplify/Integrate,,1,32752744.0,1560
disable_simplify/Integrate,,1,28323281.0,1620
disable_simplify/Integrate,,1,27174697.0,1680
disable_simplify/Integrate,,1,28989812.0,1740
disable_simplify/Integrate,,1,37039811.0,1800
disable_simplify/Integrate,,1,30185736.0,1860
disable_simplify/Integrate,,1,31870516.0,1920
disable_simplify/Integrate,,1,34397900.0,1980
disable_simplify/Integrate,,1,39050889.0,2040
disable_simplify/Integrate,,1,35464832.0,2100
disable_simplify/Integrate,,1,34843225.0,2160
disable_simplify/Integrate,,1,36526441.0,2220
disable_simplify/Integrate,,1,35615347.0,2280
disable_simplify/Integrate,,1,48016140.0,2340
disable_simplify/Integrate,,1,40400273.0,2400
disable_simplify/Integrate,,1,43558081.0,2460
disable_simplify/Integrate,,1,48078611.0,2520
disable_simplify/Integrate,,1,44089530.0,2580
disable_simplify/Integrate,,1,44891533.0,2640
disable_simplify/Integrate,,1,49131749.0,2700
disable_simplify/Integrate,,1,46048257.0,2760
disable_simplify/Integrate,,1,51239860.0,2820
disable_simplify/Integrate,,1,45483264.0,2880
disable_simplify/Integrate,,1,46487954.0,2940
disable_simplify/Integrate,,1,50247939.0,3000
disable_simplify/Integrate,,1,50919019.0,3060
disable_simplify/Integrate,,1,59121286.0,3120
disable_simplify/Integrate,,1,54172559.0,3180
disable_simplify/Integrate,,1,56380340.0,3240
disable_simplify/Integrate,,1,55903452.0,3300
disable_simplify/Integrate,,1,58998862.0,3360
disable_simplify/Integrate,,1,57893507.0,3420
disable_simplify/Integrate,,1,57148734.0,3480
disable_simplify/Integrate,,1,65275799.0,3540
disable_simplify/Integrate,,1,57191299.0,3600
disable_simplify/Integrate,,1,61276852.0,3660
disable_simplify/Integrate,,1,62798461.0,3720
disable_simplify/Integrate,,1,59555096.0,3780
disable_simplify/Integrate,,1,71420749.0,3840
disable_simplify/Integrate,,1,60431842.0,3900
disable_simplify/Integrate,,1,64018844.0,3960
disable_simplify/Integrate,,1,67189723.0,4020
disable_simplify/Integrate,,1,68198431.0,4080
disable_simplify/Integrate,,1,72583845.0,4140
disable_simplify/Integrate,,1,75200466.0,4200
disable_simplify/Integrate,,1,65954594.0,4260
disable_simplify/Integrate,,1,68158206.0,4320
disable_simplify/Integrate,,1,69014465.0,4380
disable_simplify/Integrate,,1,66649216.0,4440
disable_simplify/Integrate,,1,71235301.0,4500
disable_simplify/Integrate,,1,76929827.0,4560
disable_simplify/Integrate,,1,77860515.0,4620
disable_simplify/Integrate,,1,75840083.0,4680
disable_simplify/Integrate,,1,79021338.0,4740
disable_simplify/Integrate,,1,77922187.0,4800
disable_simplify/Integrate,,1,82827418.0,4860
disable_simplify/Integrate,,1,82953593.0,4920
disable_simplify/Integrate,,1,85314319.0,4980
disable_simplify/Integrate,,1,78145130.0,5040
disable_simplify/Integrate,,1,77833186.0,5100
disable_simplify/Integrate,,1,86425858.0,5160
disable_simplify/Integrate,,1,91163522.0,5220
disable_simplify/Integrate,,1,84622854.0,5280
disable_simplify/Integrate,,1,87084902.0,5340
disable_simplify/Integrate,,1,86270612.0,5400
disable_simplify/Integrate,,1,86697517.0,5460
disable_simplify/Integrate,,1,86990909.0,5520
disable_simplify/Integrate,,1,91139361.0,5580
disable_simplify/Integrate,,1,93947685.0,5640
disable_simplify/Integrate,,1,84491897.0,5700
disable_simplify/Integrate,,1,99238575.0,5760
disable_simplify/Integrate,,1,94218957.0,5820
disable_simplify/Integrate,,1,94375565.0,5880
disable_simplify/Integrate,,1,95397117.0,5940
disable_simplify/Integrate,,1,105348976.0,6000
