group,function,value,sample_time_nanos,iteration_count
disable_simplify/Integrate,,5,5875392.0,56
disable_simplify/Integrate,,5,6903550.0,112
disable_simplify/Integrate,,5,7756128.0,168
disable_simplify/Integrate,,5,8523126.0,224
disable_simplify/Integrate,,5,9102342.0,280
disable_simplify/Integrate,,5,10496383.0,336
disable_simplify/Integrate,,5,11336442.0,392
disable_simplify/Integrate,,5,12223844.0,448
disable_simplify/Integrate,,5,13132230.0,504
disable_simplify/Integrate,,5,14357713.0,560
disable_simplify/Integrate,,5,14277432.0,616
disable_simplify/Integrate,,5,15624608.0,672
disable_simplify/Integrate,,5,16143983.0,728
disable_simplify/Integrate,,5,18022123.0,784
disable_simplify/Integrate,,5,18570291.0,840
disable_simplify/Integrate,,5,19491593.0,896
disable_simplify/Integrate,,5,20237474.0,952
disable_simplify/Integrate,,5,23465010.0,1008
disable_simplify/Integrate,,5,20148258.0,1064
disable_simplify/Integrate,,5,23467276.0,1120
disable_simplify/Integrate,,5,23267844.0,1176
disable_simplify/Integrate,,5,23776580.0,1232
disable_simplify/Integrate,,5,27446122.0,1288
disable_simplify/Integrate,,5,29375303.0,1344
disable_simplify/Integrate,,5,32969421.0,1400
disable_simplify/Integrate,,5,35220267.0,1456
disable_simplify/Integrate,,5,35031589.0,1512
disable_simplify/Integrate,,5,35581041.0,1568
disable_simplify/Integrate,,5,30399999.0,1624
disable_simplify/Integrate,,5,32042709.0,1680
disable_simplify/Integrate,,5,38737807.0,1736
disable_simplify/Integrate,,5,34890790.0,1792
disable_simplify/Integrate,,5,33114332.0,1848
disable_simplify/Integrate,,5,38903234.0,1904
disable_simplify/Integrate,,5,37183795.0,1960
disable_simplify/Integrate,,5,39072523.0,2016
disable_simplify/Integrate,,5,42415578.0,2072
disable_simplify/Integrate,,5,38984167.0,2128
disable_simplify/Integrate,,5,42329264.0,2184
disable_simplify/Integrate,,5,41977328.0,2240
disable_simplify/Integrate,,5,39526417.0,2296
disable_simplify/Integrate,,5,42452336.0,2352
disable_simplify/Integrate,,5,43047926.0,2408
disable_simplify/Integrate,,5,50797619.0,2464
disable_simplify/Integrate,,5,52263754.0,2520
disable_simplify/Integrate,,5,44709229.0,2576
disable_simplify/Integrate,,5,49649673.0,2632
disable_simplify/Integrate,,5,57409828.0,2688
disable_simplify/Integrate,,5,53563656.0,2744
disable_simplify/Integrate,,5,50020070.0,2800
disable_simplify/Integrate,,5,51122738.0,2856
disable_simplify/Integrate,,5,49339695.0,2912
disable_simplify/Integrate,,5,49398033.0,2968
disable_simplify/Integrate,,5,55008737.0,3024
disable_simplify/Integrate,,5,50965152.0,3080
disable_simplify/Integrate,,5,53483916.0,3136
disable_simplify/Integrate,,5,56076625.0,3192
disable_simplify/Integrate,,5,54562161.0,3248
disable_simplify/Integrate,,5,61208186.0,3304
disable_simplify/Integrate,,5,64034471.0,3360
disable_simplify/Integrate,,5,59834747.0,3416
disable_simplify/Integrate,,5,68862328.0,3472
disable_simplify/Integrate,,5,65698674.0,3528
disable_simplify/Integrate,,5,62941777.0,3584
disable_simplify/Integrate,,5,71962565.0,3640
disable_simplify/Integrate,,5,63014865.0,3696
disable_simplify/Integrate,,5,70714585.0,3752
disable_simplify/Integrate,,5,76636191.0,3808
disable_simplify/Integrate,,5,74622430.0,3864
disable_simplify/Integrate,,5,67620468.0,3920
disable_simplify/Integrate,,5,67523282.0,3976
disable_simplify/Integrate,,5,70817758.0,4032
disable_simplify/Integrate,,5,70770572.0,4088
disable_simplify/Integrate,,5,80991088.0,4144
disable_simplify/Integrate,,5,77816476.0,4200
disable_simplify/Integrate,,5,91909408.0,4256
disable_simplify/Integrate,,5,70117363.0,4312
disable_simplify/Integrate,,5,82681314.0,4368
disable_simplify/Integrate,,5,87665208.0,4424
disable_simplify/Integrate,,5,90461546.0,4480
disable_simplify/Integrate,,5,77503881.0,4536
disable_simplify/Integrate,,5,79835478.0,4592
disable_simplify/Integrate,,5,79999911.0,4648
disable_simplify/Integrate,,5,87905959.0,4704
disable_simplify/Integrate,,5,81521687.0,4760
disable_simplify/Integrate,,5,83370342.0,4816
disable_simplify/Integrate,,5,85648373.0,4872
disable_simplify/Integrate,,5,85515252.0,4928
disable_simplify/Integrate,,5,86221467.0,4984
disable_simplify/Integrate,,5,90885155.0,5040
disable_simplify/Integrate,,5,91778132.0,5096
disable_simplify/Integrate,,5,89625209.0,5152
disable_simplify/Integrate,,5,93675926.0,5208
disable_simplify/Integrate,,5,88579331.0,5264
disable_simplify/Integrate,,5,98295579.0,5320
disable_simplify/Integrate,,5,98845945.0,5376
disable_simplify/Integrate,,5,94397283.0,5432
disable_simplify/Integrate,,5,91784772.0,5488
disable_simplify/Integrate,,5,96766745.0,5544
disable_simplify/Integrate,,5,111598480.0,5600
