group,function,value,sample_time_nanos,iteration_count
disable_simplify/Nfib,,16,5563522.0,2
disable_simplify/Nfib,,16,7317075.0,4
disable_simplify/Nfib,,16,8055978.0,6
disable_simplify/Nfib,,16,10411256.0,8
disable_simplify/Nfib,,16,11529371.0,10
disable_simplify/Nfib,,16,12177727.0,12
disable_simplify/Nfib,,16,16000929.0,14
disable_simplify/Nfib,,16,16524920.0,16
disable_simplify/Nfib,,16,17756052.0,18
disable_simplify/Nfib,,16,18668719.0,20
disable_simplify/Nfib,,16,19547816.0,22
disable_simplify/Nfib,,16,21898946.0,24
disable_simplify/Nfib,,16,23738477.0,26
disable_simplify/Nfib,,16,24905160.0,28
disable_simplify/Nfib,,16,24102908.0,30
disable_simplify/Nfib,,16,26407577.0,32
disable_simplify/Nfib,,16,28449418.0,34
disable_simplify/Nfib,,16,28221502.0,36
disable_simplify/Nfib,,16,29734956.0,38
disable_simplify/Nfib,,16,32337968.0,40
disable_simplify/Nfib,,16,33036276.0,42
disable_simplify/Nfib,,16,35881305.0,44
disable_simplify/Nfib,,16,35242137.0,46
disable_simplify/Nfib,,16,37038193.0,48
disable_simplify/Nfib,,16,38647730.0,50
disable_simplify/Nfib,,16,41032687.0,52
disable_simplify/Nfib,,16,42209123.0,54
disable_simplify/Nfib,,16,41592037.0,56
disable_simplify/Nfib,,16,46934627.0,58
disable_simplify/Nfib,,16,45249632.0,60
disable_simplify/Nfib,,16,45764058.0,62
disable_simplify/Nfib,,16,47201474.0,64
disable_simplify/Nfib,,16,48787953.0,66
disable_simplify/Nfib,,16,50837750.0,68
disable_simplify/Nfib,,16,48294075.0,70
disable_simplify/Nfib,,16,52533902.0,72
disable_simplify/Nfib,,16,55298274.0,74
disable_simplify/Nfib,,16,54942521.0,76
disable_simplify/Nfib,,16,57886238.0,78
disable_simplify/Nfib,,16,57595627.0,80
disable_simplify/Nfib,,16,58966752.0,82
disable_simplify/Nfib,,16,60431121.0,84
disable_simplify/Nfib,,16,60219761.0,86
disable_simplify/Nfib,,16,62005208.0,88
disable_simplify/Nfib,,16,65169724.0,90
disable_simplify/Nfib,,16,62513505.0,92
disable_simplify/Nfib,,16,65336057.0,94
disable_simplify/Nfib,,16,69118404.0,96
disable_simplify/Nfib,,16,70919976.0,98
disable_simplify/Nfib,,16,70785417.0,100
disable_simplify/Nfib,,16,69841463.0,102
disable_simplify/Nfib,,16,75341433.0,104
disable_simplify/Nfib,,16,74008306.0,106
disable_simplify/Nfib,,16,78899559.0,108
disable_simplify/Nfib,,16,74257497.0,110
disable_simplify/Nfib,,16,79076355.0,112
disable_simplify/Nfib,,16,82239071.0,114
disable_simplify/Nfib,,16,78933261.0,116
disable_simplify/Nfib,,16,86307057.0,118
disable_simplify/Nfib,,16,86541152.0,120
disable_simplify/Nfib,,16,89394618.0,122
disable_simplify/Nfib,,16,87339218.0,124
disable_simplify/Nfib,,16,89740188.0,126
disable_simplify/Nfib,,16,89986388.0,128
disable_simplify/Nfib,,16,88050972.0,130
disable_simplify/Nfib,,16,92191109.0,132
disable_simplify/Nfib,,16,86307980.0,134
disable_simplify/Nfib,,16,95995898.0,136
disable_simplify/Nfib,,16,95068284.0,138
disable_simplify/Nfib,,16,92580821.0,140
disable_simplify/Nfib,,16,100388149.0,142
disable_simplify/Nfib,,16,101206596.0,144
disable_simplify/Nfib,,16,102667245.0,146
disable_simplify/Nfib,,16,108071275.0,148
disable_simplify/Nfib,,16,105864985.0,150
disable_simplify/Nfib,,16,100049274.0,152
disable_simplify/Nfib,,16,105570457.0,154
disable_simplify/Nfib,,16,103348923.0,156
disable_simplify/Nfib,,16,108599133.0,158
disable_simplify/Nfib,,16,113425996.0,160
disable_simplify/Nfib,,16,113224200.0,162
disable_simplify/Nfib,,16,115063750.0,164
disable_simplify/Nfib,,16,120315991.0,166
disable_simplify/Nfib,,16,113371986.0,168
disable_simplify/Nfib,,16,119992780.0,170
disable_simplify/Nfib,,16,120475620.0,172
disable_simplify/Nfib,,16,122636382.0,174
disable_simplify/Nfib,,16,118506415.0,176
disable_simplify/Nfib,,16,124676074.0,178
disable_simplify/Nfib,,16,124697633.0,180
disable_simplify/Nfib,,16,135891307.0,182
disable_simplify/Nfib,,16,127398624.0,184
disable_simplify/Nfib,,16,129567252.0,186
disable_simplify/Nfib,,16,132162202.0,188
disable_simplify/Nfib,,16,132735440.0,190
disable_simplify/Nfib,,16,133897415.0,192
disable_simplify/Nfib,,16,139468853.0,194
disable_simplify/Nfib,,16,137841910.0,196
disable_simplify/Nfib,,16,140311235.0,198
disable_simplify/Nfib,,16,136194659.0,200
