group,function,value,sample_time_nanos,iteration_count
disable_simplify/Paraffins,,11,20870364.0,1
disable_simplify/Paraffins,,11,37922876.0,2
disable_simplify/Paraffins,,11,54819856.0,3
disable_simplify/Paraffins,,11,71381434.0,4
disable_simplify/Paraffins,,11,86624558.0,5
disable_simplify/Paraffins,,11,101202045.0,6
disable_simplify/Paraffins,,11,117633088.0,7
disable_simplify/Paraffins,,11,136355602.0,8
disable_simplify/Paraffins,,11,158512011.0,9
disable_simplify/Paraffins,,11,176495533.0,10
disable_simplify/Paraffins,,11,195646543.0,11
disable_simplify/Paraffins,,11,204385959.0,12
disable_simplify/Paraffins,,11,218259429.0,13
disable_simplify/Paraffins,,11,244188374.0,14
disable_simplify/Paraffins,,11,262456679.0,15
disable_simplify/Paraffins,,11,268405845.0,16
disable_simplify/Paraffins,,11,281455349.0,17
disable_simplify/Paraffins,,11,300793769.0,18
disable_simplify/Paraffins,,11,320978680.0,19
disable_simplify/Paraffins,,11,334473206.0,20
disable_simplify/Paraffins,,11,343778308.0,21
disable_simplify/Paraffins,,11,368217493.0,22
disable_simplify/Paraffins,,11,383604130.0,23
disable_simplify/Paraffins,,11,397484737.0,24
disable_simplify/Paraffins,,11,414586710.0,25
disable_simplify/Paraffins,,11,433901249.0,26
disable_simplify/Paraffins,,11,452482106.0,27
disable_simplify/Paraffins,,11,468287390.0,28
disable_simplify/Paraffins,,11,479373813.0,29
disable_simplify/Paraffins,,11,498903561.0,30
disable_simplify/Paraffins,,11,518628854.0,31
disable_simplify/Paraffins,,11,521110067.0,32
disable_simplify/Paraffins,,11,539247691.0,33
disable_simplify/Paraffins,,11,551545779.0,34
disable_simplify/Paraffins,,11,572636322.0,35
disable_simplify/Paraffins,,11,591670370.0,36
disable_simplify/Paraffins,,11,610117778.0,37
disable_simplify/Paraffins,,11,627869813.0,38
disable_simplify/Paraffins,,11,639310439.0,39
disable_simplify/Paraffins,,11,677626388.0,40
disable_simplify/Paraffins,,11,673400072.0,41
disable_simplify/Paraffins,,11,692655761.0,42
disable_simplify/Paraffins,,11,715780535.0,43
disable_simplify/Paraffins,,11,729078034.0,44
disable_simplify/Paraffins,,11,752183905.0,45
disable_simplify/Paraffins,,11,753402326.0,46
disable_simplify/Paraffins,,11,760911481.0,47
disable_simplify/Paraffins,,11,786817278.0,48
disable_simplify/Paraffins,,11,806957346.0,49
disable_simplify/Paraffins,,11,826862276.0,50
disable_simplify/Paraffins,,11,826914098.0,51
disable_simplify/Paraffins,,11,856818958.0,52
disable_simplify/Paraffins,,11,873549259.0,53
disable_simplify/Paraffins,,11,888649359.0,54
disable_simplify/Paraffins,,11,891182169.0,55
disable_simplify/Paraffins,,11,952986049.0,56
disable_simplify/Paraffins,,11,921101420.0,57
disable_simplify/Paraffins,,11,955233013.0,58
disable_simplify/Paraffins,,11,960377964.0,59
disable_simplify/Paraffins,,11,982847285.0,60
disable_simplify/Paraffins,,11,996388632.0,61
disable_simplify/Paraffins,,11,1019359542.0,62
disable_simplify/Paraffins,,11,1033185589.0,63
disable_simplify/Paraffins,,11,1049902639.0,64
disable_simplify/Paraffins,,11,1063568276.0,65
disable_simplify/Paraffins,,11,1071279714.0,66
disable_simplify/Paraffins,,11,1106078154.0,67
disable_simplify/Paraffins,,11,1122966340.0,68
disable_simplify/Paraffins,,11,1114589669.0,69
disable_simplify/Paraffins,,11,1148399441.0,70
disable_simplify/Paraffins,,11,1166804186.0,71
disable_simplify/Paraffins,,11,1192211424.0,72
disable_simplify/Paraffins,,11,1199344975.0,73
disable_simplify/Paraffins,,11,1219450905.0,74
disable_simplify/Paraffins,,11,1221070124.0,75
disable_simplify/Paraffins,,11,1248683968.0,76
disable_simplify/Paraffins,,11,1253464873.0,77
disable_simplify/Paraffins,,11,1267636551.0,78
disable_simplify/Paraffins,,11,1294560323.0,79
disable_simplify/Paraffins,,11,1302933200.0,80
disable_simplify/Paraffins,,11,1324777798.0,81
disable_simplify/Paraffins,,11,1340192049.0,82
disable_simplify/Paraffins,,11,1353843736.0,83
disable_simplify/Paraffins,,11,1363627581.0,84
disable_simplify/Paraffins,,11,1386450990.0,85
disable_simplify/Paraffins,,11,1388978382.0,86
disable_simplify/Paraffins,,11,1430898124.0,87
disable_simplify/Paraffins,,11,1424177280.0,88
disable_simplify/Paraffins,,11,1454949645.0,89
disable_simplify/Paraffins,,11,1456275116.0,90
disable_simplify/Paraffins,,11,1498819065.0,91
disable_simplify/Paraffins,,11,1495764738.0,92
disable_simplify/Paraffins,,11,1504482154.0,93
disable_simplify/Paraffins,,11,1525236042.0,94
disable_simplify/Paraffins,,11,1554811019.0,95
disable_simplify/Paraffins,,11,1583063181.0,96
disable_simplify/Paraffins,,11,1579063480.0,97
disable_simplify/Paraffins,,11,1605707681.0,98
disable_simplify/Paraffins,,11,1611437170.0,99
disable_simplify/Paraffins,,11,1612142994.0,100
