group,function,value,sample_time_nanos,iteration_count
disable_simplify/Paraffins,,3,5828256.0,9
disable_simplify/Paraffins,,3,7544916.0,18
disable_simplify/Paraffins,,3,8455485.0,27
disable_simplify/Paraffins,,3,9194687.0,36
disable_simplify/Paraffins,,3,10960648.0,45
disable_simplify/Paraffins,,3,12405823.0,54
disable_simplify/Paraffins,,3,12211782.0,63
disable_simplify/Paraffins,,3,13528033.0,72
disable_simplify/Paraffins,,3,14444787.0,81
disable_simplify/Paraffins,,3,15416851.0,90
disable_simplify/Paraffins,,3,17616577.0,99
disable_simplify/Paraffins,,3,17782911.0,108
disable_simplify/Paraffins,,3,19443636.0,117
disable_simplify/Paraffins,,3,19933906.0,126
disable_simplify/Paraffins,,3,20451166.0,135
disable_simplify/Paraffins,,3,22814307.0,144
disable_simplify/Paraffins,,3,23093740.0,153
disable_simplify/Paraffins,,3,23610791.0,162
disable_simplify/Paraffins,,3,24558293.0,171
disable_simplify/Paraffins,,3,25920696.0,180
disable_simplify/Paraffins,,3,27100557.0,189
disable_simplify/Paraffins,,3,27639448.0,198
disable_simplify/Paraffins,,3,28571722.0,207
disable_simplify/Paraffins,,3,30243083.0,216
disable_simplify/Paraffins,,3,29090949.0,225
disable_simplify/Paraffins,,3,31164513.0,234
disable_simplify/Paraffins,,3,33816068.0,243
disable_simplify/Paraffins,,3,33709682.0,252
disable_simplify/Paraffins,,3,36297766.0,261
disable_simplify/Paraffins,,3,36034339.0,270
disable_simplify/Paraffins,,3,37285098.0,279
disable_simplify/Paraffins,,3,37824788.0,288
disable_simplify/Paraffins,,3,39904321.0,297
disable_simplify/Paraffins,,3,41352272.0,306
disable_simplify/Paraffins,,3,41744046.0,315
disable_simplify/Paraffins,,3,41835771.0,324
disable_simplify/Paraffins,,3,42748346.0,333
disable_simplify/Paraffins,,3,45285401.0,342
disable_simplify/Paraffins,,3,45491309.0,351
disable_simplify/Paraffins,,3,47143689.0,360
disable_simplify/Paraffins,,3,50835199.0,369
disable_simplify/Paraffins,,3,45342511.0,378
disable_simplify/Paraffins,,3,49627654.0,387
disable_simplify/Paraffins,,3,52260293.0,396
disable_simplify/Paraffins,,3,53997842.0,405
disable_simplify/Paraffins,,3,53704632.0,414
disable_simplify/Paraffins,,3,53713490.0,423
disable_simplify/Paraffins,,3,53287851.0,432
disable_simplify/Paraffins,,3,55769901.0,441
disable_simplify/Paraffins,,3,55933534.0,450
disable_simplify/Paraffins,,3,54318741.0,459
disable_simplify/Paraffins,,3,60220868.0,468
disable_simplify/Paraffins,,3,57469013.0,477
disable_simplify/Paraffins,,3,63201186.0,486
disable_simplify/Paraffins,,3,64001487.0,495
disable_simplify/Paraffins,,3,63859719.0,504
disable_simplify/Paraffins,,3,64256215.0,513
disable_simplify/Paraffins,,3,65845768.0,522
disable_simplify/Paraffins,,3,67621607.0,531
disable_simplify/Paraffins,,3,67790456.0,540
disable_simplify/Paraffins,,3,69910248.0,549
disable_simplify/Paraffins,,3,71085485.0,558
disable_simplify/Paraffins,,3,70781343.0,567
disable_simplify/Paraffins,,3,70262277.0,576
disable_simplify/Paraffins,,3,73006758.0,585
disable_simplify/Paraffins,,3,74089149.0,594
disable_simplify/Paraffins,,3,74305411.0,603
disable_simplify/Paraffins,,3,74817630.0,612
disable_simplify/Paraffins,,3,76426654.0,621
disable_simplify/Paraffins,,3,76140988.0,630
disable_simplify/Paraffins,,3,74566450.0,639
disable_simplify/Paraffins,,3,77438505.0,648
disable_simplify/Paraffins,,3,80158768.0,657
disable_simplify/Paraffins,,3,80020253.0,666
disable_simplify/Paraffins,,3,81677026.0,675
disable_simplify/Paraffins,,3,82142593.0,684
disable_simplify/Paraffins,,3,83913905.0,693
disable_simplify/Paraffins,,3,88253714.0,702
disable_simplify/Paraffins,,3,85942010.0,711
disable_simplify/Paraffins,,3,82224557.0,720
disable_simplify/Paraffins,,3,88965127.0,729
disable_simplify/Paraffins,,3,88018054.0,738
disable_simplify/Paraffins,,3,89810429.0,747
disable_simplify/Paraffins,,3,92927837.0,756
disable_simplify/Paraffins,,3,91597767.0,765
disable_simplify/Paraffins,,3,91048987.0,774
disable_simplify/Paraffins,,3,91010607.0,783
disable_simplify/Paraffins,,3,95442575.0,792
disable_simplify/Paraffins,,3,97355614.0,801
disable_simplify/Paraffins,,3,100325048.0,810
disable_simplify/Paraffins,,3,100435692.0,819
disable_simplify/Paraffins,,3,104160631.0,828
disable_simplify/Paraffins,,3,103523443.0,837
disable_simplify/Paraffins,,3,105424634.0,846
disable_simplify/Paraffins,,3,105006025.0,855
disable_simplify/Paraffins,,3,103923807.0,864
disable_simplify/Paraffins,,3,96126433.0,873
disable_simplify/Paraffins,,3,102336884.0,882
disable_simplify/Paraffins,,3,106117563.0,891
disable_simplify/Paraffins,,3,108347230.0,900
