group,function,value,sample_time_nanos,iteration_count
disable_simplify/Paraffins,,4,6139156.0,5
disable_simplify/Paraffins,,4,6741309.0,10
disable_simplify/Paraffins,,4,7810949.0,15
disable_simplify/Paraffins,,4,7957546.0,20
disable_simplify/Paraffins,,4,10492495.0,25
disable_simplify/Paraffins,,4,10433821.0,30
disable_simplify/Paraffins,,4,12571830.0,35
disable_simplify/Paraffins,,4,13503194.0,40
disable_simplify/Paraffins,,4,12827864.0,45
disable_simplify/Paraffins,,4,15549935.0,50
disable_simplify/Paraffins,,4,16379078.0,55
disable_simplify/Paraffins,,4,17408002.0,60
disable_simplify/Paraffins,,4,17634674.0,65
disable_simplify/Paraffins,,4,17211641.0,70
disable_simplify/Paraffins,,4,19809550.0,75
disable_simplify/Paraffins,,4,19671488.0,80
disable_simplify/Paraffins,,4,19785268.0,85
disable_simplify/Paraffins,,4,20828513.0,90
disable_simplify/Paraffins,,4,24259755.0,95
disable_simplify/Paraffins,,4,25701016.0,100
disable_simplify/Paraffins,,4,26279696.0,105
disable_simplify/Paraffins,,4,27396618.0,110
disable_simplify/Paraffins,,4,28909272.0,115
disable_simplify/Paraffins,,4,29456060.0,120
disable_simplify/Paraffins,,4,30062463.0,125
disable_simplify/Paraffins,,4,27899968.0,130
disable_simplify/Paraffins,,4,32352752.0,135
disable_simplify/Paraffins,,4,33091561.0,140
disable_simplify/Paraffins,,4,31585526.0,145
disable_simplify/Paraffins,,4,35080108.0,150
disable_simplify/Paraffins,,4,36835854.0,155
disable_simplify/Paraffins,,4,34635333.0,160
disable_simplify/Paraffins,,4,38424429.0,165
disable_simplify/Paraffins,,4,39617643.0,170
disable_simplify/Paraffins,,4,35884382.0,175
disable_simplify/Paraffins,,4,42076059.0,180
disable_simplify/Paraffins,,4,41834107.0,185
disable_simplify/Paraffins,,4,44100967.0,190
disable_simplify/Paraffins,,4,44384654.0,195
disable_simplify/Paraffins,,4,46632229.0,200
disable_simplify/Paraffins,,4,46529536.0,205
disable_simplify/Paraffins,,4,47856543.0,210
disable_simplify/Paraffins,,4,43623316.0,215
disable_simplify/Paraffins,,4,49648887.0,220
disable_simplify/Paraffins,,4,46212941.0,225
disable_simplify/Paraffins,,4,51241044.0,230
disable_simplify/Paraffins,,4,51741366.0,235
disable_simplify/Paraffins,,4,52222043.0,240
disable_simplify/Paraffins,,4,55298703.0,245
disable_simplify/Paraffins,,4,49089496.0,250
disable_simplify/Paraffins,,4,54835775.0,255
disable_simplify/Paraffins,,4,59270792.0,260
disable_simplify/Paraffins,,4,60115534.0,265
disable_simplify/Paraffins,,4,60675823.0,270
disable_simplify/Paraffins,,4,59879243.0,275
disable_simplify/Paraffins,,4,63277931.0,280
disable_simplify/Paraffins,,4,62326103.0,285
disable_simplify/Paraffins,,4,63315904.0,290
disable_simplify/Paraffins,,4,62134586.0,295
disable_simplify/Paraffins,,4,65367984.0,300
disable_simplify/Paraffins,,4,66145416.0,305
disable_simplify/Paraffins,,4,59802573.0,310
disable_simplify/Paraffins,,4,66741448.0,315
disable_simplify/Paraffins,,4,61835697.0,320
disable_simplify/Paraffins,,4,68292461.0,325
disable_simplify/Paraffins,,4,62858030.0,330
disable_simplify/Paraffins,,4,71857030.0,335
disable_simplify/Paraffins,,4,72012576.0,340
disable_simplify/Paraffins,,4,75255252.0,345
disable_simplify/Paraffins,,4,73107424.0,350
disable_simplify/Paraffins,,4,73912032.0,355
disable_simplify/Paraffins,,4,77038382.0,360
disable_simplify/Paraffins,,4,76941152.0,365
disable_simplify/Paraffins,,4,76438016.0,370
disable_simplify/Paraffins,,4,80411623.0,375
disable_simplify/Paraffins,,4,81144385.0,380
disable_simplify/Paraffins,,4,79852177.0,385
disable_simplify/Paraffins,,4,82044003.0,390
disable_simplify/Paraffins,,4,82371190.0,395
disable_simplify/Paraffins,,4,83109964.0,400
disable_simplify/Paraffins,,4,84268025.0,405
disable_simplify/Paraffins,,4,84597198.0,410
disable_simplify/Paraffins,,4,80923664.0,415
disable_simplify/Paraffins,,4,87664366.0,420
disable_simplify/Paraffins,,4,92460585.0,425
disable_simplify/Paraffins,,4,82601141.0,430
disable_simplify/Paraffins,,4,91380886.0,435
disable_simplify/Paraffins,,4,91027965.0,440
disable_simplify/Paraffins,,4,83852977.0,445
disable_simplify/Paraffins,,4,92387978.0,450
disable_simplify/Paraffins,,4,94863253.0,455
disable_simplify/Paraffins,,4,97033221.0,460
disable_simplify/Paraffins,,4,96585350.0,465
disable_simplify/Paraffins,,4,98052574.0,470
disable_simplify/Paraffins,,4,99176605.0,475
disable_simplify/Paraffins,,4,100308450.0,480
disable_simplify/Paraffins,,4,101847319.0,485
disable_simplify/Paraffins,,4,102065861.0,490
disable_simplify/Paraffins,,4,106246840.0,495
disable_simplify/Paraffins,,4,105253084.0,500
