group,function,value,sample_time_nanos,iteration_count
disable_simplify/Primes,,1,6618960.0,24
disable_simplify/Primes,,1,7436183.0,48
disable_simplify/Primes,,1,8636535.0,72
disable_simplify/Primes,,1,9142968.0,96
disable_simplify/Primes,,1,10171880.0,120
disable_simplify/Primes,,1,10143123.0,144
disable_simplify/Primes,,1,11798479.0,168
disable_simplify/Primes,,1,12481827.0,192
disable_simplify/Primes,,1,14156311.0,216
disable_simplify/Primes,,1,14141807.0,240
disable_simplify/Primes,,1,15040292.0,264
disable_simplify/Primes,,1,16165287.0,288
disable_simplify/Primes,,1,16843125.0,312
disable_simplify/Primes,,1,18925736.0,336
disable_simplify/Primes,,1,18774620.0,360
disable_simplify/Primes,,1,19419312.0,384
disable_simplify/Primes,,1,21177362.0,408
disable_simplify/Primes,,1,21159173.0,432
disable_simplify/Primes,,1,22826562.0,456
disable_simplify/Primes,,1,23614583.0,480
disable_simplify/Primes,,1,25214056.0,504
disable_simplify/Primes,,1,27613822.0,528
disable_simplify/Primes,,1,26371377.0,552
disable_simplify/Primes,,1,26365043.0,576
disable_simplify/Primes,,1,29464630.0,600
disable_simplify/Primes,,1,28722228.0,624
disable_simplify/Primes,,1,32229241.0,648
disable_simplify/Primes,,1,30510710.0,672
disable_simplify/Primes,,1,32837232.0,696
disable_simplify/Primes,,1,35504279.0,720
disable_simplify/Primes,,1,32635731.0,744
disable_simplify/Primes,,1,33603984.0,768
disable_simplify/Primes,,1,38798657.0,792
disable_simplify/Primes,,1,39913804.0,816
disable_simplify/Primes,,1,36870411.0,840
disable_simplify/Primes,,1,41396865.0,864
disable_simplify/Primes,,1,38174496.0,888
disable_simplify/Primes,,1,38738580.0,912
disable_simplify/Primes,,1,41505491.0,936
disable_simplify/Primes,,1,42417923.0,960
disable_simplify/Primes,,1,42698485.0,984
disable_simplify/Primes,,1,43711683.0,1008
disable_simplify/Primes,,1,44362642.0,1032
disable_simplify/Primes,,1,44730339.0,1056
disable_simplify/Primes,,1,44314853.0,1080
disable_simplify/Primes,,1,46985528.0,1104
disable_simplify/Primes,,1,46150501.0,1128
disable_simplify/Primes,,1,48554042.0,1152
disable_simplify/Primes,,1,49164434.0,1176
disable_simplify/Primes,,1,50764951.0,1200
disable_simplify/Primes,,1,52064169.0,1224
disable_simplify/Primes,,1,52114823.0,1248
disable_simplify/Primes,,1,53413917.0,1272
disable_simplify/Primes,,1,54111725.0,1296
disable_simplify/Primes,,1,50952985.0,1320
disable_simplify/Primes,,1,57118607.0,1344
disable_simplify/Primes,,1,57041456.0,1368
disable_simplify/Primes,,1,58297366.0,1392
disable_simplify/Primes,,1,54963383.0,1416
disable_simplify/Primes,,1,55596712.0,1440
disable_simplify/Primes,,1,63020115.0,1464
disable_simplify/Primes,,1,61124627.0,1488
disable_simplify/Primes,,1,64546544.0,1512
disable_simplify/Primes,,1,63325562.0,1536
disable_simplify/Primes,,1,64982587.0,1560
disable_simplify/Primes,,1,71037033.0,1584
disable_simplify/Primes,,1,63022499.0,1608
disable_simplify/Primes,,1,61978581.0,1632
disable_simplify/Primes,,1,67934776.0,1656
disable_simplify/Primes,,1,67034448.0,1680
disable_simplify/Primes,,1,75553636.0,1704
disable_simplify/Primes,,1,72689241.0,1728
disable_simplify/Primes,,1,73094648.0,1752
disable_simplify/Primes,,1,72937200.0,1776
disable_simplify/Primes,,1,80621268.0,1800
disable_simplify/Primes,,1,76342255.0,1824
disable_simplify/Primes,,1,84448189.0,1848
disable_simplify/Primes,,1,76551797.0,1872
disable_simplify/Primes,,1,73542520.0,1896
disable_simplify/Primes,,1,84325046.0,1920
disable_simplify/Primes,,1,81688001.0,1944
disable_simplify/Primes,,1,80594099.0,1968
disable_simplify/Primes,,1,83770618.0,1992
disable_simplify/Primes,,1,84923679.0,2016
disable_simplify/Primes,,1,84960766.0,2040
disable_simplify/Primes,,1,85504699.0,2064
disable_simplify/Primes,,1,90791666.0,2088
disable_simplify/Primes,,1,90913533.0,2112
disable_simplify/Primes,,1,88989657.0,2136
disable_simplify/Primes,,1,92583147.0,2160
disable_simplify/Primes,,1,89730168.0,2184
disable_simplify/Primes,,1,90296777.0,2208
disable_simplify/Primes,,1,91248710.0,2232
disable_simplify/Primes,,1,94119469.0,2256
disable_simplify/Primes,,1,95490282.0,2280
disable_simplify/Primes,,1,98018000.0,2304
disable_simplify/Primes,,1,92869203.0,2328
disable_simplify/Primes,,1,86332497.0,2352
disable_simplify/Primes,,1,97345238.0,2376
disable_simplify/Primes,,1,100036022.0,2400
