group,function,value,sample_time_nanos,iteration_count
disable_simplify/Queens,,4,5293829.0,15
disable_simplify/Queens,,4,6678326.0,30
disable_simplify/Queens,,4,7514917.0,45
disable_simplify/Queens,,4,8152012.0,60
disable_simplify/Queens,,4,9595346.0,75
disable_simplify/Queens,,4,10278893.0,90
disable_simplify/Queens,,4,10862397.0,105
disable_simplify/Queens,,4,12080151.0,120
disable_simplify/Queens,,4,12615953.0,135
disable_simplify/Queens,,4,13878774.0,150
disable_simplify/Queens,,4,15194192.0,165
disable_simplify/Queens,,4,16414086.0,180
disable_simplify/Queens,,4,17384082.0,195
disable_simplify/Queens,,4,18029832.0,210
disable_simplify/Queens,,4,18944819.0,225
disable_simplify/Queens,,4,20326017.0,240
disable_simplify/Queens,,4,21224261.0,255
disable_simplify/Queens,,4,22414868.0,270
disable_simplify/Queens,,4,23048476.0,285
disable_simplify/Queens,,4,23830397.0,300
disable_simplify/Queens,,4,24568485.0,315
disable_simplify/Queens,,4,26325319.0,330
disable_simplify/Queens,,4,27885771.0,345
disable_simplify/Queens,,4,28086758.0,360
disable_simplify/Queens,,4,28138328.0,375
disable_simplify/Queens,,4,29324049.0,390
disable_simplify/Queens,,4,30783443.0,405
disable_simplify/Queens,,4,31704640.0,420
disable_simplify/Queens,,4,32909987.0,435
disable_simplify/Queens,,4,32872712.0,450
disable_simplify/Queens,,4,34463704.0,465
disable_simplify/Queens,,4,35344370.0,480
disable_simplify/Queens,,4,37124397.0,495
disable_simplify/Queens,,4,37334794.0,510
disable_simplify/Queens,,4,39831523.0,525
disable_simplify/Queens,,4,41730031.0,540
disable_simplify/Queens,,4,41104689.0,555
disable_simplify/Queens,,4,40802961.0,570
disable_simplify/Queens,,4,44146082.0,585
disable_simplify/Queens,,4,45231600.0,600
disable_simplify/Queens,,4,44892075.0,615
disable_simplify/Queens,,4,46406078.0,630
disable_simplify/Queens,,4,46460954.0,645
disable_simplify/Queens,,4,47802353.0,660
disable_simplify/Queens,,4,48652082.0,675
disable_simplify/Queens,,4,49039241.0,690
disable_simplify/Queens,,4,49171268.0,705
disable_simplify/Queens,,4,52153538.0,720
disable_simplify/Queens,,4,53290554.0,735
disable_simplify/Queens,,4,50392499.0,750
disable_simplify/Queens,,4,53722944.0,765
disable_simplify/Queens,,4,52538802.0,780
disable_simplify/Queens,,4,56031323.0,795
disable_simplify/Queens,,4,54219603.0,810
disable_simplify/Queens,,4,59145416.0,825
disable_simplify/Queens,,4,60192826.0,840
disable_simplify/Queens,,4,61747851.0,855
disable_simplify/Queens,,4,61671531.0,870
disable_simplify/Queens,,4,58700550.0,885
disable_simplify/Queens,,4,62918742.0,900
disable_simplify/Queens,,4,65387543.0,915
disable_simplify/Queens,,4,60603758.0,930
disable_simplify/Queens,,4,64622597.0,945
disable_simplify/Queens,,4,68836665.0,960
disable_simplify/Queens,,4,67222248.0,975
disable_simplify/Queens,,4,70616892.0,990
disable_simplify/Queens,,4,69890014.0,1005
disable_simplify/Queens,,4,71372337.0,1020
disable_simplify/Queens,,4,74355481.0,1035
disable_simplify/Queens,,4,72189817.0,1050
disable_simplify/Queens,,4,75713490.0,1065
disable_simplify/Queens,,4,76952712.0,1080
disable_simplify/Queens,,4,74676641.0,1095
disable_simplify/Queens,,4,76768806.0,1110
disable_simplify/Queens,,4,77330153.0,1125
disable_simplify/Queens,,4,72994027.0,1140
disable_simplify/Queens,,4,78336759.0,1155
disable_simplify/Queens,,4,82498198.0,1170
disable_simplify/Queens,,4,83416518.0,1185
disable_simplify/Queens,,4,79722823.0,1200
disable_simplify/Queens,,4,87531687.0,1215
disable_simplify/Queens,,4,88526936.0,1230
disable_simplify/Queens,,4,80788804.0,1245
disable_simplify/Queens,,4,87227059.0,1260
disable_simplify/Queens,,4,88438230.0,1275
disable_simplify/Queens,,4,89090861.0,1290
disable_simplify/Queens,,4,90806987.0,1305
disable_simplify/Queens,,4,87182373.0,1320
disable_simplify/Queens,,4,94275991.0,1335
disable_simplify/Queens,,4,92524387.0,1350
disable_simplify/Queens,,4,95240874.0,1365
disable_simplify/Queens,,4,94032735.0,1380
disable_simplify/Queens,,4,98106141.0,1395
disable_simplify/Queens,,4,99841750.0,1410
disable_simplify/Queens,,4,99935812.0,1425
disable_simplify/Queens,,4,97722600.0,1440
disable_simplify/Queens,,4,102413487.0,1455
disable_simplify/Queens,,4,97922700.0,1470
disable_simplify/Queens,,4,100827469.0,1485
disable_simplify/Queens,,4,100694940.0,1500
