group,function,value,sample_time_nanos,iteration_count
disable_simplify/Queens,,5,5335521.0,4
disable_simplify/Queens,,5,6673281.0,8
disable_simplify/Queens,,5,8136855.0,12
disable_simplify/Queens,,5,9574648.0,16
disable_simplify/Queens,,5,10145783.0,20
disable_simplify/Queens,,5,11599211.0,24
disable_simplify/Queens,,5,12314969.0,28
disable_simplify/Queens,,5,13728719.0,32
disable_simplify/Queens,,5,14636892.0,36
disable_simplify/Queens,,5,16111580.0,40
disable_simplify/Queens,,5,16875643.0,44
disable_simplify/Queens,,5,18226397.0,48
disable_simplify/Queens,,5,19127973.0,52
disable_simplify/Queens,,5,20289929.0,56
disable_simplify/Queens,,5,20631673.0,60
disable_simplify/Queens,,5,21789111.0,64
disable_simplify/Queens,,5,21847108.0,68
disable_simplify/Queens,,5,22641757.0,72
disable_simplify/Queens,,5,25261632.0,76
disable_simplify/Queens,,5,26733592.0,80
disable_simplify/Queens,,5,28984175.0,84
disable_simplify/Queens,,5,28776616.0,88
disable_simplify/Queens,,5,29313222.0,92
disable_simplify/Queens,,5,30635986.0,96
disable_simplify/Queens,,5,29177005.0,100
disable_simplify/Queens,,5,34576564.0,104
disable_simplify/Queens,,5,35097551.0,108
disable_simplify/Queens,,5,36548881.0,112
disable_simplify/Queens,,5,36128937.0,116
disable_simplify/Queens,,5,37638452.0,120
disable_simplify/Queens,,5,38478167.0,124
disable_simplify/Queens,,5,36294374.0,128
disable_simplify/Queens,,5,41286447.0,132
disable_simplify/Queens,,5,37765481.0,136
disable_simplify/Queens,,5,38246300.0,140
disable_simplify/Queens,,5,44918680.0,144
disable_simplify/Queens,,5,45847223.0,148
disable_simplify/Queens,,5,46941136.0,152
disable_simplify/Queens,,5,48276525.0,156
disable_simplify/Queens,,5,44567492.0,160
disable_simplify/Queens,,5,50404168.0,164
disable_simplify/Queens,,5,51579015.0,168
disable_simplify/Queens,,5,51875673.0,172
disable_simplify/Queens,,5,47079855.0,176
disable_simplify/Queens,,5,53449398.0,180
disable_simplify/Queens,,5,54455184.0,184
disable_simplify/Queens,,5,51434044.0,188
disable_simplify/Queens,,5,57786624.0,192
disable_simplify/Queens,,5,58940009.0,196
disable_simplify/Queens,,5,59341707.0,200
disable_simplify/Queens,,5,60585068.0,204
disable_simplify/Queens,,5,62837197.0,208
disable_simplify/Queens,,5,64570919.0,212
disable_simplify/Queens,,5,64335142.0,216
disable_simplify/Queens,,5,67199464.0,220
disable_simplify/Queens,,5,67815427.0,224
disable_simplify/Queens,,5,68103831.0,228
disable_simplify/Queens,,5,69435958.0,232
disable_simplify/Queens,,5,62286194.0,236
disable_simplify/Queens,,5,63765798.0,240
disable_simplify/Queens,,5,72599798.0,244
disable_simplify/Queens,,5,72668661.0,248
disable_simplify/Queens,,5,73721101.0,252
disable_simplify/Queens,,5,76748136.0,256
disable_simplify/Queens,,5,68441812.0,260
disable_simplify/Queens,,5,77004984.0,264
disable_simplify/Queens,,5,71656510.0,268
disable_simplify/Queens,,5,71023883.0,272
disable_simplify/Queens,,5,72732181.0,276
disable_simplify/Queens,,5,81227124.0,280
disable_simplify/Queens,,5,85971872.0,284
disable_simplify/Queens,,5,84350071.0,288
disable_simplify/Queens,,5,77869544.0,292
disable_simplify/Queens,,5,83957944.0,296
disable_simplify/Queens,,5,77258312.0,300
disable_simplify/Queens,,5,87301239.0,304
disable_simplify/Queens,,5,89348046.0,308
disable_simplify/Queens,,5,98475338.0,312
disable_simplify/Queens,,5,92830262.0,316
disable_simplify/Queens,,5,92549374.0,320
disable_simplify/Queens,,5,93098251.0,324
disable_simplify/Queens,,5,98441639.0,328
disable_simplify/Queens,,5,89380830.0,332
disable_simplify/Queens,,5,99119584.0,336
disable_simplify/Queens,,5,88781688.0,340
disable_simplify/Queens,,5,100940065.0,344
disable_simplify/Queens,,5,97937788.0,348
disable_simplify/Queens,,5,102234552.0,352
disable_simplify/Queens,,5,103927927.0,356
disable_simplify/Queens,,5,103612319.0,360
disable_simplify/Queens,,5,106897888.0,364
disable_simplify/Queens,,5,106812713.0,368
disable_simplify/Queens,,5,104630355.0,372
disable_simplify/Queens,,5,107748237.0,376
disable_simplify/Queens,,5,111712066.0,380
disable_simplify/Queens,,5,111666167.0,384
disable_simplify/Queens,,5,114151509.0,388
disable_simplify/Queens,,5,114254133.0,392
disable_simplify/Queens,,5,115355553.0,396
disable_simplify/Queens,,5,114387767.0,400
