group,function,value,sample_time_nanos,iteration_count
disable_simplify/WheelSieve1,,4,5356419.0,66
disable_simplify/WheelSieve1,,4,7015670.0,132
disable_simplify/WheelSieve1,,4,7364152.0,198
disable_simplify/WheelSieve1,,4,7906861.0,264
disable_simplify/WheelSieve1,,4,9430798.0,330
disable_simplify/WheelSieve1,,4,9885301.0,396
disable_simplify/WheelSieve1,,4,11179885.0,462
disable_simplify/WheelSieve1,,4,11302591.0,528
disable_simplify/WheelSieve1,,4,12970184.0,594
disable_simplify/WheelSieve1,,4,12872438.0,660
disable_simplify/WheelSieve1,,4,13701993.0,726
disable_simplify/WheelSieve1,,4,14839487.0,792
disable_simplify/WheelSieve1,,4,14317349.0,858
disable_simplify/WheelSieve1,,4,15109561.0,924
disable_simplify/WheelSieve1,,4,16018811.0,990
disable_simplify/WheelSieve1,,4,16671270.0,1056
disable_simplify/WheelSieve1,,4,25724696.0,1122
disable_simplify/WheelSieve1,,4,21654566.0,1188
disable_simplify/WheelSieve1,,4,22665502.0,1254
disable_simplify/WheelSieve1,,4,24107664.0,1320
disable_simplify/WheelSieve1,,4,20320799.0,1386
disable_simplify/WheelSieve1,,4,26183445.0,1452
disable_simplify/WheelSieve1,,4,22115445.0,1518
disable_simplify/WheelSieve1,,4,23940129.0,1584
disable_simplify/WheelSieve1,,4,23540708.0,1650
disable_simplify/WheelSieve1,,4,24244376.0,1716
disable_simplify/WheelSieve1,,4,30356820.0,1782
disable_simplify/WheelSieve1,,4,27075999.0,1848
disable_simplify/WheelSieve1,,4,27687790.0,1914
disable_simplify/WheelSieve1,,4,32803773.0,1980
disable_simplify/WheelSieve1,,4,27959830.0,2046
disable_simplify/WheelSieve1,,4,35839984.0,2112
disable_simplify/WheelSieve1,,4,29186596.0,2178
disable_simplify/WheelSieve1,,4,37597232.0,2244
disable_simplify/WheelSieve1,,4,31030086.0,2310
disable_simplify/WheelSieve1,,4,31617382.0,2376
disable_simplify/WheelSieve1,,4,35994314.0,2442
disable_simplify/WheelSieve1,,4,43052279.0,2508
disable_simplify/WheelSieve1,,4,39236133.0,2574
disable_simplify/WheelSieve1,,4,37471505.0,2640
disable_simplify/WheelSieve1,,4,35805350.0,2706
disable_simplify/WheelSieve1,,4,36892324.0,2772
disable_simplify/WheelSieve1,,4,37645108.0,2838
disable_simplify/WheelSieve1,,4,41437177.0,2904
disable_simplify/WheelSieve1,,4,41873576.0,2970
disable_simplify/WheelSieve1,,4,43790357.0,3036
disable_simplify/WheelSieve1,,4,47135969.0,3102
disable_simplify/WheelSieve1,,4,45630653.0,3168
disable_simplify/WheelSieve1,,4,46879825.0,3234
disable_simplify/WheelSieve1,,4,47359687.0,3300
disable_simplify/WheelSieve1,,4,48888613.0,3366
disable_simplify/WheelSieve1,,4,57535266.0,3432
disable_simplify/WheelSieve1,,4,51491155.0,3498
disable_simplify/WheelSieve1,,4,54591774.0,3564
disable_simplify/WheelSieve1,,4,52775676.0,3630
disable_simplify/WheelSieve1,,4,51302680.0,3696
disable_simplify/WheelSieve1,,4,52172453.0,3762
disable_simplify/WheelSieve1,,4,63485448.0,3828
disable_simplify/WheelSieve1,,4,54365013.0,3894
disable_simplify/WheelSieve1,,4,64462214.0,3960
disable_simplify/WheelSieve1,,4,55095676.0,4026
disable_simplify/WheelSieve1,,4,59432621.0,4092
disable_simplify/WheelSieve1,,4,61927069.0,4158
disable_simplify/WheelSieve1,,4,61664083.0,4224
disable_simplify/WheelSieve1,,4,60641104.0,4290
disable_simplify/WheelSieve1,,4,62062280.0,4356
disable_simplify/WheelSieve1,,4,63949683.0,4422
disable_simplify/WheelSieve1,,4,63649460.0,4488
disable_simplify/WheelSieve1,,4,66022663.0,4554
disable_simplify/WheelSieve1,,4,75007736.0,4620
disable_simplify/WheelSieve1,,4,68462033.0,4686
disable_simplify/WheelSieve1,,4,68949517.0,4752
disable_simplify/WheelSieve1,,4,69367213.0,4818
disable_simplify/WheelSieve1,,4,70356459.0,4884
disable_simplify/WheelSieve1,,4,78729028.0,4950
disable_simplify/WheelSieve1,,4,82529602.0,5016
disable_simplify/WheelSieve1,,4,75023322.0,5082
disable_simplify/WheelSieve1,,4,76546991.0,5148
disable_simplify/WheelSieve1,,4,76514010.0,5214
disable_simplify/WheelSieve1,,4,78086846.0,5280
disable_simplify/WheelSieve1,,4,74301186.0,5346
disable_simplify/WheelSieve1,,4,78742998.0,5412
disable_simplify/WheelSieve1,,4,79306068.0,5478
disable_simplify/WheelSieve1,,4,78911251.0,5544
disable_simplify/WheelSieve1,,4,81126759.0,5610
disable_simplify/WheelSieve1,,4,84240873.0,5676
disable_simplify/WheelSieve1,,4,79280561.0,5742
disable_simplify/WheelSieve1,,4,86456771.0,5808
disable_simplify/WheelSieve1,,4,88649193.0,5874
disable_simplify/WheelSieve1,,4,86523820.0,5940
disable_simplify/WheelSieve1,,4,96772355.0,6006
disable_simplify/WheelSieve1,,4,89409617.0,6072
disable_simplify/WheelSieve1,,4,84351905.0,6138
disable_simplify/WheelSieve1,,4,92575531.0,6204
disable_simplify/WheelSieve1,,4,94935729.0,6270
disable_simplify/WheelSieve1,,4,90125869.0,6336
disable_simplify/WheelSieve1,,4,94890405.0,6402
disable_simplify/WheelSieve1,,4,94403631.0,6468
disable_simplify/WheelSieve1,,4,93318922.0,6534
disable_simplify/WheelSieve1,,4,95567078.0,6600
