group,function,value,sample_time_nanos,iteration_count
disable_simplify/X2n1,,1,10775478.0,1
disable_simplify/X2n1,,1,15425493.0,2
disable_simplify/X2n1,,1,20623889.0,3
disable_simplify/X2n1,,1,26383184.0,4
disable_simplify/X2n1,,1,33166334.0,5
disable_simplify/X2n1,,1,40122136.0,6
disable_simplify/X2n1,,1,44175400.0,7
disable_simplify/X2n1,,1,48416526.0,8
disable_simplify/X2n1,,1,55644042.0,9
disable_simplify/X2n1,,1,59743773.0,10
disable_simplify/X2n1,,1,65360408.0,11
disable_simplify/X2n1,,1,69662380.0,12
disable_simplify/X2n1,,1,73701721.0,13
disable_simplify/X2n1,,1,81535097.0,14
disable_simplify/X2n1,,1,86153527.0,15
disable_simplify/X2n1,,1,91298250.0,16
disable_simplify/X2n1,,1,96343651.0,17
disable_simplify/X2n1,,1,101195110.0,18
disable_simplify/X2n1,,1,106535713.0,19
disable_simplify/X2n1,,1,113955412.0,20
disable_simplify/X2n1,,1,118899392.0,21
disable_simplify/X2n1,,1,123724828.0,22
disable_simplify/X2n1,,1,128612016.0,23
disable_simplify/X2n1,,1,134021159.0,24
disable_simplify/X2n1,,1,137605949.0,25
disable_simplify/X2n1,,1,143598089.0,26
disable_simplify/X2n1,,1,145675701.0,27
disable_simplify/X2n1,,1,149966656.0,28
disable_simplify/X2n1,,1,156166215.0,29
disable_simplify/X2n1,,1,162843277.0,30
disable_simplify/X2n1,,1,166248071.0,31
disable_simplify/X2n1,,1,174723308.0,32
disable_simplify/X2n1,,1,178109850.0,33
disable_simplify/X2n1,,1,178662708.0,34
disable_simplify/X2n1,,1,188331637.0,35
disable_simplify/X2n1,,1,192523540.0,36
disable_simplify/X2n1,,1,198973593.0,37
disable_simplify/X2n1,,1,203601642.0,38
disable_simplify/X2n1,,1,212021494.0,39
disable_simplify/X2n1,,1,216033510.0,40
disable_simplify/X2n1,,1,222748099.0,41
disable_simplify/X2n1,,1,221403913.0,42
disable_simplify/X2n1,,1,224685505.0,43
disable_simplify/X2n1,,1,230690499.0,44
disable_simplify/X2n1,,1,247070118.0,45
disable_simplify/X2n1,,1,245547229.0,46
disable_simplify/X2n1,,1,249441222.0,47
disable_simplify/X2n1,,1,255912581.0,48
disable_simplify/X2n1,,1,256689155.0,49
disable_simplify/X2n1,,1,267419633.0,50
disable_simplify/X2n1,,1,269312505.0,51
disable_simplify/X2n1,,1,277803303.0,52
disable_simplify/X2n1,,1,282022209.0,53
disable_simplify/X2n1,,1,288932420.0,54
disable_simplify/X2n1,,1,290966406.0,55
disable_simplify/X2n1,,1,298426602.0,56
disable_simplify/X2n1,,1,304557367.0,57
disable_simplify/X2n1,,1,304828131.0,58
disable_simplify/X2n1,,1,309686086.0,59
disable_simplify/X2n1,,1,316092129.0,60
disable_simplify/X2n1,,1,323660301.0,61
disable_simplify/X2n1,,1,332483581.0,62
disable_simplify/X2n1,,1,332293699.0,63
disable_simplify/X2n1,,1,334903624.0,64
disable_simplify/X2n1,,1,346603083.0,65
disable_simplify/X2n1,,1,345416724.0,66
disable_simplify/X2n1,,1,357940905.0,67
disable_simplify/X2n1,,1,355747317.0,68
disable_simplify/X2n1,,1,373785033.0,69
disable_simplify/X2n1,,1,371546231.0,70
disable_simplify/X2n1,,1,374211826.0,71
disable_simplify/X2n1,,1,382409192.0,72
disable_simplify/X2n1,,1,385523498.0,73
disable_simplify/X2n1,,1,386891390.0,74
disable_simplify/X2n1,,1,396482618.0,75
disable_simplify/X2n1,,1,399373401.0,76
disable_simplify/X2n1,,1,403492987.0,77
disable_simplify/X2n1,,1,407999068.0,78
disable_simplify/X2n1,,1,416630893.0,79
disable_simplify/X2n1,,1,421942992.0,80
disable_simplify/X2n1,,1,431919038.0,81
disable_simplify/X2n1,,1,438733409.0,82
disable_simplify/X2n1,,1,434957675.0,83
disable_simplify/X2n1,,1,441790589.0,84
disable_simplify/X2n1,,1,449437485.0,85
disable_simplify/X2n1,,1,460170442.0,86
disable_simplify/X2n1,,1,452332304.0,87
disable_simplify/X2n1,,1,463231371.0,88
disable_simplify/X2n1,,1,469665148.0,89
disable_simplify/X2n1,,1,472056872.0,90
disable_simplify/X2n1,,1,479536521.0,91
disable_simplify/X2n1,,1,479039124.0,92
disable_simplify/X2n1,,1,493536353.0,93
disable_simplify/X2n1,,1,502383404.0,94
disable_simplify/X2n1,,1,498175938.0,95
disable_simplify/X2n1,,1,510140758.0,96
disable_simplify/X2n1,,1,506777930.0,97
disable_simplify/X2n1,,1,523149136.0,98
disable_simplify/X2n1,,1,531194989.0,99
disable_simplify/X2n1,,1,525957897.0,100
