group,function,value,sample_time_nanos,iteration_count
disable_simplify/X2n1,,2,16412503.0,1
disable_simplify/X2n1,,2,28530591.0,2
disable_simplify/X2n1,,2,42137998.0,3
disable_simplify/X2n1,,2,52110118.0,4
disable_simplify/X2n1,,2,66703492.0,5
disable_simplify/X2n1,,2,75820603.0,6
disable_simplify/X2n1,,2,89125110.0,7
disable_simplify/X2n1,,2,104438871.0,8
disable_simplify/X2n1,,2,113549027.0,9
disable_simplify/X2n1,,2,125173902.0,10
disable_simplify/X2n1,,2,138195052.0,11
disable_simplify/X2n1,,2,151035862.0,12
disable_simplify/X2n1,,2,162686554.0,13
disable_simplify/X2n1,,2,174937251.0,14
disable_simplify/X2n1,,2,182569120.0,15
disable_simplify/X2n1,,2,193713101.0,16
disable_simplify/X2n1,,2,214688076.0,17
disable_simplify/X2n1,,2,219357931.0,18
disable_simplify/X2n1,,2,236587692.0,19
disable_simplify/X2n1,,2,245306288.0,20
disable_simplify/X2n1,,2,260413867.0,21
disable_simplify/X2n1,,2,271492130.0,22
disable_simplify/X2n1,,2,283027889.0,23
disable_simplify/X2n1,,2,289649026.0,24
disable_simplify/X2n1,,2,299901034.0,25
disable_simplify/X2n1,,2,313783674.0,26
disable_simplify/X2n1,,2,320370500.0,27
disable_simplify/X2n1,,2,338942410.0,28
disable_simplify/X2n1,,2,350413358.0,29
disable_simplify/X2n1,,2,367895829.0,30
disable_simplify/X2n1,,2,371868746.0,31
disable_simplify/X2n1,,2,385605428.0,32
disable_simplify/X2n1,,2,395902776.0,33
disable_simplify/X2n1,,2,408492716.0,34
disable_simplify/X2n1,,2,417363222.0,35
disable_simplify/X2n1,,2,434795824.0,36
disable_simplify/X2n1,,2,442283113.0,37
disable_simplify/X2n1,,2,456115355.0,38
disable_simplify/X2n1,,2,465923849.0,39
disable_simplify/X2n1,,2,476175527.0,40
disable_simplify/X2n1,,2,485496339.0,41
disable_simplify/X2n1,,2,507965800.0,42
disable_simplify/X2n1,,2,514781530.0,43
disable_simplify/X2n1,,2,533692746.0,44
disable_simplify/X2n1,,2,543041910.0,45
disable_simplify/X2n1,,2,545648663.0,46
disable_simplify/X2n1,,2,570042037.0,47
disable_simplify/X2n1,,2,570774639.0,48
disable_simplify/X2n1,,2,594636944.0,49
disable_simplify/X2n1,,2,600369603.0,50
disable_simplify/X2n1,,2,604199788.0,51
disable_simplify/X2n1,,2,634502220.0,52
disable_simplify/X2n1,,2,632990151.0,53
disable_simplify/X2n1,,2,647435779.0,54
disable_simplify/X2n1,,2,661244511.0,55
disable_simplify/X2n1,,2,710394235.0,56
disable_simplify/X2n1,,2,682023350.0,57
disable_simplify/X2n1,,2,703273870.0,58
disable_simplify/X2n1,,2,707544468.0,59
disable_simplify/X2n1,,2,710678761.0,60
disable_simplify/X2n1,,2,769734165.0,61
disable_simplify/X2n1,,2,740841259.0,62
disable_simplify/X2n1,,2,754582738.0,63
disable_simplify/X2n1,,2,762138345.0,64
disable_simplify/X2n1,,2,778988301.0,65
disable_simplify/X2n1,,2,782435808.0,66
disable_simplify/X2n1,,2,803621270.0,67
disable_simplify/X2n1,,2,812630410.0,68
disable_simplify/X2n1,,2,832590140.0,69
disable_simplify/X2n1,,2,827801122.0,70
disable_simplify/X2n1,,2,839489489.0,71
disable_simplify/X2n1,,2,853994340.0,72
disable_simplify/X2n1,,2,869647246.0,73
disable_simplify/X2n1,,2,887232462.0,74
disable_simplify/X2n1,,2,895703296.0,75
disable_simplify/X2n1,,2,906638884.0,76
disable_simplify/X2n1,,2,912207682.0,77
disable_simplify/X2n1,,2,941862420.0,78
disable_simplify/X2n1,,2,964400517.0,79
disable_simplify/X2n1,,2,959289693.0,80
disable_simplify/X2n1,,2,965234791.0,81
disable_simplify/X2n1,,2,981367521.0,82
disable_simplify/X2n1,,2,1013994072.0,83
disable_simplify/X2n1,,2,1008215277.0,84
disable_simplify/X2n1,,2,1010059687.0,85
disable_simplify/X2n1,,2,1027297281.0,86
disable_simplify/X2n1,,2,1046531053.0,87
disable_simplify/X2n1,,2,1048282160.0,88
disable_simplify/X2n1,,2,1065797415.0,89
disable_simplify/X2n1,,2,1072433566.0,90
disable_simplify/X2n1,,2,1087928526.0,91
disable_simplify/X2n1,,2,1096024446.0,92
disable_simplify/X2n1,,2,1124584338.0,93
disable_simplify/X2n1,,2,1116911031.0,94
disable_simplify/X2n1,,2,1125665127.0,95
disable_simplify/X2n1,,2,1148343038.0,96
disable_simplify/X2n1,,2,1154769879.0,97
disable_simplify/X2n1,,2,1176773051.0,98
disable_simplify/X2n1,,2,1183914572.0,99
disable_simplify/X2n1,,2,1190423171.0,100
