group,function,value,sample_time_nanos,iteration_count
simplify/Bernoulli,,10,5657854.0,12
simplify/Bernoulli,,10,7231158.0,24
simplify/Bernoulli,,10,7515382.0,36
simplify/Bernoulli,,10,8314028.0,48
simplify/Bernoulli,,10,9267072.0,60
simplify/Bernoulli,,10,9702726.0,72
simplify/Bernoulli,,10,11203287.0,84
simplify/Bernoulli,,10,12875961.0,96
simplify/Bernoulli,,10,13063409.0,108
simplify/Bernoulli,,10,14302809.0,120
simplify/Bernoulli,,10,14767741.0,132
simplify/Bernoulli,,10,15897506.0,144
simplify/Bernoulli,,10,16241481.0,156
simplify/Bernoulli,,10,17154398.0,168
simplify/Bernoulli,,10,19556214.0,180
simplify/Bernoulli,,10,18926682.0,192
simplify/Bernoulli,,10,20064576.0,204
simplify/Bernoulli,,10,21420969.0,216
simplify/Bernoulli,,10,21477288.0,228
simplify/Bernoulli,,10,23866545.0,240
simplify/Bernoulli,,10,23547701.0,252
simplify/Bernoulli,,10,24008549.0,264
simplify/Bernoulli,,10,27608964.0,276
simplify/Bernoulli,,10,26120489.0,288
simplify/Bernoulli,,10,27067316.0,300
simplify/Bernoulli,,10,27947149.0,312
simplify/Bernoulli,,10,29024097.0,324
simplify/Bernoulli,,10,32590971.0,336
simplify/Bernoulli,,10,31714545.0,348
simplify/Bernoulli,,10,32145061.0,360
simplify/Bernoulli,,10,35330068.0,372
simplify/Bernoulli,,10,35823755.0,384
simplify/Bernoulli,,10,34140780.0,396
simplify/Bernoulli,,10,40021402.0,408
simplify/Bernoulli,,10,40959619.0,420
simplify/Bernoulli,,10,41548031.0,432
simplify/Bernoulli,,10,39218223.0,444
simplify/Bernoulli,,10,38380161.0,456
simplify/Bernoulli,,10,41879346.0,468
simplify/Bernoulli,,10,42289880.0,480
simplify/Bernoulli,,10,46968106.0,492
simplify/Bernoulli,,10,48575929.0,504
simplify/Bernoulli,,10,44752167.0,516
simplify/Bernoulli,,10,46327886.0,528
simplify/Bernoulli,,10,51447353.0,540
simplify/Bernoulli,,10,47889058.0,552
simplify/Bernoulli,,10,50196507.0,564
simplify/Bernoulli,,10,55272893.0,576
simplify/Bernoulli,,10,51494771.0,588
simplify/Bernoulli,,10,50883581.0,600
simplify/Bernoulli,,10,57318514.0,612
simplify/Bernoulli,,10,58027103.0,624
simplify/Bernoulli,,10,56410679.0,636
simplify/Bernoulli,,10,56793736.0,648
simplify/Bernoulli,,10,58651714.0,660
simplify/Bernoulli,,10,58435758.0,672
simplify/Bernoulli,,10,60450753.0,684
simplify/Bernoulli,,10,60845365.0,696
simplify/Bernoulli,,10,60859882.0,708
simplify/Bernoulli,,10,63668080.0,720
simplify/Bernoulli,,10,64139056.0,732
simplify/Bernoulli,,10,63734308.0,744
simplify/Bernoulli,,10,71395838.0,756
simplify/Bernoulli,,10,70223717.0,768
simplify/Bernoulli,,10,69171866.0,780
simplify/Bernoulli,,10,71498981.0,792
simplify/Bernoulli,,10,72023285.0,804
simplify/Bernoulli,,10,70480395.0,816
simplify/Bernoulli,,10,74491919.0,828
simplify/Bernoulli,,10,75735739.0,840
simplify/Bernoulli,,10,75692151.0,852
simplify/Bernoulli,,10,75002465.0,864
simplify/Bernoulli,,10,79608338.0,876
simplify/Bernoulli,,10,79241585.0,888
simplify/Bernoulli,,10,78345675.0,900
simplify/Bernoulli,,10,80832003.0,912
simplify/Bernoulli,,10,81468213.0,924
simplify/Bernoulli,,10,82840401.0,936
simplify/Bernoulli,,10,83561902.0,948
simplify/Bernoulli,,10,80793070.0,960
simplify/Bernoulli,,10,86496307.0,972
simplify/Bernoulli,,10,85307242.0,984
simplify/Bernoulli,,10,89296337.0,996
simplify/Bernoulli,,10,90714423.0,1008
simplify/Bernoulli,,10,87891971.0,1020
simplify/Bernoulli,,10,91513229.0,1032
simplify/Bernoulli,,10,91641694.0,1044
simplify/Bernoulli,,10,87194115.0,1056
simplify/Bernoulli,,10,93293569.0,1068
simplify/Bernoulli,,10,96185741.0,1080
simplify/Bernoulli,,10,95776015.0,1092
simplify/Bernoulli,,10,97337509.0,1104
simplify/Bernoulli,,10,96146971.0,1116
simplify/Bernoulli,,10,95074742.0,1128
simplify/Bernoulli,,10,101646037.0,1140
simplify/Bernoulli,,10,103949607.0,1152
simplify/Bernoulli,,10,106910066.0,1164
simplify/Bernoulli,,10,103509093.0,1176
simplify/Bernoulli,,10,103481730.0,1188
simplify/Bernoulli,,10,107578245.0,1200
