group,function,value,sample_time_nanos,iteration_count
simplify/Bernoulli,,7,5525824.0,32
simplify/Bernoulli,,7,6893508.0,64
simplify/Bernoulli,,7,7905413.0,96
simplify/Bernoulli,,7,8463529.0,128
simplify/Bernoulli,,7,10531423.0,160
simplify/Bernoulli,,7,10583085.0,192
simplify/Bernoulli,,7,11135657.0,224
simplify/Bernoulli,,7,11747295.0,256
simplify/Bernoulli,,7,12221618.0,288
simplify/Bernoulli,,7,13664566.0,320
simplify/Bernoulli,,7,14513873.0,352
simplify/Bernoulli,,7,14997074.0,384
simplify/Bernoulli,,7,16230023.0,416
simplify/Bernoulli,,7,16518092.0,448
simplify/Bernoulli,,7,17641742.0,480
simplify/Bernoulli,,7,18402579.0,512
simplify/Bernoulli,,7,19436413.0,544
simplify/Bernoulli,,7,20760385.0,576
simplify/Bernoulli,,7,23362844.0,608
simplify/Bernoulli,,7,21502876.0,640
simplify/Bernoulli,,7,22153027.0,672
simplify/Bernoulli,,7,27845098.0,704
simplify/Bernoulli,,7,27591256.0,736
simplify/Bernoulli,,7,27867287.0,768
simplify/Bernoulli,,7,25598763.0,800
simplify/Bernoulli,,7,28634049.0,832
simplify/Bernoulli,,7,31118965.0,864
simplify/Bernoulli,,7,30168707.0,896
simplify/Bernoulli,,7,30133979.0,928
simplify/Bernoulli,,7,33786636.0,960
simplify/Bernoulli,,7,32669941.0,992
simplify/Bernoulli,,7,31225616.0,1024
simplify/Bernoulli,,7,37484795.0,1056
simplify/Bernoulli,,7,34773338.0,1088
simplify/Bernoulli,,7,42136919.0,1120
simplify/Bernoulli,,7,36443400.0,1152
simplify/Bernoulli,,7,38687620.0,1184
simplify/Bernoulli,,7,37230264.0,1216
simplify/Bernoulli,,7,42336204.0,1248
simplify/Bernoulli,,7,41887706.0,1280
simplify/Bernoulli,,7,41917242.0,1312
simplify/Bernoulli,,7,49180788.0,1344
simplify/Bernoulli,,7,47256700.0,1376
simplify/Bernoulli,,7,46805000.0,1408
simplify/Bernoulli,,7,48625983.0,1440
simplify/Bernoulli,,7,49589363.0,1472
simplify/Bernoulli,,7,53509560.0,1504
simplify/Bernoulli,,7,55744943.0,1536
simplify/Bernoulli,,7,51169020.0,1568
simplify/Bernoulli,,7,52690029.0,1600
simplify/Bernoulli,,7,53417883.0,1632
simplify/Bernoulli,,7,53371232.0,1664
simplify/Bernoulli,,7,54187550.0,1696
simplify/Bernoulli,,7,54351778.0,1728
simplify/Bernoulli,,7,56625688.0,1760
simplify/Bernoulli,,7,57782512.0,1792
simplify/Bernoulli,,7,59173643.0,1824
simplify/Bernoulli,,7,57043624.0,1856
simplify/Bernoulli,,7,60251623.0,1888
simplify/Bernoulli,,7,60487935.0,1920
simplify/Bernoulli,,7,61126979.0,1952
simplify/Bernoulli,,7,63216841.0,1984
simplify/Bernoulli,,7,63796947.0,2016
simplify/Bernoulli,,7,64197260.0,2048
simplify/Bernoulli,,7,66031716.0,2080
simplify/Bernoulli,,7,67308631.0,2112
simplify/Bernoulli,,7,78967812.0,2144
simplify/Bernoulli,,7,69956059.0,2176
simplify/Bernoulli,,7,74387533.0,2208
simplify/Bernoulli,,7,68288804.0,2240
simplify/Bernoulli,,7,73062753.0,2272
simplify/Bernoulli,,7,76532921.0,2304
simplify/Bernoulli,,7,77854121.0,2336
simplify/Bernoulli,,7,72989123.0,2368
simplify/Bernoulli,,7,75667374.0,2400
simplify/Bernoulli,,7,75937017.0,2432
simplify/Bernoulli,,7,78575352.0,2464
simplify/Bernoulli,,7,75473059.0,2496
simplify/Bernoulli,,7,80740777.0,2528
simplify/Bernoulli,,7,81437228.0,2560
simplify/Bernoulli,,7,80082490.0,2592
simplify/Bernoulli,,7,91102882.0,2624
simplify/Bernoulli,,7,80612034.0,2656
simplify/Bernoulli,,7,87435478.0,2688
simplify/Bernoulli,,7,91631093.0,2720
simplify/Bernoulli,,7,89890455.0,2752
simplify/Bernoulli,,7,85826870.0,2784
simplify/Bernoulli,,7,93407585.0,2816
simplify/Bernoulli,,7,85049073.0,2848
simplify/Bernoulli,,7,91831201.0,2880
simplify/Bernoulli,,7,90309724.0,2912
simplify/Bernoulli,,7,96216903.0,2944
simplify/Bernoulli,,7,92412021.0,2976
simplify/Bernoulli,,7,93590285.0,3008
simplify/Bernoulli,,7,96228760.0,3040
simplify/Bernoulli,,7,92816374.0,3072
simplify/Bernoulli,,7,95896498.0,3104
simplify/Bernoulli,,7,96590368.0,3136
simplify/Bernoulli,,7,103467885.0,3168
simplify/Bernoulli,,7,114306310.0,3200
