group,function,value,sample_time_nanos,iteration_count
simplify/DigitsOfE1,,2,5654012.0,50
simplify/DigitsOfE1,,2,6300730.0,100
simplify/DigitsOfE1,,2,6694852.0,150
simplify/DigitsOfE1,,2,7986325.0,200
simplify/DigitsOfE1,,2,10198604.0,250
simplify/DigitsOfE1,,2,9955721.0,300
simplify/DigitsOfE1,,2,10984507.0,350
simplify/DigitsOfE1,,2,11582196.0,400
simplify/DigitsOfE1,,2,12125017.0,450
simplify/DigitsOfE1,,2,12872142.0,500
simplify/DigitsOfE1,,2,13809868.0,550
simplify/DigitsOfE1,,2,14851956.0,600
simplify/DigitsOfE1,,2,15255288.0,650
simplify/DigitsOfE1,,2,16101484.0,700
simplify/DigitsOfE1,,2,18770224.0,750
simplify/DigitsOfE1,,2,20673463.0,800
simplify/DigitsOfE1,,2,21540711.0,850
simplify/DigitsOfE1,,2,21623126.0,900
simplify/DigitsOfE1,,2,21141462.0,950
simplify/DigitsOfE1,,2,22334859.0,1000
simplify/DigitsOfE1,,2,22545718.0,1050
simplify/DigitsOfE1,,2,23243825.0,1100
simplify/DigitsOfE1,,2,24357147.0,1150
simplify/DigitsOfE1,,2,27538811.0,1200
simplify/DigitsOfE1,,2,28019449.0,1250
simplify/DigitsOfE1,,2,28959786.0,1300
simplify/DigitsOfE1,,2,29197431.0,1350
simplify/DigitsOfE1,,2,30103962.0,1400
simplify/DigitsOfE1,,2,31062903.0,1450
simplify/DigitsOfE1,,2,33097108.0,1500
simplify/DigitsOfE1,,2,33790735.0,1550
simplify/DigitsOfE1,,2,35142260.0,1600
simplify/DigitsOfE1,,2,34971078.0,1650
simplify/DigitsOfE1,,2,39495628.0,1700
simplify/DigitsOfE1,,2,38883408.0,1750
simplify/DigitsOfE1,,2,40090402.0,1800
simplify/DigitsOfE1,,2,37848545.0,1850
simplify/DigitsOfE1,,2,41193361.0,1900
simplify/DigitsOfE1,,2,39876853.0,1950
simplify/DigitsOfE1,,2,44841195.0,2000
simplify/DigitsOfE1,,2,46675303.0,2050
simplify/DigitsOfE1,,2,44345353.0,2100
simplify/DigitsOfE1,,2,45884281.0,2150
simplify/DigitsOfE1,,2,45568714.0,2200
simplify/DigitsOfE1,,2,48000376.0,2250
simplify/DigitsOfE1,,2,57713876.0,2300
simplify/DigitsOfE1,,2,50227060.0,2350
simplify/DigitsOfE1,,2,52921821.0,2400
simplify/DigitsOfE1,,2,50230174.0,2450
simplify/DigitsOfE1,,2,53194524.0,2500
simplify/DigitsOfE1,,2,53667063.0,2550
simplify/DigitsOfE1,,2,51340435.0,2600
simplify/DigitsOfE1,,2,55054329.0,2650
simplify/DigitsOfE1,,2,58016791.0,2700
simplify/DigitsOfE1,,2,56259217.0,2750
simplify/DigitsOfE1,,2,71848184.0,2800
simplify/DigitsOfE1,,2,58154039.0,2850
simplify/DigitsOfE1,,2,59400979.0,2900
simplify/DigitsOfE1,,2,61626239.0,2950
simplify/DigitsOfE1,,2,63257782.0,3000
simplify/DigitsOfE1,,2,64446665.0,3050
simplify/DigitsOfE1,,2,64746297.0,3100
simplify/DigitsOfE1,,2,73508825.0,3150
simplify/DigitsOfE1,,2,65792934.0,3200
simplify/DigitsOfE1,,2,70423075.0,3250
simplify/DigitsOfE1,,2,67189292.0,3300
simplify/DigitsOfE1,,2,66990322.0,3350
simplify/DigitsOfE1,,2,66456419.0,3400
simplify/DigitsOfE1,,2,68138453.0,3450
simplify/DigitsOfE1,,2,71046447.0,3500
simplify/DigitsOfE1,,2,71194222.0,3550
simplify/DigitsOfE1,,2,73514019.0,3600
simplify/DigitsOfE1,,2,74628370.0,3650
simplify/DigitsOfE1,,2,78351660.0,3700
simplify/DigitsOfE1,,2,76346093.0,3750
simplify/DigitsOfE1,,2,84873363.0,3800
simplify/DigitsOfE1,,2,79525505.0,3850
simplify/DigitsOfE1,,2,80733443.0,3900
simplify/DigitsOfE1,,2,78315177.0,3950
simplify/DigitsOfE1,,2,81807591.0,4000
simplify/DigitsOfE1,,2,84816892.0,4050
simplify/DigitsOfE1,,2,79378175.0,4100
simplify/DigitsOfE1,,2,82453478.0,4150
simplify/DigitsOfE1,,2,86760405.0,4200
simplify/DigitsOfE1,,2,84427903.0,4250
simplify/DigitsOfE1,,2,87287377.0,4300
simplify/DigitsOfE1,,2,98390759.0,4350
simplify/DigitsOfE1,,2,89627499.0,4400
simplify/DigitsOfE1,,2,89748545.0,4450
simplify/DigitsOfE1,,2,91589948.0,4500
simplify/DigitsOfE1,,2,93896991.0,4550
simplify/DigitsOfE1,,2,96129016.0,4600
simplify/DigitsOfE1,,2,94805542.0,4650
simplify/DigitsOfE1,,2,95723049.0,4700
simplify/DigitsOfE1,,2,96474480.0,4750
simplify/DigitsOfE1,,2,97815968.0,4800
simplify/DigitsOfE1,,2,97702376.0,4850
simplify/DigitsOfE1,,2,96905375.0,4900
simplify/DigitsOfE1,,2,99310037.0,4950
simplify/DigitsOfE1,,2,101314400.0,5000
