group,function,value,sample_time_nanos,iteration_count
simplify/DigitsOfE2,,5,5871356.0,42
simplify/DigitsOfE2,,5,6511260.0,84
simplify/DigitsOfE2,,5,7114180.0,126
simplify/DigitsOfE2,,5,8108154.0,168
simplify/DigitsOfE2,,5,9167800.0,210
simplify/DigitsOfE2,,5,10268627.0,252
simplify/DigitsOfE2,,5,12767707.0,294
simplify/DigitsOfE2,,5,14324392.0,336
simplify/DigitsOfE2,,5,12998655.0,378
simplify/DigitsOfE2,,5,13556947.0,420
simplify/DigitsOfE2,,5,17493482.0,462
simplify/DigitsOfE2,,5,15334860.0,504
simplify/DigitsOfE2,,5,19102093.0,546
simplify/DigitsOfE2,,5,18131189.0,588
simplify/DigitsOfE2,,5,18690560.0,630
simplify/DigitsOfE2,,5,19298224.0,672
simplify/DigitsOfE2,,5,20300853.0,714
simplify/DigitsOfE2,,5,25351796.0,756
simplify/DigitsOfE2,,5,23039140.0,798
simplify/DigitsOfE2,,5,24372170.0,840
simplify/DigitsOfE2,,5,24451249.0,882
simplify/DigitsOfE2,,5,25331525.0,924
simplify/DigitsOfE2,,5,27266783.0,966
simplify/DigitsOfE2,,5,28613263.0,1008
simplify/DigitsOfE2,,5,28901853.0,1050
simplify/DigitsOfE2,,5,29951722.0,1092
simplify/DigitsOfE2,,5,29637077.0,1134
simplify/DigitsOfE2,,5,30047244.0,1176
simplify/DigitsOfE2,,5,31608232.0,1218
simplify/DigitsOfE2,,5,32894331.0,1260
simplify/DigitsOfE2,,5,35186978.0,1302
simplify/DigitsOfE2,,5,33931730.0,1344
simplify/DigitsOfE2,,5,36676973.0,1386
simplify/DigitsOfE2,,5,36765900.0,1428
simplify/DigitsOfE2,,5,37315536.0,1470
simplify/DigitsOfE2,,5,38632676.0,1512
simplify/DigitsOfE2,,5,41295393.0,1554
simplify/DigitsOfE2,,5,41353328.0,1596
simplify/DigitsOfE2,,5,41932016.0,1638
simplify/DigitsOfE2,,5,43817727.0,1680
simplify/DigitsOfE2,,5,45066457.0,1722
simplify/DigitsOfE2,,5,45677225.0,1764
simplify/DigitsOfE2,,5,47329440.0,1806
simplify/DigitsOfE2,,5,47451000.0,1848
simplify/DigitsOfE2,,5,52332556.0,1890
simplify/DigitsOfE2,,5,47772855.0,1932
simplify/DigitsOfE2,,5,48935432.0,1974
simplify/DigitsOfE2,,5,49363338.0,2016
simplify/DigitsOfE2,,5,53730346.0,2058
simplify/DigitsOfE2,,5,53826803.0,2100
simplify/DigitsOfE2,,5,53377134.0,2142
simplify/DigitsOfE2,,5,56703679.0,2184
simplify/DigitsOfE2,,5,55578274.0,2226
simplify/DigitsOfE2,,5,55603200.0,2268
simplify/DigitsOfE2,,5,56605232.0,2310
simplify/DigitsOfE2,,5,57464393.0,2352
simplify/DigitsOfE2,,5,57683737.0,2394
simplify/DigitsOfE2,,5,57780467.0,2436
simplify/DigitsOfE2,,5,60978721.0,2478
simplify/DigitsOfE2,,5,65257850.0,2520
simplify/DigitsOfE2,,5,63286029.0,2562
simplify/DigitsOfE2,,5,78134612.0,2604
simplify/DigitsOfE2,,5,66896727.0,2646
simplify/DigitsOfE2,,5,66026839.0,2688
simplify/DigitsOfE2,,5,66224883.0,2730
simplify/DigitsOfE2,,5,66629143.0,2772
simplify/DigitsOfE2,,5,70149255.0,2814
simplify/DigitsOfE2,,5,69059543.0,2856
simplify/DigitsOfE2,,5,70426911.0,2898
simplify/DigitsOfE2,,5,71832529.0,2940
simplify/DigitsOfE2,,5,72359986.0,2982
simplify/DigitsOfE2,,5,74216259.0,3024
simplify/DigitsOfE2,,5,77400815.0,3066
simplify/DigitsOfE2,,5,76815928.0,3108
simplify/DigitsOfE2,,5,72997681.0,3150
simplify/DigitsOfE2,,5,77231719.0,3192
simplify/DigitsOfE2,,5,79937364.0,3234
simplify/DigitsOfE2,,5,75461167.0,3276
simplify/DigitsOfE2,,5,92948416.0,3318
simplify/DigitsOfE2,,5,78857017.0,3360
simplify/DigitsOfE2,,5,81547358.0,3402
simplify/DigitsOfE2,,5,82001215.0,3444
simplify/DigitsOfE2,,5,85124893.0,3486
simplify/DigitsOfE2,,5,84648758.0,3528
simplify/DigitsOfE2,,5,92131761.0,3570
simplify/DigitsOfE2,,5,85848675.0,3612
simplify/DigitsOfE2,,5,85611514.0,3654
simplify/DigitsOfE2,,5,88712916.0,3696
simplify/DigitsOfE2,,5,86197357.0,3738
simplify/DigitsOfE2,,5,90761659.0,3780
simplify/DigitsOfE2,,5,90586452.0,3822
simplify/DigitsOfE2,,5,91676607.0,3864
simplify/DigitsOfE2,,5,95985635.0,3906
simplify/DigitsOfE2,,5,96107161.0,3948
simplify/DigitsOfE2,,5,97120074.0,3990
simplify/DigitsOfE2,,5,97495825.0,4032
simplify/DigitsOfE2,,5,94612361.0,4074
simplify/DigitsOfE2,,5,98676063.0,4116
simplify/DigitsOfE2,,5,98378087.0,4158
simplify/DigitsOfE2,,5,100768482.0,4200
