group,function,value,sample_time_nanos,iteration_count
simplify/EchoFloat,,,5130160.0,33
simplify/EchoFloat,,,6649391.0,66
simplify/EchoFloat,,,6919415.0,99
simplify/EchoFloat,,,8557812.0,132
simplify/EchoFloat,,,12429680.0,165
simplify/EchoFloat,,,12015307.0,198
simplify/EchoFloat,,,12444326.0,231
simplify/EchoFloat,,,13278601.0,264
simplify/EchoFloat,,,13813762.0,297
simplify/EchoFloat,,,14871774.0,330
simplify/EchoFloat,,,14224007.0,363
simplify/EchoFloat,,,14734907.0,396
simplify/EchoFloat,,,15526470.0,429
simplify/EchoFloat,,,17184797.0,462
simplify/EchoFloat,,,18122362.0,495
simplify/EchoFloat,,,18886107.0,528
simplify/EchoFloat,,,19640648.0,561
simplify/EchoFloat,,,22680581.0,594
simplify/EchoFloat,,,24001479.0,627
simplify/EchoFloat,,,24435334.0,660
simplify/EchoFloat,,,23186762.0,693
simplify/EchoFloat,,,24335925.0,726
simplify/EchoFloat,,,28052341.0,759
simplify/EchoFloat,,,28172711.0,792
simplify/EchoFloat,,,27604809.0,825
simplify/EchoFloat,,,27620672.0,858
simplify/EchoFloat,,,31633500.0,891
simplify/EchoFloat,,,28875909.0,924
simplify/EchoFloat,,,29899679.0,957
simplify/EchoFloat,,,34100789.0,990
simplify/EchoFloat,,,34760514.0,1023
simplify/EchoFloat,,,34763738.0,1056
simplify/EchoFloat,,,36069674.0,1089
simplify/EchoFloat,,,37479543.0,1122
simplify/EchoFloat,,,34478752.0,1155
simplify/EchoFloat,,,36650727.0,1188
simplify/EchoFloat,,,37999970.0,1221
simplify/EchoFloat,,,39784571.0,1254
simplify/EchoFloat,,,41045906.0,1287
simplify/EchoFloat,,,39052931.0,1320
simplify/EchoFloat,,,40199705.0,1353
simplify/EchoFloat,,,40451635.0,1386
simplify/EchoFloat,,,41512325.0,1419
simplify/EchoFloat,,,41803935.0,1452
simplify/EchoFloat,,,45247357.0,1485
simplify/EchoFloat,,,50632973.0,1518
simplify/EchoFloat,,,49078906.0,1551
simplify/EchoFloat,,,50236188.0,1584
simplify/EchoFloat,,,50310103.0,1617
simplify/EchoFloat,,,48568204.0,1650
simplify/EchoFloat,,,53282875.0,1683
simplify/EchoFloat,,,51359072.0,1716
simplify/EchoFloat,,,54903695.0,1749
simplify/EchoFloat,,,54688672.0,1782
simplify/EchoFloat,,,54219875.0,1815
simplify/EchoFloat,,,57350369.0,1848
simplify/EchoFloat,,,64022118.0,1881
simplify/EchoFloat,,,58114389.0,1914
simplify/EchoFloat,,,58761601.0,1947
simplify/EchoFloat,,,58135168.0,1980
simplify/EchoFloat,,,59711709.0,2013
simplify/EchoFloat,,,61102214.0,2046
simplify/EchoFloat,,,66916850.0,2079
simplify/EchoFloat,,,64416202.0,2112
simplify/EchoFloat,,,65348491.0,2145
simplify/EchoFloat,,,68035993.0,2178
simplify/EchoFloat,,,70167422.0,2211
simplify/EchoFloat,,,66835282.0,2244
simplify/EchoFloat,,,69396198.0,2277
simplify/EchoFloat,,,71743368.0,2310
simplify/EchoFloat,,,69166383.0,2343
simplify/EchoFloat,,,73400432.0,2376
simplify/EchoFloat,,,73107108.0,2409
simplify/EchoFloat,,,72925580.0,2442
simplify/EchoFloat,,,77109965.0,2475
simplify/EchoFloat,,,78873750.0,2508
simplify/EchoFloat,,,78480437.0,2541
simplify/EchoFloat,,,76324681.0,2574
simplify/EchoFloat,,,79190029.0,2607
simplify/EchoFloat,,,79199412.0,2640
simplify/EchoFloat,,,80998546.0,2673
simplify/EchoFloat,,,84912546.0,2706
simplify/EchoFloat,,,85529187.0,2739
simplify/EchoFloat,,,85905062.0,2772
simplify/EchoFloat,,,87160936.0,2805
simplify/EchoFloat,,,82217103.0,2838
simplify/EchoFloat,,,88862638.0,2871
simplify/EchoFloat,,,90004863.0,2904
simplify/EchoFloat,,,86959550.0,2937
simplify/EchoFloat,,,87629609.0,2970
simplify/EchoFloat,,,89600788.0,3003
simplify/EchoFloat,,,90622099.0,3036
simplify/EchoFloat,,,91560672.0,3069
simplify/EchoFloat,,,96342473.0,3102
simplify/EchoFloat,,,98247246.0,3135
simplify/EchoFloat,,,93817534.0,3168
simplify/EchoFloat,,,94272626.0,3201
simplify/EchoFloat,,,102371315.0,3234
simplify/EchoFloat,,,101129318.0,3267
simplify/EchoFloat,,,99402407.0,3300
