group,function,value,sample_time_nanos,iteration_count
simplify/EchoInt,,,5648754.0,84
simplify/EchoInt,,,6277568.0,168
simplify/EchoInt,,,6501930.0,252
simplify/EchoInt,,,7284557.0,336
simplify/EchoInt,,,9621217.0,420
simplify/EchoInt,,,9824066.0,504
simplify/EchoInt,,,9779727.0,588
simplify/EchoInt,,,11104275.0,672
simplify/EchoInt,,,11569820.0,756
simplify/EchoInt,,,12417757.0,840
simplify/EchoInt,,,12713053.0,924
simplify/EchoInt,,,14016244.0,1008
simplify/EchoInt,,,15867699.0,1092
simplify/EchoInt,,,17349271.0,1176
simplify/EchoInt,,,18192639.0,1260
simplify/EchoInt,,,17277831.0,1344
simplify/EchoInt,,,17471730.0,1428
simplify/EchoInt,,,17641235.0,1512
simplify/EchoInt,,,18612142.0,1596
simplify/EchoInt,,,19332997.0,1680
simplify/EchoInt,,,19866915.0,1764
simplify/EchoInt,,,21259899.0,1848
simplify/EchoInt,,,21347941.0,1932
simplify/EchoInt,,,22009200.0,2016
simplify/EchoInt,,,27082068.0,2100
simplify/EchoInt,,,23358632.0,2184
simplify/EchoInt,,,22957956.0,2268
simplify/EchoInt,,,25334453.0,2352
simplify/EchoInt,,,25624582.0,2436
simplify/EchoInt,,,28629906.0,2520
simplify/EchoInt,,,26749105.0,2604
simplify/EchoInt,,,27041027.0,2688
simplify/EchoInt,,,34838140.0,2772
simplify/EchoInt,,,29469360.0,2856
simplify/EchoInt,,,30990943.0,2940
simplify/EchoInt,,,30820556.0,3024
simplify/EchoInt,,,35220665.0,3108
simplify/EchoInt,,,33422878.0,3192
simplify/EchoInt,,,34744288.0,3276
simplify/EchoInt,,,32873585.0,3360
simplify/EchoInt,,,35791077.0,3444
simplify/EchoInt,,,39590243.0,3528
simplify/EchoInt,,,35742255.0,3612
simplify/EchoInt,,,36115413.0,3696
simplify/EchoInt,,,40418369.0,3780
simplify/EchoInt,,,40308353.0,3864
simplify/EchoInt,,,39292925.0,3948
simplify/EchoInt,,,46399166.0,4032
simplify/EchoInt,,,43220992.0,4116
simplify/EchoInt,,,45018129.0,4200
simplify/EchoInt,,,43350292.0,4284
simplify/EchoInt,,,43604089.0,4368
simplify/EchoInt,,,49212541.0,4452
simplify/EchoInt,,,47792968.0,4536
simplify/EchoInt,,,46996183.0,4620
simplify/EchoInt,,,48487539.0,4704
simplify/EchoInt,,,52987380.0,4788
simplify/EchoInt,,,51454016.0,4872
simplify/EchoInt,,,50803782.0,4956
simplify/EchoInt,,,52344638.0,5040
simplify/EchoInt,,,63709053.0,5124
simplify/EchoInt,,,56607263.0,5208
simplify/EchoInt,,,56671198.0,5292
simplify/EchoInt,,,66243215.0,5376
simplify/EchoInt,,,68442084.0,5460
simplify/EchoInt,,,60745339.0,5544
simplify/EchoInt,,,56149348.0,5628
simplify/EchoInt,,,62598410.0,5712
simplify/EchoInt,,,61457992.0,5796
simplify/EchoInt,,,62926186.0,5880
simplify/EchoInt,,,64298168.0,5964
simplify/EchoInt,,,63261170.0,6048
simplify/EchoInt,,,67206233.0,6132
simplify/EchoInt,,,70739162.0,6216
simplify/EchoInt,,,78378693.0,6300
simplify/EchoInt,,,76836520.0,6384
simplify/EchoInt,,,73869743.0,6468
simplify/EchoInt,,,66125425.0,6552
simplify/EchoInt,,,75616250.0,6636
simplify/EchoInt,,,72301481.0,6720
simplify/EchoInt,,,68415896.0,6804
simplify/EchoInt,,,81346381.0,6888
simplify/EchoInt,,,79270025.0,6972
simplify/EchoInt,,,80646522.0,7056
simplify/EchoInt,,,76783788.0,7140
simplify/EchoInt,,,82730702.0,7224
simplify/EchoInt,,,78391649.0,7308
simplify/EchoInt,,,83829970.0,7392
simplify/EchoInt,,,81186122.0,7476
simplify/EchoInt,,,74312963.0,7560
simplify/EchoInt,,,81962027.0,7644
simplify/EchoInt,,,86614210.0,7728
simplify/EchoInt,,,85830023.0,7812
simplify/EchoInt,,,80345454.0,7896
simplify/EchoInt,,,89758499.0,7980
simplify/EchoInt,,,87714263.0,8064
simplify/EchoInt,,,91450169.0,8148
simplify/EchoInt,,,89240709.0,8232
simplify/EchoInt,,,91480285.0,8316
simplify/EchoInt,,,93022075.0,8400
