group,function,value,sample_time_nanos,iteration_count
simplify/EchoInt,,,5829465.0,86
simplify/EchoInt,,,5845229.0,172
simplify/EchoInt,,,6529018.0,258
simplify/EchoInt,,,7490126.0,344
simplify/EchoInt,,,8552377.0,430
simplify/EchoInt,,,9687397.0,516
simplify/EchoInt,,,10187554.0,602
simplify/EchoInt,,,11354522.0,688
simplify/EchoInt,,,12341859.0,774
simplify/EchoInt,,,13198778.0,860
simplify/EchoInt,,,13839427.0,946
simplify/EchoInt,,,14365471.0,1032
simplify/EchoInt,,,15836988.0,1118
simplify/EchoInt,,,15582991.0,1204
simplify/EchoInt,,,17221335.0,1290
simplify/EchoInt,,,17038570.0,1376
simplify/EchoInt,,,18542084.0,1462
simplify/EchoInt,,,19218372.0,1548
simplify/EchoInt,,,20818800.0,1634
simplify/EchoInt,,,18890878.0,1720
simplify/EchoInt,,,19856842.0,1806
simplify/EchoInt,,,22120413.0,1892
simplify/EchoInt,,,22229468.0,1978
simplify/EchoInt,,,23070910.0,2064
simplify/EchoInt,,,24123273.0,2150
simplify/EchoInt,,,24535007.0,2236
simplify/EchoInt,,,24055222.0,2322
simplify/EchoInt,,,26338997.0,2408
simplify/EchoInt,,,27337625.0,2494
simplify/EchoInt,,,26609935.0,2580
simplify/EchoInt,,,28301859.0,2666
simplify/EchoInt,,,32196289.0,2752
simplify/EchoInt,,,29327876.0,2838
simplify/EchoInt,,,30018562.0,2924
simplify/EchoInt,,,33080701.0,3010
simplify/EchoInt,,,39905037.0,3096
simplify/EchoInt,,,31508831.0,3182
simplify/EchoInt,,,39207427.0,3268
simplify/EchoInt,,,42511400.0,3354
simplify/EchoInt,,,35442812.0,3440
simplify/EchoInt,,,45411073.0,3526
simplify/EchoInt,,,36443725.0,3612
simplify/EchoInt,,,46561928.0,3698
simplify/EchoInt,,,44251241.0,3784
simplify/EchoInt,,,48401945.0,3870
simplify/EchoInt,,,39969494.0,3956
simplify/EchoInt,,,50172502.0,4042
simplify/EchoInt,,,42527360.0,4128
simplify/EchoInt,,,44290856.0,4214
simplify/EchoInt,,,42986031.0,4300
simplify/EchoInt,,,45830909.0,4386
simplify/EchoInt,,,45025552.0,4472
simplify/EchoInt,,,56517337.0,4558
simplify/EchoInt,,,49616934.0,4644
simplify/EchoInt,,,50330861.0,4730
simplify/EchoInt,,,51879331.0,4816
simplify/EchoInt,,,51466392.0,4902
simplify/EchoInt,,,61539531.0,4988
simplify/EchoInt,,,53655182.0,5074
simplify/EchoInt,,,55400926.0,5160
simplify/EchoInt,,,61234056.0,5246
simplify/EchoInt,,,55996226.0,5332
simplify/EchoInt,,,61949241.0,5418
simplify/EchoInt,,,57021074.0,5504
simplify/EchoInt,,,69909512.0,5590
simplify/EchoInt,,,61448787.0,5676
simplify/EchoInt,,,62441899.0,5762
simplify/EchoInt,,,71372745.0,5848
simplify/EchoInt,,,65968517.0,5934
simplify/EchoInt,,,64300120.0,6020
simplify/EchoInt,,,66262528.0,6106
simplify/EchoInt,,,69535606.0,6192
simplify/EchoInt,,,66825469.0,6278
simplify/EchoInt,,,67929890.0,6364
simplify/EchoInt,,,69572145.0,6450
simplify/EchoInt,,,74188855.0,6536
simplify/EchoInt,,,71992020.0,6622
simplify/EchoInt,,,72097799.0,6708
simplify/EchoInt,,,66663774.0,6794
simplify/EchoInt,,,67989296.0,6880
simplify/EchoInt,,,81017870.0,6966
simplify/EchoInt,,,84566806.0,7052
simplify/EchoInt,,,76086720.0,7138
simplify/EchoInt,,,79007595.0,7224
simplify/EchoInt,,,81542090.0,7310
simplify/EchoInt,,,82112967.0,7396
simplify/EchoInt,,,80152004.0,7482
simplify/EchoInt,,,78334294.0,7568
simplify/EchoInt,,,89662632.0,7654
simplify/EchoInt,,,82525825.0,7740
simplify/EchoInt,,,84579622.0,7826
simplify/EchoInt,,,96584874.0,7912
simplify/EchoInt,,,86278747.0,7998
simplify/EchoInt,,,87951032.0,8084
simplify/EchoInt,,,91152986.0,8170
simplify/EchoInt,,,91566199.0,8256
simplify/EchoInt,,,93012661.0,8342
simplify/EchoInt,,,92037476.0,8428
simplify/EchoInt,,,103105718.0,8514
simplify/EchoInt,,,102869837.0,8600
