group,function,value,sample_time_nanos,iteration_count
simplify/Exp3_8,,3,4829639.0,41
simplify/Exp3_8,,3,5794276.0,82
simplify/Exp3_8,,3,6798765.0,123
simplify/Exp3_8,,3,7752838.0,164
simplify/Exp3_8,,3,8838074.0,205
simplify/Exp3_8,,3,10227584.0,246
simplify/Exp3_8,,3,10873393.0,287
simplify/Exp3_8,,3,11396881.0,328
simplify/Exp3_8,,3,12525385.0,369
simplify/Exp3_8,,3,12821539.0,410
simplify/Exp3_8,,3,14240512.0,451
simplify/Exp3_8,,3,14647057.0,492
simplify/Exp3_8,,3,14901654.0,533
simplify/Exp3_8,,3,15397568.0,574
simplify/Exp3_8,,3,16752050.0,615
simplify/Exp3_8,,3,17572069.0,656
simplify/Exp3_8,,3,18790881.0,697
simplify/Exp3_8,,3,19051034.0,738
simplify/Exp3_8,,3,19904741.0,779
simplify/Exp3_8,,3,20897798.0,820
simplify/Exp3_8,,3,21905679.0,861
simplify/Exp3_8,,3,22932933.0,902
simplify/Exp3_8,,3,24304267.0,943
simplify/Exp3_8,,3,23843643.0,984
simplify/Exp3_8,,3,24963067.0,1025
simplify/Exp3_8,,3,28542130.0,1066
simplify/Exp3_8,,3,29884653.0,1107
simplify/Exp3_8,,3,28129780.0,1148
simplify/Exp3_8,,3,28913963.0,1189
simplify/Exp3_8,,3,30144453.0,1230
simplify/Exp3_8,,3,34417416.0,1271
simplify/Exp3_8,,3,30891628.0,1312
simplify/Exp3_8,,3,32970906.0,1353
simplify/Exp3_8,,3,38467221.0,1394
simplify/Exp3_8,,3,33766457.0,1435
simplify/Exp3_8,,3,36784036.0,1476
simplify/Exp3_8,,3,35873056.0,1517
simplify/Exp3_8,,3,34864074.0,1558
simplify/Exp3_8,,3,40854667.0,1599
simplify/Exp3_8,,3,42316308.0,1640
simplify/Exp3_8,,3,44170054.0,1681
simplify/Exp3_8,,3,41954601.0,1722
simplify/Exp3_8,,3,42938597.0,1763
simplify/Exp3_8,,3,41866418.0,1804
simplify/Exp3_8,,3,42512857.0,1845
simplify/Exp3_8,,3,43164885.0,1886
simplify/Exp3_8,,3,44749361.0,1927
simplify/Exp3_8,,3,46477547.0,1968
simplify/Exp3_8,,3,47200602.0,2009
simplify/Exp3_8,,3,48285898.0,2050
simplify/Exp3_8,,3,48659122.0,2091
simplify/Exp3_8,,3,48841698.0,2132
simplify/Exp3_8,,3,49933675.0,2173
simplify/Exp3_8,,3,51216618.0,2214
simplify/Exp3_8,,3,55452511.0,2255
simplify/Exp3_8,,3,54963586.0,2296
simplify/Exp3_8,,3,56088175.0,2337
simplify/Exp3_8,,3,56050046.0,2378
simplify/Exp3_8,,3,61663225.0,2419
simplify/Exp3_8,,3,63570201.0,2460
simplify/Exp3_8,,3,56842528.0,2501
simplify/Exp3_8,,3,59709282.0,2542
simplify/Exp3_8,,3,60577596.0,2583
simplify/Exp3_8,,3,61950026.0,2624
simplify/Exp3_8,,3,61820953.0,2665
simplify/Exp3_8,,3,66754996.0,2706
simplify/Exp3_8,,3,67470767.0,2747
simplify/Exp3_8,,3,62653214.0,2788
simplify/Exp3_8,,3,68237089.0,2829
simplify/Exp3_8,,3,69218038.0,2870
simplify/Exp3_8,,3,69024827.0,2911
simplify/Exp3_8,,3,67025480.0,2952
simplify/Exp3_8,,3,66733761.0,2993
simplify/Exp3_8,,3,72614384.0,3034
simplify/Exp3_8,,3,77239586.0,3075
simplify/Exp3_8,,3,77591040.0,3116
simplify/Exp3_8,,3,72775129.0,3157
simplify/Exp3_8,,3,73837532.0,3198
simplify/Exp3_8,,3,75314996.0,3239
simplify/Exp3_8,,3,77373252.0,3280
simplify/Exp3_8,,3,78453887.0,3321
simplify/Exp3_8,,3,77972132.0,3362
simplify/Exp3_8,,3,81709388.0,3403
simplify/Exp3_8,,3,80463334.0,3444
simplify/Exp3_8,,3,84581892.0,3485
simplify/Exp3_8,,3,81112349.0,3526
simplify/Exp3_8,,3,85655999.0,3567
simplify/Exp3_8,,3,84431026.0,3608
simplify/Exp3_8,,3,91477739.0,3649
simplify/Exp3_8,,3,86570509.0,3690
simplify/Exp3_8,,3,87758818.0,3731
simplify/Exp3_8,,3,86807013.0,3772
simplify/Exp3_8,,3,84433121.0,3813
simplify/Exp3_8,,3,90329157.0,3854
simplify/Exp3_8,,3,87201001.0,3895
simplify/Exp3_8,,3,91778949.0,3936
simplify/Exp3_8,,3,95195691.0,3977
simplify/Exp3_8,,3,95885914.0,4018
simplify/Exp3_8,,3,90027024.0,4059
simplify/Exp3_8,,3,98124449.0,4100
