group,function,value,sample_time_nanos,iteration_count
simplify/Exp3_8,,6,4853912.0,4
simplify/Exp3_8,,6,6048846.0,8
simplify/Exp3_8,,6,7529374.0,12
simplify/Exp3_8,,6,8827932.0,16
simplify/Exp3_8,,6,10059554.0,20
simplify/Exp3_8,,6,10850359.0,24
simplify/Exp3_8,,6,12120649.0,28
simplify/Exp3_8,,6,13603985.0,32
simplify/Exp3_8,,6,15778894.0,36
simplify/Exp3_8,,6,16732673.0,40
simplify/Exp3_8,,6,18272517.0,44
simplify/Exp3_8,,6,15889866.0,48
simplify/Exp3_8,,6,16730316.0,52
simplify/Exp3_8,,6,18484893.0,56
simplify/Exp3_8,,6,20167128.0,60
simplify/Exp3_8,,6,20965168.0,64
simplify/Exp3_8,,6,22346570.0,68
simplify/Exp3_8,,6,23549017.0,72
simplify/Exp3_8,,6,22693607.0,76
simplify/Exp3_8,,6,27195195.0,80
simplify/Exp3_8,,6,25085565.0,84
simplify/Exp3_8,,6,27493487.0,88
simplify/Exp3_8,,6,30426747.0,92
simplify/Exp3_8,,6,30812219.0,96
simplify/Exp3_8,,6,33132943.0,100
simplify/Exp3_8,,6,30552371.0,104
simplify/Exp3_8,,6,35496218.0,108
simplify/Exp3_8,,6,35142620.0,112
simplify/Exp3_8,,6,32474564.0,116
simplify/Exp3_8,,6,36181672.0,120
simplify/Exp3_8,,6,35464866.0,124
simplify/Exp3_8,,6,35818976.0,128
simplify/Exp3_8,,6,39207716.0,132
simplify/Exp3_8,,6,41059946.0,136
simplify/Exp3_8,,6,41606845.0,140
simplify/Exp3_8,,6,40097481.0,144
simplify/Exp3_8,,6,44252803.0,148
simplify/Exp3_8,,6,44746804.0,152
simplify/Exp3_8,,6,43419288.0,156
simplify/Exp3_8,,6,47890234.0,160
simplify/Exp3_8,,6,47899073.0,164
simplify/Exp3_8,,6,48957673.0,168
simplify/Exp3_8,,6,49119844.0,172
simplify/Exp3_8,,6,50415493.0,176
simplify/Exp3_8,,6,52375052.0,180
simplify/Exp3_8,,6,53488977.0,184
simplify/Exp3_8,,6,54631739.0,188
simplify/Exp3_8,,6,58429886.0,192
simplify/Exp3_8,,6,58057683.0,196
simplify/Exp3_8,,6,58825982.0,200
simplify/Exp3_8,,6,59676929.0,204
simplify/Exp3_8,,6,60499456.0,208
simplify/Exp3_8,,6,60234356.0,212
simplify/Exp3_8,,6,62916702.0,216
simplify/Exp3_8,,6,63105435.0,220
simplify/Exp3_8,,6,65210361.0,224
simplify/Exp3_8,,6,64269766.0,228
simplify/Exp3_8,,6,63388044.0,232
simplify/Exp3_8,,6,68875488.0,236
simplify/Exp3_8,,6,68732456.0,240
simplify/Exp3_8,,6,68517437.0,244
simplify/Exp3_8,,6,67198341.0,248
simplify/Exp3_8,,6,72801624.0,252
simplify/Exp3_8,,6,72194263.0,256
simplify/Exp3_8,,6,66033916.0,260
simplify/Exp3_8,,6,72622639.0,264
simplify/Exp3_8,,6,78421693.0,268
simplify/Exp3_8,,6,78860017.0,272
simplify/Exp3_8,,6,79639514.0,276
simplify/Exp3_8,,6,79091164.0,280
simplify/Exp3_8,,6,83417516.0,284
simplify/Exp3_8,,6,79633545.0,288
simplify/Exp3_8,,6,81026368.0,292
simplify/Exp3_8,,6,85245750.0,296
simplify/Exp3_8,,6,82546201.0,300
simplify/Exp3_8,,6,87822858.0,304
simplify/Exp3_8,,6,89962539.0,308
simplify/Exp3_8,,6,91236332.0,312
simplify/Exp3_8,,6,86189253.0,316
simplify/Exp3_8,,6,79775577.0,320
simplify/Exp3_8,,6,92068491.0,324
simplify/Exp3_8,,6,93707783.0,328
simplify/Exp3_8,,6,96663709.0,332
simplify/Exp3_8,,6,86368939.0,336
simplify/Exp3_8,,6,94691646.0,340
simplify/Exp3_8,,6,96069908.0,344
simplify/Exp3_8,,6,100706173.0,348
simplify/Exp3_8,,6,100393809.0,352
simplify/Exp3_8,,6,100622248.0,356
simplify/Exp3_8,,6,101151269.0,360
simplify/Exp3_8,,6,101406832.0,364
simplify/Exp3_8,,6,102008884.0,368
simplify/Exp3_8,,6,102430970.0,372
simplify/Exp3_8,,6,93921400.0,376
simplify/Exp3_8,,6,95296448.0,380
simplify/Exp3_8,,6,105977345.0,384
simplify/Exp3_8,,6,108001842.0,388
simplify/Exp3_8,,6,107935272.0,392
simplify/Exp3_8,,6,109723807.0,396
simplify/Exp3_8,,6,110271050.0,400
