group,function,value,sample_time_nanos,iteration_count
simplify/Exp3_8,,7,5831217.0,2
simplify/Exp3_8,,7,8399381.0,4
simplify/Exp3_8,,7,9115451.0,6
simplify/Exp3_8,,7,11845634.0,8
simplify/Exp3_8,,7,14570999.0,10
simplify/Exp3_8,,7,15201221.0,12
simplify/Exp3_8,,7,17172752.0,14
simplify/Exp3_8,,7,18034310.0,16
simplify/Exp3_8,,7,24450234.0,18
simplify/Exp3_8,,7,22642548.0,20
simplify/Exp3_8,,7,25977153.0,22
simplify/Exp3_8,,7,26129417.0,24
simplify/Exp3_8,,7,27670045.0,26
simplify/Exp3_8,,7,30889724.0,28
simplify/Exp3_8,,7,32391518.0,30
simplify/Exp3_8,,7,34397182.0,32
simplify/Exp3_8,,7,35031102.0,34
simplify/Exp3_8,,7,39359567.0,36
simplify/Exp3_8,,7,38989773.0,38
simplify/Exp3_8,,7,41650545.0,40
simplify/Exp3_8,,7,42570110.0,42
simplify/Exp3_8,,7,45710858.0,44
simplify/Exp3_8,,7,47612797.0,46
simplify/Exp3_8,,7,48940034.0,48
simplify/Exp3_8,,7,50524808.0,50
simplify/Exp3_8,,7,50886171.0,52
simplify/Exp3_8,,7,52438907.0,54
simplify/Exp3_8,,7,56364978.0,56
simplify/Exp3_8,,7,58198010.0,58
simplify/Exp3_8,,7,60437494.0,60
simplify/Exp3_8,,7,64327085.0,62
simplify/Exp3_8,,7,64425566.0,64
simplify/Exp3_8,,7,65989304.0,66
simplify/Exp3_8,,7,68485432.0,68
simplify/Exp3_8,,7,66036837.0,70
simplify/Exp3_8,,7,70525325.0,72
simplify/Exp3_8,,7,74209989.0,74
simplify/Exp3_8,,7,76105424.0,76
simplify/Exp3_8,,7,79347295.0,78
simplify/Exp3_8,,7,91141222.0,80
simplify/Exp3_8,,7,84063380.0,82
simplify/Exp3_8,,7,81247265.0,84
simplify/Exp3_8,,7,86618014.0,86
simplify/Exp3_8,,7,83411119.0,88
simplify/Exp3_8,,7,88687832.0,90
simplify/Exp3_8,,7,92303335.0,92
simplify/Exp3_8,,7,87811930.0,94
simplify/Exp3_8,,7,92344859.0,96
simplify/Exp3_8,,7,101409311.0,98
simplify/Exp3_8,,7,97055249.0,100
simplify/Exp3_8,,7,98255935.0,102
simplify/Exp3_8,,7,101417080.0,104
simplify/Exp3_8,,7,108935829.0,106
simplify/Exp3_8,,7,103254033.0,108
simplify/Exp3_8,,7,103113221.0,110
simplify/Exp3_8,,7,109267332.0,112
simplify/Exp3_8,,7,106947063.0,114
simplify/Exp3_8,,7,115501363.0,116
simplify/Exp3_8,,7,111731556.0,118
simplify/Exp3_8,,7,117555390.0,120
simplify/Exp3_8,,7,114900249.0,122
simplify/Exp3_8,,7,120361145.0,124
simplify/Exp3_8,,7,127916261.0,126
simplify/Exp3_8,,7,120809078.0,128
simplify/Exp3_8,,7,125928691.0,130
simplify/Exp3_8,,7,125356831.0,132
simplify/Exp3_8,,7,122055756.0,134
simplify/Exp3_8,,7,133888236.0,136
simplify/Exp3_8,,7,137950009.0,138
simplify/Exp3_8,,7,134975378.0,140
simplify/Exp3_8,,7,137925994.0,142
simplify/Exp3_8,,7,140020905.0,144
simplify/Exp3_8,,7,142655063.0,146
simplify/Exp3_8,,7,141394950.0,148
simplify/Exp3_8,,7,157196561.0,150
simplify/Exp3_8,,7,163044946.0,152
simplify/Exp3_8,,7,166030244.0,154
simplify/Exp3_8,,7,199139307.0,156
simplify/Exp3_8,,7,183717078.0,158
simplify/Exp3_8,,7,165533567.0,160
simplify/Exp3_8,,7,226677792.0,162
simplify/Exp3_8,,7,149331006.0,164
simplify/Exp3_8,,7,159366299.0,166
simplify/Exp3_8,,7,244651396.0,168
simplify/Exp3_8,,7,162177997.0,170
simplify/Exp3_8,,7,162640253.0,172
simplify/Exp3_8,,7,208872110.0,174
simplify/Exp3_8,,7,178313895.0,176
simplify/Exp3_8,,7,161180842.0,178
simplify/Exp3_8,,7,171150248.0,180
simplify/Exp3_8,,7,175800702.0,182
simplify/Exp3_8,,7,164110785.0,184
simplify/Exp3_8,,7,176816024.0,186
simplify/Exp3_8,,7,248977573.0,188
simplify/Exp3_8,,7,264546980.0,190
simplify/Exp3_8,,7,244523497.0,192
simplify/Exp3_8,,7,277479310.0,194
simplify/Exp3_8,,7,270966436.0,196
simplify/Exp3_8,,7,236105585.0,198
simplify/Exp3_8,,7,200703505.0,200
