group,function,value,sample_time_nanos,iteration_count
simplify/Integrate,,1,5550689.0,61
simplify/Integrate,,1,6437666.0,122
simplify/Integrate,,1,6767778.0,183
simplify/Integrate,,1,7806773.0,244
simplify/Integrate,,1,9588999.0,305
simplify/Integrate,,1,10403267.0,366
simplify/Integrate,,1,11459908.0,427
simplify/Integrate,,1,12585947.0,488
simplify/Integrate,,1,13982682.0,549
simplify/Integrate,,1,14131466.0,610
simplify/Integrate,,1,15194840.0,671
simplify/Integrate,,1,16694284.0,732
simplify/Integrate,,1,16736458.0,793
simplify/Integrate,,1,17791941.0,854
simplify/Integrate,,1,18085354.0,915
simplify/Integrate,,1,18505771.0,976
simplify/Integrate,,1,18985380.0,1037
simplify/Integrate,,1,19927962.0,1098
simplify/Integrate,,1,23852200.0,1159
simplify/Integrate,,1,22019909.0,1220
simplify/Integrate,,1,27122482.0,1281
simplify/Integrate,,1,24512204.0,1342
simplify/Integrate,,1,24487631.0,1403
simplify/Integrate,,1,26912706.0,1464
simplify/Integrate,,1,25074175.0,1525
simplify/Integrate,,1,29511852.0,1586
simplify/Integrate,,1,29841617.0,1647
simplify/Integrate,,1,28348614.0,1708
simplify/Integrate,,1,33901023.0,1769
simplify/Integrate,,1,29208454.0,1830
simplify/Integrate,,1,31107090.0,1891
simplify/Integrate,,1,32332260.0,1952
simplify/Integrate,,1,34023685.0,2013
simplify/Integrate,,1,34557019.0,2074
simplify/Integrate,,1,35473288.0,2135
simplify/Integrate,,1,34734871.0,2196
simplify/Integrate,,1,38386870.0,2257
simplify/Integrate,,1,38486386.0,2318
simplify/Integrate,,1,43743786.0,2379
simplify/Integrate,,1,38072857.0,2440
simplify/Integrate,,1,38067572.0,2501
simplify/Integrate,,1,39608860.0,2562
simplify/Integrate,,1,47941643.0,2623
simplify/Integrate,,1,41558000.0,2684
simplify/Integrate,,1,47861115.0,2745
simplify/Integrate,,1,50140373.0,2806
simplify/Integrate,,1,52387601.0,2867
simplify/Integrate,,1,45607263.0,2928
simplify/Integrate,,1,54908198.0,2989
simplify/Integrate,,1,51220061.0,3050
simplify/Integrate,,1,56412719.0,3111
simplify/Integrate,,1,47249948.0,3172
simplify/Integrate,,1,58138371.0,3233
simplify/Integrate,,1,59507682.0,3294
simplify/Integrate,,1,58871118.0,3355
simplify/Integrate,,1,55591679.0,3416
simplify/Integrate,,1,54436341.0,3477
simplify/Integrate,,1,56681326.0,3538
simplify/Integrate,,1,64086237.0,3599
simplify/Integrate,,1,54548770.0,3660
simplify/Integrate,,1,58206929.0,3721
simplify/Integrate,,1,62956453.0,3782
simplify/Integrate,,1,60490652.0,3843
simplify/Integrate,,1,67057571.0,3904
simplify/Integrate,,1,62199322.0,3965
simplify/Integrate,,1,61877763.0,4026
simplify/Integrate,,1,61163404.0,4087
simplify/Integrate,,1,69596297.0,4148
simplify/Integrate,,1,68612934.0,4209
simplify/Integrate,,1,72607266.0,4270
simplify/Integrate,,1,76386008.0,4331
simplify/Integrate,,1,64161791.0,4392
simplify/Integrate,,1,71758090.0,4453
simplify/Integrate,,1,74639309.0,4514
simplify/Integrate,,1,76252260.0,4575
simplify/Integrate,,1,74771697.0,4636
simplify/Integrate,,1,83242454.0,4697
simplify/Integrate,,1,78807673.0,4758
simplify/Integrate,,1,75510238.0,4819
simplify/Integrate,,1,77200594.0,4880
simplify/Integrate,,1,85072724.0,4941
simplify/Integrate,,1,77184881.0,5002
simplify/Integrate,,1,89293638.0,5063
simplify/Integrate,,1,82269686.0,5124
simplify/Integrate,,1,86123994.0,5185
simplify/Integrate,,1,85778257.0,5246
simplify/Integrate,,1,79466839.0,5307
simplify/Integrate,,1,87600692.0,5368
simplify/Integrate,,1,89710821.0,5429
simplify/Integrate,,1,90309448.0,5490
simplify/Integrate,,1,87091111.0,5551
simplify/Integrate,,1,89225024.0,5612
simplify/Integrate,,1,90387652.0,5673
simplify/Integrate,,1,91365380.0,5734
simplify/Integrate,,1,94975495.0,5795
simplify/Integrate,,1,97063870.0,5856
simplify/Integrate,,1,88548762.0,5917
simplify/Integrate,,1,95472314.0,5978
simplify/Integrate,,1,118552747.0,6039
simplify/Integrate,,1,99397923.0,6100
