group,function,value,sample_time_nanos,iteration_count
simplify/Integrate,,5,5278855.0,59
simplify/Integrate,,5,6174300.0,118
simplify/Integrate,,5,7055942.0,177
simplify/Integrate,,5,7979770.0,236
simplify/Integrate,,5,8972787.0,295
simplify/Integrate,,5,10276505.0,354
simplify/Integrate,,5,11215165.0,413
simplify/Integrate,,5,12098349.0,472
simplify/Integrate,,5,13283513.0,531
simplify/Integrate,,5,14187871.0,590
simplify/Integrate,,5,14341746.0,649
simplify/Integrate,,5,15319559.0,708
simplify/Integrate,,5,17409208.0,767
simplify/Integrate,,5,20607351.0,826
simplify/Integrate,,5,18750926.0,885
simplify/Integrate,,5,18960717.0,944
simplify/Integrate,,5,20080303.0,1003
simplify/Integrate,,5,21214320.0,1062
simplify/Integrate,,5,22840705.0,1121
simplify/Integrate,,5,22796369.0,1180
simplify/Integrate,,5,24589518.0,1239
simplify/Integrate,,5,28538947.0,1298
simplify/Integrate,,5,30952190.0,1357
simplify/Integrate,,5,31676378.0,1416
simplify/Integrate,,5,31958277.0,1475
simplify/Integrate,,5,27036073.0,1534
simplify/Integrate,,5,27151929.0,1593
simplify/Integrate,,5,28384328.0,1652
simplify/Integrate,,5,30256787.0,1711
simplify/Integrate,,5,37977854.0,1770
simplify/Integrate,,5,30448502.0,1829
simplify/Integrate,,5,38657185.0,1888
simplify/Integrate,,5,35410869.0,1947
simplify/Integrate,,5,35854630.0,2006
simplify/Integrate,,5,38623901.0,2065
simplify/Integrate,,5,42280559.0,2124
simplify/Integrate,,5,43082287.0,2183
simplify/Integrate,,5,41671392.0,2242
simplify/Integrate,,5,39139703.0,2301
simplify/Integrate,,5,49919498.0,2360
simplify/Integrate,,5,51255280.0,2419
simplify/Integrate,,5,46740148.0,2478
simplify/Integrate,,5,46991255.0,2537
simplify/Integrate,,5,46433704.0,2596
simplify/Integrate,,5,46936564.0,2655
simplify/Integrate,,5,46324115.0,2714
simplify/Integrate,,5,44843669.0,2773
simplify/Integrate,,5,54380712.0,2832
simplify/Integrate,,5,52239804.0,2891
simplify/Integrate,,5,49785562.0,2950
simplify/Integrate,,5,52459756.0,3009
simplify/Integrate,,5,51926088.0,3068
simplify/Integrate,,5,54779996.0,3127
simplify/Integrate,,5,54298264.0,3186
simplify/Integrate,,5,57336346.0,3245
simplify/Integrate,,5,60616992.0,3304
simplify/Integrate,,5,57021210.0,3363
simplify/Integrate,,5,62222495.0,3422
simplify/Integrate,,5,61531874.0,3481
simplify/Integrate,,5,65596805.0,3540
simplify/Integrate,,5,64108146.0,3599
simplify/Integrate,,5,61717250.0,3658
simplify/Integrate,,5,67938756.0,3717
simplify/Integrate,,5,63255881.0,3776
simplify/Integrate,,5,61187472.0,3835
simplify/Integrate,,5,71223011.0,3894
simplify/Integrate,,5,68483144.0,3953
simplify/Integrate,,5,70729325.0,4012
simplify/Integrate,,5,74447662.0,4071
simplify/Integrate,,5,67921061.0,4130
simplify/Integrate,,5,82891883.0,4189
simplify/Integrate,,5,81441613.0,4248
simplify/Integrate,,5,79187050.0,4307
simplify/Integrate,,5,86830340.0,4366
simplify/Integrate,,5,74350572.0,4425
simplify/Integrate,,5,77031620.0,4484
simplify/Integrate,,5,77490208.0,4543
simplify/Integrate,,5,74491423.0,4602
simplify/Integrate,,5,77117228.0,4661
simplify/Integrate,,5,74045746.0,4720
simplify/Integrate,,5,84897617.0,4779
simplify/Integrate,,5,85498129.0,4838
simplify/Integrate,,5,83199605.0,4897
simplify/Integrate,,5,85508854.0,4956
simplify/Integrate,,5,83993713.0,5015
simplify/Integrate,,5,88858604.0,5074
simplify/Integrate,,5,93730291.0,5133
simplify/Integrate,,5,84923434.0,5192
simplify/Integrate,,5,92381414.0,5251
simplify/Integrate,,5,91793166.0,5310
simplify/Integrate,,5,90416049.0,5369
simplify/Integrate,,5,96035465.0,5428
simplify/Integrate,,5,97323125.0,5487
simplify/Integrate,,5,108187254.0,5546
simplify/Integrate,,5,102636898.0,5605
simplify/Integrate,,5,92503886.0,5664
simplify/Integrate,,5,95562317.0,5723
simplify/Integrate,,5,96427374.0,5782
simplify/Integrate,,5,101221039.0,5841
simplify/Integrate,,5,100347453.0,5900
