group,function,value,sample_time_nanos,iteration_count
simplify/Nfib,,21,10660939.0,1
simplify/Nfib,,21,17648795.0,2
simplify/Nfib,,21,25316805.0,3
simplify/Nfib,,21,33271330.0,4
simplify/Nfib,,21,38713970.0,5
simplify/Nfib,,21,44358663.0,6
simplify/Nfib,,21,51833080.0,7
simplify/Nfib,,21,60572056.0,8
simplify/Nfib,,21,68883630.0,9
simplify/Nfib,,21,73926637.0,10
simplify/Nfib,,21,78552439.0,11
simplify/Nfib,,21,85610560.0,12
simplify/Nfib,,21,93209487.0,13
simplify/Nfib,,21,97429256.0,14
simplify/Nfib,,21,104778421.0,15
simplify/Nfib,,21,111409042.0,16
simplify/Nfib,,21,117267163.0,17
simplify/Nfib,,21,123650208.0,18
simplify/Nfib,,21,130748871.0,19
simplify/Nfib,,21,138006178.0,20
simplify/Nfib,,21,146929757.0,21
simplify/Nfib,,21,153081041.0,22
simplify/Nfib,,21,156350540.0,23
simplify/Nfib,,21,165925135.0,24
simplify/Nfib,,21,172024330.0,25
simplify/Nfib,,21,177612061.0,26
simplify/Nfib,,21,180792791.0,27
simplify/Nfib,,21,190350196.0,28
simplify/Nfib,,21,200176163.0,29
simplify/Nfib,,21,212671754.0,30
simplify/Nfib,,21,215606555.0,31
simplify/Nfib,,21,217136454.0,32
simplify/Nfib,,21,226414766.0,33
simplify/Nfib,,21,232378233.0,34
simplify/Nfib,,21,247843315.0,35
simplify/Nfib,,21,260670014.0,36
simplify/Nfib,,21,249617789.0,37
simplify/Nfib,,21,269796929.0,38
simplify/Nfib,,21,263000141.0,39
simplify/Nfib,,21,270556043.0,40
simplify/Nfib,,21,291825563.0,41
simplify/Nfib,,21,288550876.0,42
simplify/Nfib,,21,286640492.0,43
simplify/Nfib,,21,296585193.0,44
simplify/Nfib,,21,304025771.0,45
simplify/Nfib,,21,315556476.0,46
simplify/Nfib,,21,315513094.0,47
simplify/Nfib,,21,323521893.0,48
simplify/Nfib,,21,340492639.0,49
simplify/Nfib,,21,335522585.0,50
simplify/Nfib,,21,350769297.0,51
simplify/Nfib,,21,357526461.0,52
simplify/Nfib,,21,363124981.0,53
simplify/Nfib,,21,362605836.0,54
simplify/Nfib,,21,375352313.0,55
simplify/Nfib,,21,374882721.0,56
simplify/Nfib,,21,388306625.0,57
simplify/Nfib,,21,394413677.0,58
simplify/Nfib,,21,394614192.0,59
simplify/Nfib,,21,408698569.0,60
simplify/Nfib,,21,406857762.0,61
simplify/Nfib,,21,414118481.0,62
simplify/Nfib,,21,417389350.0,63
simplify/Nfib,,21,434238633.0,64
simplify/Nfib,,21,432229849.0,65
simplify/Nfib,,21,437611772.0,66
simplify/Nfib,,21,452026447.0,67
simplify/Nfib,,21,451412003.0,68
simplify/Nfib,,21,459835617.0,69
simplify/Nfib,,21,480823932.0,70
simplify/Nfib,,21,473103309.0,71
simplify/Nfib,,21,488434461.0,72
simplify/Nfib,,21,501672474.0,73
simplify/Nfib,,21,501590261.0,74
simplify/Nfib,,21,515591813.0,75
simplify/Nfib,,21,501139316.0,76
simplify/Nfib,,21,508673296.0,77
simplify/Nfib,,21,533553971.0,78
simplify/Nfib,,21,533417201.0,79
simplify/Nfib,,21,538261989.0,80
simplify/Nfib,,21,542629633.0,81
simplify/Nfib,,21,553054434.0,82
simplify/Nfib,,21,562714615.0,83
simplify/Nfib,,21,564761947.0,84
simplify/Nfib,,21,577310034.0,85
simplify/Nfib,,21,577763004.0,86
simplify/Nfib,,21,594363733.0,87
simplify/Nfib,,21,590153723.0,88
simplify/Nfib,,21,594314723.0,89
simplify/Nfib,,21,603779307.0,90
simplify/Nfib,,21,615482848.0,91
simplify/Nfib,,21,623937586.0,92
simplify/Nfib,,21,628421270.0,93
simplify/Nfib,,21,626367089.0,94
simplify/Nfib,,21,631428066.0,95
simplify/Nfib,,21,645357266.0,96
simplify/Nfib,,21,644150447.0,97
simplify/Nfib,,21,652577678.0,98
simplify/Nfib,,21,677774566.0,99
simplify/Nfib,,21,663443098.0,100
