group,function,value,sample_time_nanos,iteration_count
simplify/Nfib,,4,5582605.0,64
simplify/Nfib,,4,5894980.0,128
simplify/Nfib,,4,6605518.0,192
simplify/Nfib,,4,7053505.0,256
simplify/Nfib,,4,8011940.0,320
simplify/Nfib,,4,8753015.0,384
simplify/Nfib,,4,9554979.0,448
simplify/Nfib,,4,10913029.0,512
simplify/Nfib,,4,11398273.0,576
simplify/Nfib,,4,12464224.0,640
simplify/Nfib,,4,13297436.0,704
simplify/Nfib,,4,12802363.0,768
simplify/Nfib,,4,13264607.0,832
simplify/Nfib,,4,14053438.0,896
simplify/Nfib,,4,15287334.0,960
simplify/Nfib,,4,14886846.0,1024
simplify/Nfib,,4,15408292.0,1088
simplify/Nfib,,4,17209566.0,1152
simplify/Nfib,,4,16687582.0,1216
simplify/Nfib,,4,18397520.0,1280
simplify/Nfib,,4,19592619.0,1344
simplify/Nfib,,4,23905177.0,1408
simplify/Nfib,,4,21358207.0,1472
simplify/Nfib,,4,21384158.0,1536
simplify/Nfib,,4,21218807.0,1600
simplify/Nfib,,4,27263807.0,1664
simplify/Nfib,,4,22928563.0,1728
simplify/Nfib,,4,25200077.0,1792
simplify/Nfib,,4,23719300.0,1856
simplify/Nfib,,4,26090537.0,1920
simplify/Nfib,,4,26477276.0,1984
simplify/Nfib,,4,26235418.0,2048
simplify/Nfib,,4,31482894.0,2112
simplify/Nfib,,4,28340338.0,2176
simplify/Nfib,,4,29088628.0,2240
simplify/Nfib,,4,28780913.0,2304
simplify/Nfib,,4,37930670.0,2368
simplify/Nfib,,4,40481617.0,2432
simplify/Nfib,,4,31709596.0,2496
simplify/Nfib,,4,31948843.0,2560
simplify/Nfib,,4,34188241.0,2624
simplify/Nfib,,4,37083910.0,2688
simplify/Nfib,,4,43986159.0,2752
simplify/Nfib,,4,35409576.0,2816
simplify/Nfib,,4,38406740.0,2880
simplify/Nfib,,4,35922025.0,2944
simplify/Nfib,,4,38345560.0,3008
simplify/Nfib,,4,42582435.0,3072
simplify/Nfib,,4,50525882.0,3136
simplify/Nfib,,4,43481725.0,3200
simplify/Nfib,,4,53625672.0,3264
simplify/Nfib,,4,41025665.0,3328
simplify/Nfib,,4,43957011.0,3392
simplify/Nfib,,4,46858611.0,3456
simplify/Nfib,,4,45186948.0,3520
simplify/Nfib,,4,46181842.0,3584
simplify/Nfib,,4,47811813.0,3648
simplify/Nfib,,4,46992160.0,3712
simplify/Nfib,,4,48478771.0,3776
simplify/Nfib,,4,47954182.0,3840
simplify/Nfib,,4,51436692.0,3904
simplify/Nfib,,4,53535380.0,3968
simplify/Nfib,,4,51069372.0,4032
simplify/Nfib,,4,62166528.0,4096
simplify/Nfib,,4,57141841.0,4160
simplify/Nfib,,4,69128982.0,4224
simplify/Nfib,,4,56795399.0,4288
simplify/Nfib,,4,59014002.0,4352
simplify/Nfib,,4,58638295.0,4416
simplify/Nfib,,4,56812335.0,4480
simplify/Nfib,,4,65062359.0,4544
simplify/Nfib,,4,61691850.0,4608
simplify/Nfib,,4,62546725.0,4672
simplify/Nfib,,4,58690011.0,4736
simplify/Nfib,,4,64237836.0,4800
simplify/Nfib,,4,69517764.0,4864
simplify/Nfib,,4,67789692.0,4928
simplify/Nfib,,4,66115736.0,4992
simplify/Nfib,,4,60502496.0,5056
simplify/Nfib,,4,72444753.0,5120
simplify/Nfib,,4,72730993.0,5184
simplify/Nfib,,4,74927049.0,5248
simplify/Nfib,,4,66573771.0,5312
simplify/Nfib,,4,80269365.0,5376
simplify/Nfib,,4,72924160.0,5440
simplify/Nfib,,4,84693450.0,5504
simplify/Nfib,,4,75150636.0,5568
simplify/Nfib,,4,82113513.0,5632
simplify/Nfib,,4,80821984.0,5696
simplify/Nfib,,4,83620080.0,5760
simplify/Nfib,,4,83446047.0,5824
simplify/Nfib,,4,81870210.0,5888
simplify/Nfib,,4,81563098.0,5952
simplify/Nfib,,4,84025931.0,6016
simplify/Nfib,,4,86838454.0,6080
simplify/Nfib,,4,83065736.0,6144
simplify/Nfib,,4,87582569.0,6208
simplify/Nfib,,4,88800110.0,6272
simplify/Nfib,,4,85077513.0,6336
simplify/Nfib,,4,89502701.0,6400
