group,function,value,sample_time_nanos,iteration_count
simplify/Paraffins,,1,5620324.0,21
simplify/Paraffins,,1,6321637.0,42
simplify/Paraffins,,1,6996282.0,63
simplify/Paraffins,,1,7848294.0,84
simplify/Paraffins,,1,9310804.0,105
simplify/Paraffins,,1,9402514.0,126
simplify/Paraffins,,1,10952736.0,147
simplify/Paraffins,,1,12032576.0,168
simplify/Paraffins,,1,12837070.0,189
simplify/Paraffins,,1,13579593.0,210
simplify/Paraffins,,1,14096466.0,231
simplify/Paraffins,,1,15054798.0,252
simplify/Paraffins,,1,16787991.0,273
simplify/Paraffins,,1,17724719.0,294
simplify/Paraffins,,1,17370631.0,315
simplify/Paraffins,,1,18207059.0,336
simplify/Paraffins,,1,19176463.0,357
simplify/Paraffins,,1,19416430.0,378
simplify/Paraffins,,1,20302290.0,399
simplify/Paraffins,,1,22539839.0,420
simplify/Paraffins,,1,22182361.0,441
simplify/Paraffins,,1,23077282.0,462
simplify/Paraffins,,1,23731442.0,483
simplify/Paraffins,,1,24850225.0,504
simplify/Paraffins,,1,26972092.0,525
simplify/Paraffins,,1,27389605.0,546
simplify/Paraffins,,1,28082068.0,567
simplify/Paraffins,,1,29767485.0,588
simplify/Paraffins,,1,30355239.0,609
simplify/Paraffins,,1,33868168.0,630
simplify/Paraffins,,1,32197810.0,651
simplify/Paraffins,,1,34904636.0,672
simplify/Paraffins,,1,33954144.0,693
simplify/Paraffins,,1,33901684.0,714
simplify/Paraffins,,1,40622989.0,735
simplify/Paraffins,,1,35414719.0,756
simplify/Paraffins,,1,39718435.0,777
simplify/Paraffins,,1,39395290.0,798
simplify/Paraffins,,1,39151137.0,819
simplify/Paraffins,,1,40333183.0,840
simplify/Paraffins,,1,41063703.0,861
simplify/Paraffins,,1,41935795.0,882
simplify/Paraffins,,1,41901984.0,903
simplify/Paraffins,,1,44274023.0,924
simplify/Paraffins,,1,43585218.0,945
simplify/Paraffins,,1,45055833.0,966
simplify/Paraffins,,1,49847573.0,987
simplify/Paraffins,,1,46628457.0,1008
simplify/Paraffins,,1,49197833.0,1029
simplify/Paraffins,,1,49573229.0,1050
simplify/Paraffins,,1,50537042.0,1071
simplify/Paraffins,,1,50687306.0,1092
simplify/Paraffins,,1,50377421.0,1113
simplify/Paraffins,,1,51548538.0,1134
simplify/Paraffins,,1,53493354.0,1155
simplify/Paraffins,,1,55383553.0,1176
simplify/Paraffins,,1,56483812.0,1197
simplify/Paraffins,,1,60895862.0,1218
simplify/Paraffins,,1,61985697.0,1239
simplify/Paraffins,,1,62988132.0,1260
simplify/Paraffins,,1,62239239.0,1281
simplify/Paraffins,,1,60617779.0,1302
simplify/Paraffins,,1,58531462.0,1323
simplify/Paraffins,,1,62682648.0,1344
simplify/Paraffins,,1,67054988.0,1365
simplify/Paraffins,,1,66986243.0,1386
simplify/Paraffins,,1,66478730.0,1407
simplify/Paraffins,,1,69779607.0,1428
simplify/Paraffins,,1,67477133.0,1449
simplify/Paraffins,,1,69496169.0,1470
simplify/Paraffins,,1,70797603.0,1491
simplify/Paraffins,,1,66417622.0,1512
simplify/Paraffins,,1,73782950.0,1533
simplify/Paraffins,,1,73127185.0,1554
simplify/Paraffins,,1,74755744.0,1575
simplify/Paraffins,,1,76224101.0,1596
simplify/Paraffins,,1,77975582.0,1617
simplify/Paraffins,,1,80995343.0,1638
simplify/Paraffins,,1,78697505.0,1659
simplify/Paraffins,,1,78653610.0,1680
simplify/Paraffins,,1,79120876.0,1701
simplify/Paraffins,,1,82606536.0,1722
simplify/Paraffins,,1,84913814.0,1743
simplify/Paraffins,,1,80550969.0,1764
simplify/Paraffins,,1,83101888.0,1785
simplify/Paraffins,,1,84589134.0,1806
simplify/Paraffins,,1,85848553.0,1827
simplify/Paraffins,,1,85306153.0,1848
simplify/Paraffins,,1,92059283.0,1869
simplify/Paraffins,,1,82152116.0,1890
simplify/Paraffins,,1,89611164.0,1911
simplify/Paraffins,,1,91273422.0,1932
simplify/Paraffins,,1,88638220.0,1953
simplify/Paraffins,,1,91528018.0,1974
simplify/Paraffins,,1,86890504.0,1995
simplify/Paraffins,,1,96929496.0,2016
simplify/Paraffins,,1,99573629.0,2037
simplify/Paraffins,,1,96600174.0,2058
simplify/Paraffins,,1,88338463.0,2079
simplify/Paraffins,,1,100710351.0,2100
