group,function,value,sample_time_nanos,iteration_count
simplify/Paraffins,,14,156474245.0,1
simplify/Paraffins,,14,305583844.0,2
simplify/Paraffins,,14,448470418.0,3
simplify/Paraffins,,14,608722356.0,4
simplify/Paraffins,,14,748467514.0,5
simplify/Paraffins,,14,903764605.0,6
simplify/Paraffins,,14,1046423536.0,7
simplify/Paraffins,,14,1199831462.0,8
simplify/Paraffins,,14,1303187331.0,9
simplify/Paraffins,,14,1465954433.0,10
simplify/Paraffins,,14,1619245003.0,11
simplify/Paraffins,,14,1735355968.0,12
simplify/Paraffins,,14,1907732297.0,13
simplify/Paraffins,,14,2050246953.0,14
simplify/Paraffins,,14,2194200507.0,15
simplify/Paraffins,,14,2346230981.0,16
simplify/Paraffins,,14,2609999725.0,17
simplify/Paraffins,,14,2673348776.0,18
simplify/Paraffins,,14,2771148429.0,19
simplify/Paraffins,,14,2932128258.0,20
simplify/Paraffins,,14,3058807141.0,21
simplify/Paraffins,,14,3232095233.0,22
simplify/Paraffins,,14,3336617611.0,23
simplify/Paraffins,,14,3513639476.0,24
simplify/Paraffins,,14,3653160095.0,25
simplify/Paraffins,,14,3822316894.0,26
simplify/Paraffins,,14,3938214647.0,27
simplify/Paraffins,,14,4101569861.0,28
simplify/Paraffins,,14,4266455938.0,29
simplify/Paraffins,,14,4432795956.0,30
simplify/Paraffins,,14,4530261876.0,31
simplify/Paraffins,,14,4705656818.0,32
simplify/Paraffins,,14,4904355571.0,33
simplify/Paraffins,,14,5060801660.0,34
simplify/Paraffins,,14,5098743586.0,35
simplify/Paraffins,,14,5279584333.0,36
simplify/Paraffins,,14,5395099304.0,37
simplify/Paraffins,,14,5585149231.0,38
simplify/Paraffins,,14,5726837761.0,39
simplify/Paraffins,,14,5863858649.0,40
simplify/Paraffins,,14,6009171849.0,41
simplify/Paraffins,,14,6130986440.0,42
simplify/Paraffins,,14,6358155803.0,43
simplify/Paraffins,,14,6460048217.0,44
simplify/Paraffins,,14,6564257588.0,45
simplify/Paraffins,,14,6697478713.0,46
simplify/Paraffins,,14,6861070896.0,47
simplify/Paraffins,,14,7064222730.0,48
simplify/Paraffins,,14,7153151681.0,49
simplify/Paraffins,,14,7363915284.0,50
simplify/Paraffins,,14,7482172030.0,51
simplify/Paraffins,,14,7614537589.0,52
simplify/Paraffins,,14,7704645944.0,53
simplify/Paraffins,,14,7922170179.0,54
simplify/Paraffins,,14,8085810479.0,55
simplify/Paraffins,,14,8285298429.0,56
simplify/Paraffins,,14,8369433050.0,57
simplify/Paraffins,,14,8501001896.0,58
simplify/Paraffins,,14,8669651432.0,59
simplify/Paraffins,,14,8792041742.0,60
simplify/Paraffins,,14,8908203836.0,61
simplify/Paraffins,,14,9124219124.0,62
simplify/Paraffins,,14,9199740866.0,63
simplify/Paraffins,,14,9394159106.0,64
simplify/Paraffins,,14,9610860431.0,65
simplify/Paraffins,,14,9660639110.0,66
simplify/Paraffins,,14,9860791745.0,67
simplify/Paraffins,,14,9859938249.0,68
simplify/Paraffins,,14,10002276884.0,69
simplify/Paraffins,,14,10229318516.0,70
simplify/Paraffins,,14,10343471387.0,71
simplify/Paraffins,,14,10624920182.0,72
simplify/Paraffins,,14,10608259106.0,73
simplify/Paraffins,,14,10788861246.0,74
simplify/Paraffins,,14,10968133911.0,75
simplify/Paraffins,,14,11187048840.0,76
simplify/Paraffins,,14,11277236452.0,77
simplify/Paraffins,,14,11362440218.0,78
simplify/Paraffins,,14,11508683491.0,79
simplify/Paraffins,,14,11668756142.0,80
simplify/Paraffins,,14,11914307822.0,81
simplify/Paraffins,,14,12006280695.0,82
simplify/Paraffins,,14,12111760999.0,83
simplify/Paraffins,,14,12226134631.0,84
simplify/Paraffins,,14,12412517397.0,85
simplify/Paraffins,,14,12543131959.0,86
simplify/Paraffins,,14,12730670635.0,87
simplify/Paraffins,,14,12892507965.0,88
simplify/Paraffins,,14,12962365255.0,89
simplify/Paraffins,,14,13156029964.0,90
simplify/Paraffins,,14,13285417399.0,91
simplify/Paraffins,,14,13471331082.0,92
simplify/Paraffins,,14,13568096329.0,93
simplify/Paraffins,,14,13750705625.0,94
simplify/Paraffins,,14,13844905491.0,95
simplify/Paraffins,,14,14068472735.0,96
simplify/Paraffins,,14,14133158476.0,97
simplify/Paraffins,,14,14357527222.0,98
simplify/Paraffins,,14,14445838701.0,99
simplify/Paraffins,,14,14539395375.0,100
