group,function,value,sample_time_nanos,iteration_count
simplify/Paraffins,,7,5298724.0,1
simplify/Paraffins,,7,6567099.0,2
simplify/Paraffins,,7,7416170.0,3
simplify/Paraffins,,7,8778590.0,4
simplify/Paraffins,,7,10133984.0,5
simplify/Paraffins,,7,11273628.0,6
simplify/Paraffins,,7,11573354.0,7
simplify/Paraffins,,7,12272130.0,8
simplify/Paraffins,,7,14077858.0,9
simplify/Paraffins,,7,14926434.0,10
simplify/Paraffins,,7,17452460.0,11
simplify/Paraffins,,7,17085273.0,12
simplify/Paraffins,,7,17680598.0,13
simplify/Paraffins,,7,18901492.0,14
simplify/Paraffins,,7,19645772.0,15
simplify/Paraffins,,7,21772758.0,16
simplify/Paraffins,,7,22654239.0,17
simplify/Paraffins,,7,24530651.0,18
simplify/Paraffins,,7,25617769.0,19
simplify/Paraffins,,7,25361347.0,20
simplify/Paraffins,,7,27956221.0,21
simplify/Paraffins,,7,29579156.0,22
simplify/Paraffins,,7,29813775.0,23
simplify/Paraffins,,7,30177109.0,24
simplify/Paraffins,,7,32433349.0,25
simplify/Paraffins,,7,32955211.0,26
simplify/Paraffins,,7,34143846.0,27
simplify/Paraffins,,7,34662351.0,28
simplify/Paraffins,,7,36095616.0,29
simplify/Paraffins,,7,36221865.0,30
simplify/Paraffins,,7,37756149.0,31
simplify/Paraffins,,7,39074226.0,32
simplify/Paraffins,,7,39879111.0,33
simplify/Paraffins,,7,39834225.0,34
simplify/Paraffins,,7,41540236.0,35
simplify/Paraffins,,7,42279857.0,36
simplify/Paraffins,,7,43677329.0,37
simplify/Paraffins,,7,45880749.0,38
simplify/Paraffins,,7,47868748.0,39
simplify/Paraffins,,7,47210642.0,40
simplify/Paraffins,,7,47906886.0,41
simplify/Paraffins,,7,49927558.0,42
simplify/Paraffins,,7,47713169.0,43
simplify/Paraffins,,7,51025899.0,44
simplify/Paraffins,,7,51503625.0,45
simplify/Paraffins,,7,50321134.0,46
simplify/Paraffins,,7,53952239.0,47
simplify/Paraffins,,7,54937994.0,48
simplify/Paraffins,,7,55243813.0,49
simplify/Paraffins,,7,57669698.0,50
simplify/Paraffins,,7,57927317.0,51
simplify/Paraffins,,7,63062234.0,52
simplify/Paraffins,,7,63647657.0,53
simplify/Paraffins,,7,61807593.0,54
simplify/Paraffins,,7,64297289.0,55
simplify/Paraffins,,7,64235347.0,56
simplify/Paraffins,,7,65280447.0,57
simplify/Paraffins,,7,65897200.0,58
simplify/Paraffins,,7,62873884.0,59
simplify/Paraffins,,7,66306664.0,60
simplify/Paraffins,,7,64997070.0,61
simplify/Paraffins,,7,68935233.0,62
simplify/Paraffins,,7,66553569.0,63
simplify/Paraffins,,7,70561580.0,64
simplify/Paraffins,,7,69154758.0,65
simplify/Paraffins,,7,73155440.0,66
simplify/Paraffins,,7,78283726.0,67
simplify/Paraffins,,7,75428932.0,68
simplify/Paraffins,,7,78448531.0,69
simplify/Paraffins,,7,78752944.0,70
simplify/Paraffins,,7,75837046.0,71
simplify/Paraffins,,7,80254896.0,72
simplify/Paraffins,,7,83062772.0,73
simplify/Paraffins,,7,82296740.0,74
simplify/Paraffins,,7,82149196.0,75
simplify/Paraffins,,7,84210243.0,76
simplify/Paraffins,,7,84687762.0,77
simplify/Paraffins,,7,91782615.0,78
simplify/Paraffins,,7,88102235.0,79
simplify/Paraffins,,7,87776726.0,80
simplify/Paraffins,,7,90173373.0,81
simplify/Paraffins,,7,89435864.0,82
simplify/Paraffins,,7,92337889.0,83
simplify/Paraffins,,7,90101325.0,84
simplify/Paraffins,,7,94254370.0,85
simplify/Paraffins,,7,97539894.0,86
simplify/Paraffins,,7,95560817.0,87
simplify/Paraffins,,7,100767174.0,88
simplify/Paraffins,,7,102154309.0,89
simplify/Paraffins,,7,97676027.0,90
simplify/Paraffins,,7,98102339.0,91
simplify/Paraffins,,7,96651227.0,92
simplify/Paraffins,,7,100999517.0,93
simplify/Paraffins,,7,103343243.0,94
simplify/Paraffins,,7,104275084.0,95
simplify/Paraffins,,7,111492820.0,96
simplify/Paraffins,,7,108118683.0,97
simplify/Paraffins,,7,107772811.0,98
simplify/Paraffins,,7,107869288.0,99
simplify/Paraffins,,7,113600852.0,100
