group,function,value,sample_time_nanos,iteration_count
simplify/Primes,,13,242031885.0,1
simplify/Primes,,13,241851335.0,2
simplify/Primes,,13,243314130.0,3
simplify/Primes,,13,250006163.0,4
simplify/Primes,,13,244321873.0,5
simplify/Primes,,13,240199440.0,6
simplify/Primes,,13,243391768.0,7
simplify/Primes,,13,246895350.0,8
simplify/Primes,,13,244040330.0,9
simplify/Primes,,13,242793565.0,10
simplify/Primes,,13,244377436.0,11
simplify/Primes,,13,245949152.0,12
simplify/Primes,,13,244416054.0,13
simplify/Primes,,13,247147020.0,14
simplify/Primes,,13,252920869.0,15
simplify/Primes,,13,245848109.0,16
simplify/Primes,,13,243330639.0,17
simplify/Primes,,13,250435644.0,18
simplify/Primes,,13,252905997.0,19
simplify/Primes,,13,246684516.0,20
simplify/Primes,,13,247837601.0,21
simplify/Primes,,13,253793223.0,22
simplify/Primes,,13,250929935.0,23
simplify/Primes,,13,244480656.0,24
simplify/Primes,,13,248422163.0,25
simplify/Primes,,13,250970347.0,26
simplify/Primes,,13,243695667.0,27
simplify/Primes,,13,250513289.0,28
simplify/Primes,,13,253815540.0,29
simplify/Primes,,13,252315054.0,30
simplify/Primes,,13,247985958.0,31
simplify/Primes,,13,250846886.0,32
simplify/Primes,,13,253494258.0,33
simplify/Primes,,13,247960784.0,34
simplify/Primes,,13,254315485.0,35
simplify/Primes,,13,248399682.0,36
simplify/Primes,,13,251256552.0,37
simplify/Primes,,13,249083889.0,38
simplify/Primes,,13,252927429.0,39
simplify/Primes,,13,275685876.0,40
simplify/Primes,,13,253667196.0,41
simplify/Primes,,13,254118991.0,42
simplify/Primes,,13,274005241.0,43
simplify/Primes,,13,257298014.0,44
simplify/Primes,,13,258659137.0,45
simplify/Primes,,13,260721096.0,46
simplify/Primes,,13,270813871.0,47
simplify/Primes,,13,259626416.0,48
simplify/Primes,,13,257176281.0,49
simplify/Primes,,13,257562020.0,50
simplify/Primes,,13,259522775.0,51
simplify/Primes,,13,257585819.0,52
simplify/Primes,,13,258306303.0,53
simplify/Primes,,13,299906634.0,54
simplify/Primes,,13,260795598.0,55
simplify/Primes,,13,258350621.0,56
simplify/Primes,,13,254647931.0,57
simplify/Primes,,13,253856645.0,58
simplify/Primes,,13,258691401.0,59
simplify/Primes,,13,256368901.0,60
simplify/Primes,,13,257637291.0,61
simplify/Primes,,13,256896891.0,62
simplify/Primes,,13,262422086.0,63
simplify/Primes,,13,275258698.0,64
simplify/Primes,,13,258590255.0,65
simplify/Primes,,13,261580795.0,66
simplify/Primes,,13,268645932.0,67
simplify/Primes,,13,256598122.0,68
simplify/Primes,,13,258870127.0,69
simplify/Primes,,13,265047440.0,70
simplify/Primes,,13,265021230.0,71
simplify/Primes,,13,258296240.0,72
simplify/Primes,,13,266369490.0,73
simplify/Primes,,13,277851204.0,74
simplify/Primes,,13,267169696.0,75
simplify/Primes,,13,259525270.0,76
simplify/Primes,,13,267382490.0,77
simplify/Primes,,13,301247703.0,78
simplify/Primes,,13,271190176.0,79
simplify/Primes,,13,270560647.0,80
simplify/Primes,,13,263932448.0,81
simplify/Primes,,13,264541455.0,82
simplify/Primes,,13,263851928.0,83
simplify/Primes,,13,269237817.0,84
simplify/Primes,,13,264096803.0,85
simplify/Primes,,13,261557368.0,86
simplify/Primes,,13,268183187.0,87
simplify/Primes,,13,265117593.0,88
simplify/Primes,,13,270874736.0,89
simplify/Primes,,13,268881905.0,90
simplify/Primes,,13,267639684.0,91
simplify/Primes,,13,263034846.0,92
simplify/Primes,,13,266600670.0,93
simplify/Primes,,13,264892205.0,94
simplify/Primes,,13,266056853.0,95
simplify/Primes,,13,268941161.0,96
simplify/Primes,,13,269815431.0,97
simplify/Primes,,13,265243324.0,98
simplify/Primes,,13,265728956.0,99
simplify/Primes,,13,270685921.0,100
