group,function,value,sample_time_nanos,iteration_count
simplify/Primes,,14,288203916.0,1
simplify/Primes,,14,283123558.0,2
simplify/Primes,,14,284346720.0,3
simplify/Primes,,14,282129242.0,4
simplify/Primes,,14,281315182.0,5
simplify/Primes,,14,284109942.0,6
simplify/Primes,,14,287779069.0,7
simplify/Primes,,14,281486852.0,8
simplify/Primes,,14,305239299.0,9
simplify/Primes,,14,287129941.0,10
simplify/Primes,,14,283441324.0,11
simplify/Primes,,14,285469444.0,12
simplify/Primes,,14,280198997.0,13
simplify/Primes,,14,282096475.0,14
simplify/Primes,,14,287263006.0,15
simplify/Primes,,14,284668099.0,16
simplify/Primes,,14,282424955.0,17
simplify/Primes,,14,292389870.0,18
simplify/Primes,,14,289149235.0,19
simplify/Primes,,14,285439696.0,20
simplify/Primes,,14,293872829.0,21
simplify/Primes,,14,291574972.0,22
simplify/Primes,,14,285375485.0,23
simplify/Primes,,14,297812681.0,24
simplify/Primes,,14,291454668.0,25
simplify/Primes,,14,294653181.0,26
simplify/Primes,,14,297219559.0,27
simplify/Primes,,14,286490783.0,28
simplify/Primes,,14,288214427.0,29
simplify/Primes,,14,296145031.0,30
simplify/Primes,,14,288043423.0,31
simplify/Primes,,14,290480905.0,32
simplify/Primes,,14,294605375.0,33
simplify/Primes,,14,289508062.0,34
simplify/Primes,,14,287595462.0,35
simplify/Primes,,14,308341943.0,36
simplify/Primes,,14,290983544.0,37
simplify/Primes,,14,297284770.0,38
simplify/Primes,,14,298580055.0,39
simplify/Primes,,14,325655069.0,40
simplify/Primes,,14,291696967.0,41
simplify/Primes,,14,302606580.0,42
simplify/Primes,,14,301775727.0,43
simplify/Primes,,14,296228769.0,44
simplify/Primes,,14,290499738.0,45
simplify/Primes,,14,290380310.0,46
simplify/Primes,,14,305121051.0,47
simplify/Primes,,14,294926162.0,48
simplify/Primes,,14,291179360.0,49
simplify/Primes,,14,294815258.0,50
simplify/Primes,,14,295910933.0,51
simplify/Primes,,14,292336451.0,52
simplify/Primes,,14,296365879.0,53
simplify/Primes,,14,294224496.0,54
simplify/Primes,,14,299839404.0,55
simplify/Primes,,14,298225378.0,56
simplify/Primes,,14,298233708.0,57
simplify/Primes,,14,301684875.0,58
simplify/Primes,,14,306613710.0,59
simplify/Primes,,14,298290706.0,60
simplify/Primes,,14,295847577.0,61
simplify/Primes,,14,324469268.0,62
simplify/Primes,,14,297650289.0,63
simplify/Primes,,14,302600593.0,64
simplify/Primes,,14,316288393.0,65
simplify/Primes,,14,296797384.0,66
simplify/Primes,,14,303410969.0,67
simplify/Primes,,14,306658584.0,68
simplify/Primes,,14,298426731.0,69
simplify/Primes,,14,299131039.0,70
simplify/Primes,,14,296592062.0,71
simplify/Primes,,14,301713038.0,72
simplify/Primes,,14,303886736.0,73
simplify/Primes,,14,307371087.0,74
simplify/Primes,,14,298149965.0,75
simplify/Primes,,14,301642531.0,76
simplify/Primes,,14,303586569.0,77
simplify/Primes,,14,302787730.0,78
simplify/Primes,,14,308848918.0,79
simplify/Primes,,14,299410486.0,80
simplify/Primes,,14,302811800.0,81
simplify/Primes,,14,310158975.0,82
simplify/Primes,,14,304272934.0,83
simplify/Primes,,14,303838191.0,84
simplify/Primes,,14,305149839.0,85
simplify/Primes,,14,303933884.0,86
simplify/Primes,,14,310922032.0,87
simplify/Primes,,14,311322177.0,88
simplify/Primes,,14,309108633.0,89
simplify/Primes,,14,307106541.0,90
simplify/Primes,,14,313234249.0,91
simplify/Primes,,14,311876444.0,92
simplify/Primes,,14,308806942.0,93
simplify/Primes,,14,309005470.0,94
simplify/Primes,,14,312839675.0,95
simplify/Primes,,14,310429457.0,96
simplify/Primes,,14,309003195.0,97
simplify/Primes,,14,309186372.0,98
simplify/Primes,,14,310191443.0,99
simplify/Primes,,14,304622641.0,100
