group,function,value,sample_time_nanos,iteration_count
simplify/Queens,,2,5633932.0,59
simplify/Queens,,2,6258701.0,118
simplify/Queens,,2,6716331.0,177
simplify/Queens,,2,7605608.0,236
simplify/Queens,,2,8269443.0,295
simplify/Queens,,2,8788579.0,354
simplify/Queens,,2,10270182.0,413
simplify/Queens,,2,10635234.0,472
simplify/Queens,,2,11033346.0,531
simplify/Queens,,2,12446385.0,590
simplify/Queens,,2,13555130.0,649
simplify/Queens,,2,13659394.0,708
simplify/Queens,,2,15066121.0,767
simplify/Queens,,2,15572180.0,826
simplify/Queens,,2,15915582.0,885
simplify/Queens,,2,16864796.0,944
simplify/Queens,,2,18448640.0,1003
simplify/Queens,,2,19383981.0,1062
simplify/Queens,,2,20251101.0,1121
simplify/Queens,,2,25691232.0,1180
simplify/Queens,,2,22246434.0,1239
simplify/Queens,,2,22704547.0,1298
simplify/Queens,,2,28829023.0,1357
simplify/Queens,,2,28034577.0,1416
simplify/Queens,,2,29432572.0,1475
simplify/Queens,,2,30494608.0,1534
simplify/Queens,,2,38228884.0,1593
simplify/Queens,,2,29954403.0,1652
simplify/Queens,,2,28746943.0,1711
simplify/Queens,,2,29884948.0,1770
simplify/Queens,,2,35872667.0,1829
simplify/Queens,,2,31365405.0,1888
simplify/Queens,,2,36041845.0,1947
simplify/Queens,,2,37767876.0,2006
simplify/Queens,,2,33975567.0,2065
simplify/Queens,,2,39857290.0,2124
simplify/Queens,,2,35781616.0,2183
simplify/Queens,,2,40781426.0,2242
simplify/Queens,,2,37848832.0,2301
simplify/Queens,,2,39645473.0,2360
simplify/Queens,,2,39120183.0,2419
simplify/Queens,,2,41139801.0,2478
simplify/Queens,,2,48086152.0,2537
simplify/Queens,,2,43763417.0,2596
simplify/Queens,,2,41618521.0,2655
simplify/Queens,,2,43894654.0,2714
simplify/Queens,,2,44301723.0,2773
simplify/Queens,,2,48495572.0,2832
simplify/Queens,,2,46096607.0,2891
simplify/Queens,,2,47891716.0,2950
simplify/Queens,,2,48522410.0,3009
simplify/Queens,,2,48079378.0,3068
simplify/Queens,,2,51024301.0,3127
simplify/Queens,,2,50469121.0,3186
simplify/Queens,,2,51316020.0,3245
simplify/Queens,,2,60461787.0,3304
simplify/Queens,,2,54679353.0,3363
simplify/Queens,,2,56556244.0,3422
simplify/Queens,,2,55604597.0,3481
simplify/Queens,,2,57504254.0,3540
simplify/Queens,,2,66243075.0,3599
simplify/Queens,,2,60781486.0,3658
simplify/Queens,,2,59548074.0,3717
simplify/Queens,,2,62231206.0,3776
simplify/Queens,,2,67868250.0,3835
simplify/Queens,,2,63757320.0,3894
simplify/Queens,,2,63171401.0,3953
simplify/Queens,,2,65124448.0,4012
simplify/Queens,,2,71900661.0,4071
simplify/Queens,,2,67786943.0,4130
simplify/Queens,,2,63726415.0,4189
simplify/Queens,,2,71694654.0,4248
simplify/Queens,,2,71735400.0,4307
simplify/Queens,,2,76937266.0,4366
simplify/Queens,,2,67969383.0,4425
simplify/Queens,,2,71989722.0,4484
simplify/Queens,,2,69082415.0,4543
simplify/Queens,,2,76902181.0,4602
simplify/Queens,,2,76952294.0,4661
simplify/Queens,,2,77600696.0,4720
simplify/Queens,,2,79908244.0,4779
simplify/Queens,,2,78131129.0,4838
simplify/Queens,,2,85139101.0,4897
simplify/Queens,,2,72863767.0,4956
simplify/Queens,,2,85058777.0,5015
simplify/Queens,,2,83270700.0,5074
simplify/Queens,,2,81844171.0,5133
simplify/Queens,,2,83398255.0,5192
simplify/Queens,,2,80921697.0,5251
simplify/Queens,,2,86000277.0,5310
simplify/Queens,,2,90249759.0,5369
simplify/Queens,,2,91800259.0,5428
simplify/Queens,,2,92843058.0,5487
simplify/Queens,,2,89498933.0,5546
simplify/Queens,,2,91538746.0,5605
simplify/Queens,,2,94697897.0,5664
simplify/Queens,,2,91969285.0,5723
simplify/Queens,,2,92414369.0,5782
simplify/Queens,,2,100663122.0,5841
simplify/Queens,,2,98449099.0,5900
