group,function,value,sample_time_nanos,iteration_count
simplify/Queens,,6,5327964.0,1
simplify/Queens,,6,6743978.0,2
simplify/Queens,,6,7567405.0,3
simplify/Queens,,6,8726453.0,4
simplify/Queens,,6,10127856.0,5
simplify/Queens,,6,11464057.0,6
simplify/Queens,,6,12889439.0,7
simplify/Queens,,6,14142176.0,8
simplify/Queens,,6,15262405.0,9
simplify/Queens,,6,16567115.0,10
simplify/Queens,,6,17390581.0,11
simplify/Queens,,6,18391435.0,12
simplify/Queens,,6,19922790.0,13
simplify/Queens,,6,20620216.0,14
simplify/Queens,,6,21048508.0,15
simplify/Queens,,6,22774407.0,16
simplify/Queens,,6,24807583.0,17
simplify/Queens,,6,25629534.0,18
simplify/Queens,,6,26934937.0,19
simplify/Queens,,6,28063237.0,20
simplify/Queens,,6,29076725.0,21
simplify/Queens,,6,28437171.0,22
simplify/Queens,,6,31515262.0,23
simplify/Queens,,6,32799667.0,24
simplify/Queens,,6,32669474.0,25
simplify/Queens,,6,35177807.0,26
simplify/Queens,,6,34600981.0,27
simplify/Queens,,6,37405688.0,28
simplify/Queens,,6,38572183.0,29
simplify/Queens,,6,36519570.0,30
simplify/Queens,,6,41437195.0,31
simplify/Queens,,6,40879954.0,32
simplify/Queens,,6,42155076.0,33
simplify/Queens,,6,41592196.0,34
simplify/Queens,,6,45152252.0,35
simplify/Queens,,6,46331165.0,36
simplify/Queens,,6,47429507.0,37
simplify/Queens,,6,49244420.0,38
simplify/Queens,,6,50136204.0,39
simplify/Queens,,6,50479364.0,40
simplify/Queens,,6,53433237.0,41
simplify/Queens,,6,52201262.0,42
simplify/Queens,,6,54822185.0,43
simplify/Queens,,6,55002003.0,44
simplify/Queens,,6,55627514.0,45
simplify/Queens,,6,56456788.0,46
simplify/Queens,,6,57891182.0,47
simplify/Queens,,6,58692866.0,48
simplify/Queens,,6,59619070.0,49
simplify/Queens,,6,59706728.0,50
simplify/Queens,,6,62948229.0,51
simplify/Queens,,6,64434558.0,52
simplify/Queens,,6,63070613.0,53
simplify/Queens,,6,66270957.0,54
simplify/Queens,,6,66746261.0,55
simplify/Queens,,6,66760565.0,56
simplify/Queens,,6,65901992.0,57
simplify/Queens,,6,70141130.0,58
simplify/Queens,,6,67756994.0,59
simplify/Queens,,6,72288153.0,60
simplify/Queens,,6,73988842.0,61
simplify/Queens,,6,71095714.0,62
simplify/Queens,,6,74964399.0,63
simplify/Queens,,6,77070287.0,64
simplify/Queens,,6,75560585.0,65
simplify/Queens,,6,81265507.0,66
simplify/Queens,,6,79822136.0,67
simplify/Queens,,6,81461813.0,68
simplify/Queens,,6,82085154.0,69
simplify/Queens,,6,86722138.0,70
simplify/Queens,,6,86493308.0,71
simplify/Queens,,6,87235914.0,72
simplify/Queens,,6,87341307.0,73
simplify/Queens,,6,89449995.0,74
simplify/Queens,,6,90356275.0,75
simplify/Queens,,6,91439855.0,76
simplify/Queens,,6,94010491.0,77
simplify/Queens,,6,93929319.0,78
simplify/Queens,,6,93880067.0,79
simplify/Queens,,6,94343017.0,80
simplify/Queens,,6,92438166.0,81
simplify/Queens,,6,96186586.0,82
simplify/Queens,,6,94337225.0,83
simplify/Queens,,6,99125049.0,84
simplify/Queens,,6,97046902.0,85
simplify/Queens,,6,100938133.0,86
simplify/Queens,,6,102739967.0,87
simplify/Queens,,6,105282263.0,88
simplify/Queens,,6,108654882.0,89
simplify/Queens,,6,106414634.0,90
simplify/Queens,,6,107879432.0,91
simplify/Queens,,6,108200893.0,92
simplify/Queens,,6,107580445.0,93
simplify/Queens,,6,113918194.0,94
simplify/Queens,,6,112907477.0,95
simplify/Queens,,6,113756166.0,96
simplify/Queens,,6,115845891.0,97
simplify/Queens,,6,117489747.0,98
simplify/Queens,,6,117353047.0,99
simplify/Queens,,6,117333331.0,100
