group,function,value,sample_time_nanos,iteration_count
simplify/WheelSieve1,,5,5920064.0,66
simplify/WheelSieve1,,5,6729904.0,132
simplify/WheelSieve1,,5,6841560.0,198
simplify/WheelSieve1,,5,7608758.0,264
simplify/WheelSieve1,,5,8099334.0,330
simplify/WheelSieve1,,5,8732765.0,396
simplify/WheelSieve1,,5,11755015.0,462
simplify/WheelSieve1,,5,10730442.0,528
simplify/WheelSieve1,,5,11626097.0,594
simplify/WheelSieve1,,5,12106175.0,660
simplify/WheelSieve1,,5,12751039.0,726
simplify/WheelSieve1,,5,14122530.0,792
simplify/WheelSieve1,,5,16557814.0,858
simplify/WheelSieve1,,5,15328520.0,924
simplify/WheelSieve1,,5,16167923.0,990
simplify/WheelSieve1,,5,16826446.0,1056
simplify/WheelSieve1,,5,17442447.0,1122
simplify/WheelSieve1,,5,19614890.0,1188
simplify/WheelSieve1,,5,19610024.0,1254
simplify/WheelSieve1,,5,21405711.0,1320
simplify/WheelSieve1,,5,20537873.0,1386
simplify/WheelSieve1,,5,21440561.0,1452
simplify/WheelSieve1,,5,28808848.0,1518
simplify/WheelSieve1,,5,28822208.0,1584
simplify/WheelSieve1,,5,25184523.0,1650
simplify/WheelSieve1,,5,27620627.0,1716
simplify/WheelSieve1,,5,32130427.0,1782
simplify/WheelSieve1,,5,26965585.0,1848
simplify/WheelSieve1,,5,30480496.0,1914
simplify/WheelSieve1,,5,27938739.0,1980
simplify/WheelSieve1,,5,31791227.0,2046
simplify/WheelSieve1,,5,31802187.0,2112
simplify/WheelSieve1,,5,33050457.0,2178
simplify/WheelSieve1,,5,34842303.0,2244
simplify/WheelSieve1,,5,31139920.0,2310
simplify/WheelSieve1,,5,40275600.0,2376
simplify/WheelSieve1,,5,32602028.0,2442
simplify/WheelSieve1,,5,33496316.0,2508
simplify/WheelSieve1,,5,42787322.0,2574
simplify/WheelSieve1,,5,33551525.0,2640
simplify/WheelSieve1,,5,45967101.0,2706
simplify/WheelSieve1,,5,38458080.0,2772
simplify/WheelSieve1,,5,41382116.0,2838
simplify/WheelSieve1,,5,42762885.0,2904
simplify/WheelSieve1,,5,44777469.0,2970
simplify/WheelSieve1,,5,46304170.0,3036
simplify/WheelSieve1,,5,42349151.0,3102
simplify/WheelSieve1,,5,45789673.0,3168
simplify/WheelSieve1,,5,52418871.0,3234
simplify/WheelSieve1,,5,45352620.0,3300
simplify/WheelSieve1,,5,55641427.0,3366
simplify/WheelSieve1,,5,47439229.0,3432
simplify/WheelSieve1,,5,47024721.0,3498
simplify/WheelSieve1,,5,51819103.0,3564
simplify/WheelSieve1,,5,51334875.0,3630
simplify/WheelSieve1,,5,51421678.0,3696
simplify/WheelSieve1,,5,53673682.0,3762
simplify/WheelSieve1,,5,52739223.0,3828
simplify/WheelSieve1,,5,53204432.0,3894
simplify/WheelSieve1,,5,66079982.0,3960
simplify/WheelSieve1,,5,59388544.0,4026
simplify/WheelSieve1,,5,58681255.0,4092
simplify/WheelSieve1,,5,57992203.0,4158
simplify/WheelSieve1,,5,60114206.0,4224
simplify/WheelSieve1,,5,64886786.0,4290
simplify/WheelSieve1,,5,66562398.0,4356
simplify/WheelSieve1,,5,67168571.0,4422
simplify/WheelSieve1,,5,67226489.0,4488
simplify/WheelSieve1,,5,69417346.0,4554
simplify/WheelSieve1,,5,65187046.0,4620
simplify/WheelSieve1,,5,72343310.0,4686
simplify/WheelSieve1,,5,68837783.0,4752
simplify/WheelSieve1,,5,67841675.0,4818
simplify/WheelSieve1,,5,69426657.0,4884
simplify/WheelSieve1,,5,77832643.0,4950
simplify/WheelSieve1,,5,71524166.0,5016
simplify/WheelSieve1,,5,77120741.0,5082
simplify/WheelSieve1,,5,71047330.0,5148
simplify/WheelSieve1,,5,74561549.0,5214
simplify/WheelSieve1,,5,77375783.0,5280
simplify/WheelSieve1,,5,76782150.0,5346
simplify/WheelSieve1,,5,78360293.0,5412
simplify/WheelSieve1,,5,76913312.0,5478
simplify/WheelSieve1,,5,79539532.0,5544
simplify/WheelSieve1,,5,79036711.0,5610
simplify/WheelSieve1,,5,80521211.0,5676
simplify/WheelSieve1,,5,92128594.0,5742
simplify/WheelSieve1,,5,85659643.0,5808
simplify/WheelSieve1,,5,83506520.0,5874
simplify/WheelSieve1,,5,84814824.0,5940
simplify/WheelSieve1,,5,85744063.0,6006
simplify/WheelSieve1,,5,86933169.0,6072
simplify/WheelSieve1,,5,87057787.0,6138
simplify/WheelSieve1,,5,88721119.0,6204
simplify/WheelSieve1,,5,92147092.0,6270
simplify/WheelSieve1,,5,95538944.0,6336
simplify/WheelSieve1,,5,99776605.0,6402
simplify/WheelSieve1,,5,94879681.0,6468
simplify/WheelSieve1,,5,93817583.0,6534
simplify/WheelSieve1,,5,92993392.0,6600
