group,function,value,sample_time_nanos,iteration_count
simplify/WheelSieve2,,2,5874343.0,80
simplify/WheelSieve2,,2,6223124.0,160
simplify/WheelSieve2,,2,7655814.0,240
simplify/WheelSieve2,,2,7455757.0,320
simplify/WheelSieve2,,2,8161900.0,400
simplify/WheelSieve2,,2,8554442.0,480
simplify/WheelSieve2,,2,10134351.0,560
simplify/WheelSieve2,,2,10124445.0,640
simplify/WheelSieve2,,2,11146997.0,720
simplify/WheelSieve2,,2,11850401.0,800
simplify/WheelSieve2,,2,12328264.0,880
simplify/WheelSieve2,,2,13839129.0,960
simplify/WheelSieve2,,2,14082252.0,1040
simplify/WheelSieve2,,2,15419061.0,1120
simplify/WheelSieve2,,2,15137969.0,1200
simplify/WheelSieve2,,2,16759099.0,1280
simplify/WheelSieve2,,2,17568477.0,1360
simplify/WheelSieve2,,2,22340118.0,1440
simplify/WheelSieve2,,2,19367392.0,1520
simplify/WheelSieve2,,2,19783406.0,1600
simplify/WheelSieve2,,2,20291023.0,1680
simplify/WheelSieve2,,2,21002707.0,1760
simplify/WheelSieve2,,2,24501170.0,1840
simplify/WheelSieve2,,2,23340532.0,1920
simplify/WheelSieve2,,2,23461403.0,2000
simplify/WheelSieve2,,2,29845599.0,2080
simplify/WheelSieve2,,2,31324653.0,2160
simplify/WheelSieve2,,2,26645747.0,2240
simplify/WheelSieve2,,2,27407207.0,2320
simplify/WheelSieve2,,2,28236412.0,2400
simplify/WheelSieve2,,2,28603875.0,2480
simplify/WheelSieve2,,2,30786360.0,2560
simplify/WheelSieve2,,2,30946850.0,2640
simplify/WheelSieve2,,2,29797827.0,2720
simplify/WheelSieve2,,2,32301695.0,2800
simplify/WheelSieve2,,2,32568484.0,2880
simplify/WheelSieve2,,2,40518961.0,2960
simplify/WheelSieve2,,2,33178080.0,3040
simplify/WheelSieve2,,2,39446339.0,3120
simplify/WheelSieve2,,2,37980655.0,3200
simplify/WheelSieve2,,2,36166726.0,3280
simplify/WheelSieve2,,2,39450269.0,3360
simplify/WheelSieve2,,2,40325110.0,3440
simplify/WheelSieve2,,2,40689864.0,3520
simplify/WheelSieve2,,2,39337265.0,3600
simplify/WheelSieve2,,2,40275911.0,3680
simplify/WheelSieve2,,2,50574298.0,3760
simplify/WheelSieve2,,2,51310767.0,3840
simplify/WheelSieve2,,2,45688378.0,3920
simplify/WheelSieve2,,2,45881011.0,4000
simplify/WheelSieve2,,2,54262114.0,4080
simplify/WheelSieve2,,2,45089338.0,4160
simplify/WheelSieve2,,2,49565955.0,4240
simplify/WheelSieve2,,2,48603411.0,4320
simplify/WheelSieve2,,2,50899734.0,4400
simplify/WheelSieve2,,2,52046788.0,4480
simplify/WheelSieve2,,2,52021913.0,4560
simplify/WheelSieve2,,2,50884055.0,4640
simplify/WheelSieve2,,2,52014969.0,4720
simplify/WheelSieve2,,2,54560247.0,4800
simplify/WheelSieve2,,2,59035367.0,4880
simplify/WheelSieve2,,2,66050875.0,4960
simplify/WheelSieve2,,2,55167647.0,5040
simplify/WheelSieve2,,2,59455491.0,5120
simplify/WheelSieve2,,2,60102350.0,5200
simplify/WheelSieve2,,2,60673749.0,5280
simplify/WheelSieve2,,2,62003546.0,5360
simplify/WheelSieve2,,2,71519270.0,5440
simplify/WheelSieve2,,2,66198184.0,5520
simplify/WheelSieve2,,2,66542892.0,5600
simplify/WheelSieve2,,2,62654930.0,5680
simplify/WheelSieve2,,2,69500114.0,5760
simplify/WheelSieve2,,2,67690202.0,5840
simplify/WheelSieve2,,2,68854655.0,5920
simplify/WheelSieve2,,2,69661776.0,6000
simplify/WheelSieve2,,2,76795471.0,6080
simplify/WheelSieve2,,2,77532716.0,6160
simplify/WheelSieve2,,2,68251261.0,6240
simplify/WheelSieve2,,2,67754780.0,6320
simplify/WheelSieve2,,2,73230490.0,6400
simplify/WheelSieve2,,2,76521205.0,6480
simplify/WheelSieve2,,2,75097865.0,6560
simplify/WheelSieve2,,2,72523310.0,6640
simplify/WheelSieve2,,2,83956982.0,6720
simplify/WheelSieve2,,2,79090859.0,6800
simplify/WheelSieve2,,2,80354890.0,6880
simplify/WheelSieve2,,2,81703447.0,6960
simplify/WheelSieve2,,2,84698264.0,7040
simplify/WheelSieve2,,2,76208661.0,7120
simplify/WheelSieve2,,2,85290910.0,7200
simplify/WheelSieve2,,2,90301108.0,7280
simplify/WheelSieve2,,2,84259791.0,7360
simplify/WheelSieve2,,2,83803623.0,7440
simplify/WheelSieve2,,2,90873248.0,7520
simplify/WheelSieve2,,2,89647442.0,7600
simplify/WheelSieve2,,2,84018275.0,7680
simplify/WheelSieve2,,2,90854689.0,7760
simplify/WheelSieve2,,2,99454480.0,7840
simplify/WheelSieve2,,2,91288506.0,7920
simplify/WheelSieve2,,2,103464755.0,8000
