group,function,value,sample_time_nanos,iteration_count
simplify/X2n1,,4,36959744.0,1
simplify/X2n1,,4,67533087.0,2
simplify/X2n1,,4,89710467.0,3
simplify/X2n1,,4,116026818.0,4
simplify/X2n1,,4,141297318.0,5
simplify/X2n1,,4,174214076.0,6
simplify/X2n1,,4,206713354.0,7
simplify/X2n1,,4,224145565.0,8
simplify/X2n1,,4,260221204.0,9
simplify/X2n1,,4,272561812.0,10
simplify/X2n1,,4,314970418.0,11
simplify/X2n1,,4,333156478.0,12
simplify/X2n1,,4,354212329.0,13
simplify/X2n1,,4,380594360.0,14
simplify/X2n1,,4,416550856.0,15
simplify/X2n1,,4,429368027.0,16
simplify/X2n1,,4,457974384.0,17
simplify/X2n1,,4,492508892.0,18
simplify/X2n1,,4,515811594.0,19
simplify/X2n1,,4,537866140.0,20
simplify/X2n1,,4,571736781.0,21
simplify/X2n1,,4,590128058.0,22
simplify/X2n1,,4,640562805.0,23
simplify/X2n1,,4,661057502.0,24
simplify/X2n1,,4,698487087.0,25
simplify/X2n1,,4,698780280.0,26
simplify/X2n1,,4,734804895.0,27
simplify/X2n1,,4,771912541.0,28
simplify/X2n1,,4,794247666.0,29
simplify/X2n1,,4,799813261.0,30
simplify/X2n1,,4,856167721.0,31
simplify/X2n1,,4,863929884.0,32
simplify/X2n1,,4,891380267.0,33
simplify/X2n1,,4,915681474.0,34
simplify/X2n1,,4,946367487.0,35
simplify/X2n1,,4,968285052.0,36
simplify/X2n1,,4,989857175.0,37
simplify/X2n1,,4,1028984605.0,38
simplify/X2n1,,4,1050373315.0,39
simplify/X2n1,,4,1070196646.0,40
simplify/X2n1,,4,1083447667.0,41
simplify/X2n1,,4,1123507428.0,42
simplify/X2n1,,4,1159621022.0,43
simplify/X2n1,,4,1176726200.0,44
simplify/X2n1,,4,1199322569.0,45
simplify/X2n1,,4,1230209901.0,46
simplify/X2n1,,4,1262716340.0,47
simplify/X2n1,,4,1283479124.0,48
simplify/X2n1,,4,1315868193.0,49
simplify/X2n1,,4,1343660848.0,50
simplify/X2n1,,4,1363337051.0,51
simplify/X2n1,,4,1402698483.0,52
simplify/X2n1,,4,1412681483.0,53
simplify/X2n1,,4,1438370630.0,54
simplify/X2n1,,4,1509864868.0,55
simplify/X2n1,,4,1502144318.0,56
simplify/X2n1,,4,1529381687.0,57
simplify/X2n1,,4,1561342553.0,58
simplify/X2n1,,4,1562856720.0,59
simplify/X2n1,,4,1618496747.0,60
simplify/X2n1,,4,1629314633.0,61
simplify/X2n1,,4,1660128804.0,62
simplify/X2n1,,4,1703921355.0,63
simplify/X2n1,,4,1728304944.0,64
simplify/X2n1,,4,1735419980.0,65
simplify/X2n1,,4,1767161241.0,66
simplify/X2n1,,4,1812100155.0,67
simplify/X2n1,,4,1810409359.0,68
simplify/X2n1,,4,1854569496.0,69
simplify/X2n1,,4,1915765783.0,70
simplify/X2n1,,4,1890007534.0,71
simplify/X2n1,,4,1933221091.0,72
simplify/X2n1,,4,1957248604.0,73
simplify/X2n1,,4,1974204834.0,74
simplify/X2n1,,4,2021907864.0,75
simplify/X2n1,,4,2039813322.0,76
simplify/X2n1,,4,2065617818.0,77
simplify/X2n1,,4,2094580020.0,78
simplify/X2n1,,4,2123093803.0,79
simplify/X2n1,,4,2145696830.0,80
simplify/X2n1,,4,2176235836.0,81
simplify/X2n1,,4,2212476709.0,82
simplify/X2n1,,4,2196788605.0,83
simplify/X2n1,,4,2267464962.0,84
simplify/X2n1,,4,2299404894.0,85
simplify/X2n1,,4,2292513017.0,86
simplify/X2n1,,4,2317518237.0,87
simplify/X2n1,,4,2348454628.0,88
simplify/X2n1,,4,2360217645.0,89
simplify/X2n1,,4,2394883383.0,90
simplify/X2n1,,4,2414534117.0,91
simplify/X2n1,,4,2469331084.0,92
simplify/X2n1,,4,2481154751.0,93
simplify/X2n1,,4,2509555499.0,94
simplify/X2n1,,4,2556448667.0,95
simplify/X2n1,,4,2576138773.0,96
simplify/X2n1,,4,2604409437.0,97
simplify/X2n1,,4,2630968918.0,98
simplify/X2n1,,4,2671477345.0,99
simplify/X2n1,,4,2730178301.0,100
