group,function,value,sample_time_nanos,iteration_count
simplify/X2n1,,5,44258315.0,1
simplify/X2n1,,5,81610518.0,2
simplify/X2n1,,5,116743172.0,3
simplify/X2n1,,5,152391481.0,4
simplify/X2n1,,5,185447178.0,5
simplify/X2n1,,5,229765950.0,6
simplify/X2n1,,5,268278863.0,7
simplify/X2n1,,5,303407714.0,8
simplify/X2n1,,5,338227842.0,9
simplify/X2n1,,5,381766726.0,10
simplify/X2n1,,5,398960464.0,11
simplify/X2n1,,5,440461814.0,12
simplify/X2n1,,5,469825886.0,13
simplify/X2n1,,5,512989677.0,14
simplify/X2n1,,5,559165312.0,15
simplify/X2n1,,5,582317763.0,16
simplify/X2n1,,5,625194261.0,17
simplify/X2n1,,5,662381471.0,18
simplify/X2n1,,5,713932752.0,19
simplify/X2n1,,5,715543268.0,20
simplify/X2n1,,5,780945530.0,21
simplify/X2n1,,5,792261997.0,22
simplify/X2n1,,5,836527313.0,23
simplify/X2n1,,5,866538801.0,24
simplify/X2n1,,5,903106995.0,25
simplify/X2n1,,5,945259854.0,26
simplify/X2n1,,5,983979682.0,27
simplify/X2n1,,5,1015890367.0,28
simplify/X2n1,,5,1058457537.0,29
simplify/X2n1,,5,1098911369.0,30
simplify/X2n1,,5,1124726845.0,31
simplify/X2n1,,5,1162841513.0,32
simplify/X2n1,,5,1220050563.0,33
simplify/X2n1,,5,1261605089.0,34
simplify/X2n1,,5,1292852481.0,35
simplify/X2n1,,5,1303135320.0,36
simplify/X2n1,,5,1355583212.0,37
simplify/X2n1,,5,1373764194.0,38
simplify/X2n1,,5,1442326666.0,39
simplify/X2n1,,5,1446606308.0,40
simplify/X2n1,,5,1506694205.0,41
simplify/X2n1,,5,1536429260.0,42
simplify/X2n1,,5,1568952089.0,43
simplify/X2n1,,5,1584334388.0,44
simplify/X2n1,,5,1641431498.0,45
simplify/X2n1,,5,1689225119.0,46
simplify/X2n1,,5,1702498121.0,47
simplify/X2n1,,5,1764391794.0,48
simplify/X2n1,,5,1776282125.0,49
simplify/X2n1,,5,1808642255.0,50
simplify/X2n1,,5,1843642901.0,51
simplify/X2n1,,5,1900443569.0,52
simplify/X2n1,,5,1945132349.0,53
simplify/X2n1,,5,1964123887.0,54
simplify/X2n1,,5,2028574198.0,55
simplify/X2n1,,5,2047469123.0,56
simplify/X2n1,,5,2070966860.0,57
simplify/X2n1,,5,2141117813.0,58
simplify/X2n1,,5,2130040716.0,59
simplify/X2n1,,5,2196550502.0,60
simplify/X2n1,,5,2199173942.0,61
simplify/X2n1,,5,2230730159.0,62
simplify/X2n1,,5,2288240492.0,63
simplify/X2n1,,5,2314868733.0,64
simplify/X2n1,,5,2330902726.0,65
simplify/X2n1,,5,2396423880.0,66
simplify/X2n1,,5,2441334181.0,67
simplify/X2n1,,5,2471048699.0,68
simplify/X2n1,,5,2515615027.0,69
simplify/X2n1,,5,2540960509.0,70
simplify/X2n1,,5,2591405235.0,71
simplify/X2n1,,5,2629552254.0,72
simplify/X2n1,,5,2658302165.0,73
simplify/X2n1,,5,2691352795.0,74
simplify/X2n1,,5,2687850398.0,75
simplify/X2n1,,5,2749694143.0,76
simplify/X2n1,,5,2776815803.0,77
simplify/X2n1,,5,2822224205.0,78
simplify/X2n1,,5,2869909132.0,79
simplify/X2n1,,5,2903319405.0,80
simplify/X2n1,,5,2926033715.0,81
simplify/X2n1,,5,2961025746.0,82
simplify/X2n1,,5,2974754537.0,83
simplify/X2n1,,5,3028963796.0,84
simplify/X2n1,,5,3072874568.0,85
simplify/X2n1,,5,3139375516.0,86
simplify/X2n1,,5,3193403169.0,87
simplify/X2n1,,5,3162779991.0,88
simplify/X2n1,,5,3192925968.0,89
simplify/X2n1,,5,3248922882.0,90
simplify/X2n1,,5,3290478127.0,91
simplify/X2n1,,5,3337468559.0,92
simplify/X2n1,,5,3396891303.0,93
simplify/X2n1,,5,3405780297.0,94
simplify/X2n1,,5,3417824433.0,95
simplify/X2n1,,5,3481926878.0,96
simplify/X2n1,,5,3507466211.0,97
simplify/X2n1,,5,3541023363.0,98
simplify/X2n1,,5,3567007341.0,99
simplify/X2n1,,5,3579669826.0,100
